,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.tsv
0,2013-01-01,72030.0
1,2013-01-02,72020.0
2,2013-01-03,72000.0
3,2013-01-04,71990.0
4,2013-01-05,71980.0
5,2013-01-06,72020.0
6,2013-01-07,72030.0
7,2013-01-08,72020.0
8,2013-01-09,72000.0
9,2013-01-10,71910.0
10,2013-01-11,71800.0
11,2013-01-12,71680.0
12,2013-01-13,71530.0
13,2013-01-14,71490.0
14,2013-01-15,71490.0
15,2013-01-16,71490.0
16,2013-01-17,71480.0
17,2013-01-18,71480.0
18,2013-01-19,71470.0
19,2013-01-20,71480.0
20,2013-01-21,71470.0
21,2013-01-22,71470.0
22,2013-01-23,71460.0
23,2013-01-24,71470.0
24,2013-01-25,71590.0
25,2013-01-26,71630.0
26,2013-01-27,71640.0
27,2013-01-28,71670.0
28,2013-01-29,71680.0
29,2013-01-30,71690.0
30,2013-01-31,71690.0
31,2013-02-01,71690.0
32,2013-02-02,71700.0
33,2013-02-03,71700.0
34,2013-02-04,71700.0
35,2013-02-05,71690.0
36,2013-02-06,71700.0
37,2013-02-07,71700.0
38,2013-02-08,71770.0
39,2013-02-09,71770.0
40,2013-02-10,71780.0
41,2013-02-11,71780.0
42,2013-02-12,71780.0
43,2013-02-13,71780.0
44,2013-02-14,71780.0
45,2013-02-15,71750.0
46,2013-02-16,71780.0
47,2013-02-17,71780.0
48,2013-02-18,71770.0
49,2013-02-19,71810.0
50,2013-02-20,71880.0
51,2013-02-21,71900.0
52,2013-02-22,71900.0
53,2013-02-23,71900.0
54,2013-02-24,71900.0
55,2013-02-25,71890.0
56,2013-02-26,71900.0
57,2013-02-27,71900.0
58,2013-02-28,71870.0
59,2013-03-01,71770.0
60,2013-03-02,71620.0
61,2013-03-03,71480.0
62,2013-03-04,71380.0
63,2013-03-05,71320.0
64,2013-03-06,71240.0
65,2013-03-07,71180.0
66,2013-03-08,71270.0
67,2013-03-09,71320.0
68,2013-03-10,71330.0
69,2013-03-11,71310.0
70,2013-03-12,71310.0
71,2013-03-13,71240.0
72,2013-03-14,71150.0
73,2013-03-15,71040.0
74,2013-03-16,70950.0
75,2013-03-17,70850.0
76,2013-03-18,70810.0
77,2013-03-19,70800.0
78,2013-03-20,70830.0
79,2013-03-21,70800.0
80,2013-03-22,70830.0
81,2013-03-23,70800.0
82,2013-03-24,70810.0
83,2013-03-25,70800.0
84,2013-03-26,70800.0
85,2013-03-27,70800.0
86,2013-03-28,70790.0
87,2013-03-29,70800.0
88,2013-03-30,70790.0
89,2013-03-31,70780.0
90,2013-04-01,70760.0
91,2013-04-02,70760.0
92,2013-04-03,70750.0
93,2013-04-04,70730.0
94,2013-04-05,70730.0
95,2013-04-06,70730.0
96,2013-04-07,70720.0
97,2013-04-08,70710.0
98,2013-04-09,70690.0
99,2013-04-10,70690.0
100,2013-04-11,70670.0
101,2013-04-12,70670.0
102,2013-04-13,70640.0
103,2013-04-14,70640.0
104,2013-04-15,70630.0
105,2013-04-16,70630.0
106,2013-04-17,70610.0
107,2013-04-18,70590.0
108,2013-04-19,70570.0
109,2013-04-20,70550.0
110,2013-04-21,70540.0
111,2013-04-22,70530.0
112,2013-04-23,70510.0
113,2013-04-24,70490.0
114,2013-04-25,70490.0
115,2013-04-26,70480.0
116,2013-04-27,70460.0
117,2013-04-28,70450.0
118,2013-04-29,70440.0
119,2013-04-30,70430.0
120,2013-05-01,70400.0
121,2013-05-02,70380.0
122,2013-05-03,70370.0
123,2013-05-04,70350.0
124,2013-05-05,70330.0
125,2013-05-06,70360.0
126,2013-05-07,70360.0
127,2013-05-08,70350.0
128,2013-05-09,70330.0
129,2013-05-10,70320.0
130,2013-05-11,70330.0
131,2013-05-12,70310.0
132,2013-05-13,70300.0
133,2013-05-14,70270.0
134,2013-05-15,70240.0
135,2013-05-16,70220.0
136,2013-05-17,70210.0
137,2013-05-18,70190.0
138,2013-05-19,70170.0
139,2013-05-20,70150.0
140,2013-05-21,70130.0
141,2013-05-22,70110.0
142,2013-05-23,70100.0
143,2013-05-24,70060.0
144,2013-05-25,70040.0
145,2013-05-26,70020.0
146,2013-05-27,69990.0
147,2013-05-28,69970.0
148,2013-05-29,69960.0
149,2013-05-30,69950.0
150,2013-05-31,69910.0
151,2013-06-01,69890.0
152,2013-06-02,69880.0
153,2013-06-03,69860.0
154,2013-06-04,69810.0
155,2013-06-05,69690.0
156,2013-06-06,69540.0
157,2013-06-07,69430.0
158,2013-06-08,69280.0
159,2013-06-09,69160.0
160,2013-06-10,69020.0
161,2013-06-11,68900.0
162,2013-06-12,68780.0
163,2013-06-13,68650.0
164,2013-06-14,68520.0
165,2013-06-15,68380.0
166,2013-06-16,68310.0
167,2013-06-17,68290.0
168,2013-06-18,68270.0
169,2013-06-19,68230.0
170,2013-06-20,68120.0
171,2013-06-21,67980.0
172,2013-06-22,67830.0
173,2013-06-23,67710.0
174,2013-06-24,67580.0
175,2013-06-25,67470.0
176,2013-06-26,67370.0
177,2013-06-27,67280.0
178,2013-06-28,67190.0
179,2013-06-29,67120.0
180,2013-06-30,67040.0
181,2013-07-01,66920.0
182,2013-07-02,66850.0
183,2013-07-03,66770.0
184,2013-07-04,66690.0
185,2013-07-05,66600.0
186,2013-07-06,66520.0
187,2013-07-07,66410.0
188,2013-07-08,66290.0
189,2013-07-09,66140.0
190,2013-07-10,66010.0
191,2013-07-11,65870.0
192,2013-07-12,65740.0
193,2013-07-13,65600.0
194,2013-07-14,65460.0
195,2013-07-15,65290.0
196,2013-07-16,65130.0
197,2013-07-17,64950.0
198,2013-07-18,64770.0
199,2013-07-19,64610.0
200,2013-07-20,64450.0
201,2013-07-21,64350.0
202,2013-07-22,64210.0
203,2013-07-23,64080.0
204,2013-07-24,63950.0
205,2013-07-25,63830.0
206,2013-07-26,63700.0
207,2013-07-27,63580.0
208,2013-07-28,63470.0
209,2013-07-29,63330.0
210,2013-07-30,63210.0
211,2013-07-31,63050.0
212,2013-08-01,62940.0
213,2013-08-02,62820.0
214,2013-08-03,62680.0
215,2013-08-04,62550.0
216,2013-08-05,62390.0
217,2013-08-06,62250.0
218,2013-08-07,62180.0
219,2013-08-08,62160.0
220,2013-08-09,62140.0
221,2013-08-10,62120.0
222,2013-08-11,62100.0
223,2013-08-12,62080.0
224,2013-08-13,62040.0
225,2013-08-14,61890.0
226,2013-08-15,61730.0
227,2013-08-16,61580.0
228,2013-08-17,61430.0
229,2013-08-18,61270.0
230,2013-08-19,61140.0
231,2013-08-20,61000.0
232,2013-08-21,60870.0
233,2013-08-22,60700.0
234,2013-08-23,60520.0
235,2013-08-24,60340.0
236,2013-08-25,60190.0
237,2013-08-26,60030.0
238,2013-08-27,59910.0
239,2013-08-28,59790.0
240,2013-08-29,59660.0
241,2013-08-30,59510.0
242,2013-08-31,59360.0
243,2013-09-01,59260.0
244,2013-09-02,59130.0
245,2013-09-03,58960.0
246,2013-09-04,58820.0
247,2013-09-05,58690.0
248,2013-09-06,58550.0
249,2013-09-07,58400.0
250,2013-09-08,58250.0
251,2013-09-09,58120.0
252,2013-09-10,57980.0
253,2013-09-11,57840.0
254,2013-09-12,57700.0
255,2013-09-13,57530.0
256,2013-09-14,57370.0
257,2013-09-15,57220.0
258,2013-09-16,57040.0
259,2013-09-17,56900.0
260,2013-09-18,56700.0
261,2013-09-19,56650.0
262,2013-09-20,56640.0
263,2013-09-21,56640.0
264,2013-09-22,56600.0
265,2013-09-23,56600.0
266,2013-09-24,56550.0
267,2013-09-25,56560.0
268,2013-09-26,56520.0
269,2013-09-27,56510.0
270,2013-09-28,56500.0
271,2013-09-29,56480.0
272,2013-09-30,56450.0
273,2013-10-01,56430.0
274,2013-10-02,56420.0
275,2013-10-03,56400.0
276,2013-10-04,56370.0
277,2013-10-05,56360.0
278,2013-10-06,56350.0
279,2013-10-07,56320.0
280,2013-10-08,56300.0
281,2013-10-09,56390.0
282,2013-10-10,56390.0
283,2013-10-11,56380.0
284,2013-10-12,56370.0
285,2013-10-13,56360.0
286,2013-10-14,56340.0
287,2013-10-15,56280.0
288,2013-10-16,56170.0
289,2013-10-17,56110.0
290,2013-10-18,56100.0
291,2013-10-19,56090.0
292,2013-10-20,56070.0
293,2013-10-21,56050.0
294,2013-10-22,56040.0
295,2013-10-23,56030.0
296,2013-10-24,56020.0
297,2013-10-25,55960.0
298,2013-10-26,55860.0
299,2013-10-27,55760.0
300,2013-10-28,55660.0
301,2013-10-29,55590.0
302,2013-10-30,55490.0
303,2013-10-31,55180.0
304,2013-11-01,55050.0
305,2013-11-02,54920.0
306,2013-11-03,54970.0
307,2013-11-04,54760.0
308,2013-11-05,54520.0
309,2013-11-06,54520.0
310,2013-11-07,54280.0
311,2013-11-08,54120.0
312,2013-11-09,54020.0
313,2013-11-10,53880.0
314,2013-11-11,53730.0
315,2013-11-12,53690.0
316,2013-11-13,53440.0
317,2013-11-14,53290.0
