,datetime,FALL_CREEK_LAKE_NEAR_LOWELL__OR.tsv
0,2013-08-01,822.55
1,2013-08-02,822.34
2,2013-08-03,822.19
3,2013-08-04,821.92
4,2013-08-05,821.75
5,2013-08-06,821.45
6,2013-08-07,821.23
7,2013-08-08,821.1
8,2013-08-09,820.83
9,2013-08-10,820.66
10,2013-08-11,820.39
11,2013-08-12,820.21
12,2013-08-13,819.95
13,2013-08-14,819.72
14,2013-08-15,819.5
15,2013-08-16,819.18
16,2013-08-17,818.94
17,2013-08-18,818.81
18,2013-08-19,818.56
19,2013-08-20,818.34
20,2013-08-21,818.09
21,2013-08-22,817.8
22,2013-08-23,817.65
23,2013-08-24,817.4
24,2013-08-25,817.14
25,2013-08-26,817.01
26,2013-08-27,816.72
27,2013-08-28,816.5
28,2013-08-29,816.27
29,2013-08-30,816.08
30,2013-08-31,815.76
31,2013-09-01,815.58
32,2013-09-02,815.33
33,2013-09-03,815.07
34,2013-09-04,814.84
35,2013-09-05,814.7
36,2013-09-06,814.62
37,2013-09-07,814.45
38,2013-09-08,814.22
39,2013-09-09,813.98
40,2013-09-10,813.74
41,2013-09-11,813.51
42,2013-09-12,813.19
43,2013-09-13,813.0
44,2013-09-14,812.75
45,2013-09-15,812.46
46,2013-09-16,812.25
47,2013-09-17,812.09
48,2013-09-18,811.84
49,2013-09-19,811.62
50,2013-09-20,811.42
51,2013-09-21,811.32
52,2013-09-22,811.12
53,2013-09-23,810.9
54,2013-09-24,810.75
55,2013-09-25,810.63
56,2013-09-26,809.62
57,2013-09-27,808.24
58,2013-09-28,807.25
59,2013-09-29,807.45
60,2013-09-30,808.56
61,2013-10-01,807.6
62,2013-10-02,805.78
63,2013-10-03,803.71
64,2013-10-04,801.29
65,2013-10-05,798.71
66,2013-10-06,796.02
67,2013-10-07,793.6
68,2013-10-08,791.51
69,2013-10-09,790.12
70,2013-10-10,788.82
71,2013-10-11,787.47
72,2013-10-12,785.99
73,2013-10-13,784.49
74,2013-10-14,782.79
75,2013-10-15,781.2
76,2013-10-16,779.56
77,2013-10-17,777.85
78,2013-10-18,775.99
79,2013-10-19,774.19
80,2013-10-20,772.36
81,2013-10-21,770.47
82,2013-10-22,768.69
83,2013-10-23,766.89
84,2013-10-24,765.02
85,2013-10-25,763.1
86,2013-10-26,761.18
87,2013-10-27,759.25
88,2013-10-28,757.38
89,2013-10-29,755.39
90,2013-10-30,753.4966666666667
91,2013-10-31,751.6033333333334
92,2013-11-01,749.71
93,2013-11-02,747.91
94,2013-11-03,746.6
95,2013-11-04,745.28
96,2013-11-05,744.5
97,2013-11-06,744.17
98,2013-11-07,743.53
99,2013-11-08,743.3
100,2013-11-09,742.16
101,2013-11-10,740.45
102,2013-11-11,739.53
103,2013-11-12,739.45
104,2013-11-13,739.78
105,2013-11-14,739.66
106,2013-11-15,737.62
107,2013-11-16,736.46
108,2013-11-17,735.23
109,2013-11-18,732.81
110,2013-11-19,732.95
111,2013-11-20,734.87
112,2013-11-21,733.07
113,2013-11-22,729.88
114,2013-11-23,725.66
115,2013-11-24,720.56
116,2013-11-25,714.17
117,2013-11-26,708.21
118,2013-11-27,703.27
119,2013-11-28,700.35
120,2013-11-29,699.68
121,2013-11-30,699.86
122,2013-12-01,699.99
123,2013-12-02,708.77
124,2013-12-03,711.63
125,2013-12-04,710.61
126,2013-12-05,707.69
127,2013-12-06,703.45
128,2013-12-07,697.08
129,2013-12-08,679.48
130,2013-12-09,679.4549999999999
131,2013-12-10,679.43
132,2013-12-11,678.95
133,2013-12-12,679.3
134,2013-12-13,679.93
135,2013-12-14,679.24
136,2013-12-15,684.71
137,2013-12-16,688.87
138,2013-12-17,690.21
139,2013-12-18,690.84
140,2013-12-19,691.48
141,2013-12-20,693.4
142,2013-12-21,702.63
143,2013-12-22,708.58
144,2013-12-23,712.12
145,2013-12-24,714.86
146,2013-12-25,716.87
147,2013-12-26,718.43
148,2013-12-27,719.62
149,2013-12-28,720.86
150,2013-12-29,721.25
151,2013-12-30,721.65
152,2013-12-31,721.25
153,2014-01-01,720.02
154,2014-01-02,718.61
155,2014-01-03,717.11
156,2014-01-04,715.85
157,2014-01-05,715.48
158,2014-01-06,715.16
159,2014-01-07,714.84
160,2014-01-08,715.07
161,2014-01-09,717.5
162,2014-01-10,716.38
163,2014-01-11,714.39
164,2014-01-12,715.29
165,2014-01-13,713.47
166,2014-01-14,711.21
167,2014-01-15,710.44
168,2014-01-16,709.45
169,2014-01-17,709.24
170,2014-01-18,709.0
171,2014-01-19,708.89
172,2014-01-20,708.32
173,2014-01-21,708.09
174,2014-01-22,708.28
175,2014-01-23,708.37
176,2014-01-24,709.15
177,2014-01-25,710.46
178,2014-01-26,711.59
179,2014-01-27,712.64
180,2014-01-28,713.82
181,2014-01-29,720.46
182,2014-01-30,723.18
183,2014-01-31,723.54
184,2014-02-01,722.78
185,2014-02-02,721.5
186,2014-02-03,719.99
187,2014-02-04,718.85
188,2014-02-05,718.53
189,2014-02-06,718.23
190,2014-02-07,718.39
191,2014-02-08,721.19
192,2014-02-09,718.61
193,2014-02-10,710.11
194,2014-02-11,697.89
195,2014-02-12,724.0
196,2014-02-13,741.8
197,2014-02-14,759.85
198,2014-02-15,773.28
199,2014-02-16,781.87
200,2014-02-17,786.86
201,2014-02-18,791.31
202,2014-02-19,791.85
203,2014-02-20,790.83
204,2014-02-21,789.62
205,2014-02-22,788.2
206,2014-02-23,786.85
207,2014-02-24,786.25
208,2014-02-25,786.49
209,2014-02-26,786.93
210,2014-02-27,787.67
211,2014-02-28,788.26
212,2014-03-01,789.16
213,2014-03-02,790.78
214,2014-03-03,792.72
215,2014-03-04,793.11
216,2014-03-05,792.97
217,2014-03-06,794.3
218,2014-03-07,795.3
219,2014-03-08,795.31
220,2014-03-09,796.71
221,2014-03-10,803.74
222,2014-03-11,806.48
223,2014-03-12,807.16
224,2014-03-13,806.95
225,2014-03-14,806.33
226,2014-03-15,805.32
227,2014-03-16,804.16
228,2014-03-17,803.75
229,2014-03-18,803.91
230,2014-03-19,804.36
231,2014-03-20,804.97
232,2014-03-21,805.49
233,2014-03-22,805.87
234,2014-03-23,806.18
235,2014-03-24,806.45
236,2014-03-25,806.72
237,2014-03-26,807.08
238,2014-03-27,807.94
239,2014-03-28,809.49
240,2014-03-29,812.17
241,2014-03-30,813.74
242,2014-03-31,814.41
243,2014-04-01,814.37
244,2014-04-02,813.87
245,2014-04-03,813.24
246,2014-04-04,812.88
247,2014-04-05,813.1
248,2014-04-06,814.06
249,2014-04-07,814.81
250,2014-04-08,815.23
251,2014-04-09,815.5
252,2014-04-10,815.75
253,2014-04-11,816.07
254,2014-04-12,816.41
255,2014-04-13,816.65
256,2014-04-14,816.85
257,2014-04-15,817.01
258,2014-04-16,817.14
259,2014-04-17,817.38
260,2014-04-18,817.59
261,2014-04-19,817.73
262,2014-04-20,817.84
263,2014-04-21,817.99
264,2014-04-22,818.4
265,2014-04-23,818.97
266,2014-04-24,820.52
267,2014-04-25,822.05
268,2014-04-26,823.06
269,2014-04-27,824.05
270,2014-04-28,825.2
271,2014-04-29,826.02
272,2014-04-30,826.6
273,2014-05-01,827.01
274,2014-05-02,827.32
275,2014-05-03,827.57
276,2014-05-04,827.84
277,2014-05-05,828.2
278,2014-05-06,828.26
279,2014-05-07,828.29
280,2014-05-08,828.36
281,2014-05-09,828.91
282,2014-05-10,829.81
283,2014-05-11,830.0
284,2014-05-12,829.97
285,2014-05-13,829.92
286,2014-05-14,829.93
287,2014-05-15,829.82
288,2014-05-16,829.77
289,2014-05-17,829.71
290,2014-05-18,829.75
291,2014-05-19,829.78
292,2014-05-20,829.76
293,2014-05-21,829.73
294,2014-05-22,829.72
295,2014-05-23,829.7
296,2014-05-24,829.65
297,2014-05-25,829.58
298,2014-05-26,829.52
299,2014-05-27,829.5
300,2014-05-28,829.57
301,2014-05-29,829.59
302,2014-05-30,829.57
303,2014-05-31,829.54
304,2014-06-01,829.5
305,2014-06-02,829.44
306,2014-06-03,829.38
307,2014-06-04,829.3
308,2014-06-05,829.11
309,2014-06-06,828.78
310,2014-06-07,828.46
311,2014-06-08,828.14
312,2014-06-09,827.8
313,2014-06-10,827.46
314,2014-06-11,827.11
315,2014-06-12,826.77
316,2014-06-13,826.6
317,2014-06-14,826.52
318,2014-06-15,826.42
319,2014-06-16,826.35
320,2014-06-17,826.32
321,2014-06-18,826.24
322,2014-06-19,826.13
323,2014-06-20,825.95
324,2014-06-21,825.84
325,2014-06-22,825.71
326,2014-06-23,825.57
327,2014-06-24,825.43
328,2014-06-25,825.34
329,2014-06-26,825.31
330,2014-06-27,825.27
331,2014-06-28,825.23
332,2014-06-29,825.14
333,2014-06-30,825.04
334,2014-07-01,824.93
335,2014-07-02,824.79
336,2014-07-03,824.66
337,2014-07-04,824.5
338,2014-07-05,824.36
339,2014-07-06,824.2
340,2014-07-07,824.04
341,2014-07-08,823.87
342,2014-07-09,823.7
343,2014-07-10,823.53
344,2014-07-11,823.36
345,2014-07-12,823.18
346,2014-07-13,823.0
347,2014-07-14,822.81
348,2014-07-15,822.63
349,2014-07-16,822.44
350,2014-07-17,822.23
351,2014-07-18,822.03
352,2014-07-19,821.83
353,2014-07-20,821.63
354,2014-07-21,821.43
355,2014-07-22,821.25
356,2014-07-23,821.1
357,2014-07-24,820.94
358,2014-07-25,820.74
359,2014-07-26,820.54
360,2014-07-27,820.34
361,2014-07-28,820.14
362,2014-07-29,819.93
363,2014-07-30,819.72
364,2014-07-31,819.5
365,2014-08-01,819.28
366,2014-08-02,819.07
