,datetime,FRANKLIN_ROOSEVELT_LAKE_AT_GRAND_COULEE_DAM__WA.tsv
0,2013-01-01,1284.15
1,2013-01-02,1283.35
2,2013-01-03,1282.17
3,2013-01-04,1281.0
4,2013-01-05,1280.11
5,2013-01-06,1279.54
6,2013-01-07,1279.34
7,2013-01-08,1279.06
8,2013-01-09,1279.2
9,2013-01-10,1278.96
10,2013-01-11,1278.72
11,2013-01-12,1278.2
12,2013-01-13,1277.87
13,2013-01-14,1277.37
14,2013-01-15,1277.12
15,2013-01-16,1276.43
16,2013-01-17,1275.81
17,2013-01-18,1275.12
18,2013-01-19,1274.28
19,2013-01-20,1273.52
20,2013-01-21,1272.55
21,2013-01-22,1271.88
22,2013-01-23,1271.07
23,2013-01-24,1270.77
24,2013-01-25,1270.78
25,2013-01-26,1271.13
26,2013-01-27,1272.53
27,2013-01-28,1272.71
28,2013-01-29,1273.18
29,2013-01-30,1274.11
30,2013-01-31,1275.08
31,2013-02-01,1276.06
32,2013-02-02,1277.16
33,2013-02-03,1278.88
34,2013-02-04,1279.8
35,2013-02-05,1280.17
36,2013-02-06,1280.44
37,2013-02-07,1280.63
38,2013-02-08,1280.47
39,2013-02-09,1280.55
40,2013-02-10,1280.64
41,2013-02-11,1280.68
42,2013-02-12,1280.69
43,2013-02-13,1280.43
44,2013-02-14,1279.89
45,2013-02-15,1279.44
46,2013-02-16,1279.05
47,2013-02-17,1278.61
48,2013-02-18,1277.7
49,2013-02-19,1276.7
50,2013-02-20,1275.72
51,2013-02-21,1275.24
52,2013-02-22,1274.95
53,2013-02-23,1275.33
54,2013-02-24,1276.09
55,2013-02-25,1275.82
56,2013-02-26,1275.65
57,2013-02-27,1275.33
58,2013-02-28,1275.4
59,2013-03-01,1275.62
60,2013-03-02,1276.0
61,2013-03-03,1276.7
62,2013-03-04,1276.42
63,2013-03-05,1275.99
64,2013-03-06,1276.04
65,2013-03-07,1275.77
66,2013-03-08,1275.25
67,2013-03-09,1275.54
68,2013-03-10,1276.18
69,2013-03-11,1275.97
70,2013-03-12,1276.01
71,2013-03-13,1275.94
72,2013-03-14,1275.93
73,2013-03-15,1276.15
74,2013-03-16,1276.76
75,2013-03-17,1277.59
76,2013-03-18,1278.21
77,2013-03-19,1278.03
78,2013-03-20,1278.75
79,2013-03-21,1279.33
80,2013-03-22,1279.93
81,2013-03-23,1280.82
82,2013-03-24,1281.99
83,2013-03-25,1282.73
84,2013-03-26,1282.67
85,2013-03-27,1282.35
86,2013-03-28,1281.78
87,2013-03-29,1281.58
88,2013-03-30,1281.96
89,2013-03-31,1282.18
90,2013-04-01,1282.07
91,2013-04-02,1281.71
92,2013-04-03,1280.58
93,2013-04-04,1279.75
94,2013-04-05,1279.41
95,2013-04-06,1279.67
96,2013-04-07,1280.48
97,2013-04-08,1280.31
98,2013-04-09,1279.79
99,2013-04-10,1278.94
100,2013-04-11,1277.8
101,2013-04-12,1276.62
102,2013-04-13,1275.61
103,2013-04-14,1274.53
104,2013-04-15,1273.05
105,2013-04-16,1271.58
106,2013-04-17,1270.15
107,2013-04-18,1268.61
108,2013-04-19,1267.75
109,2013-04-20,1267.1
110,2013-04-21,1266.14
111,2013-04-22,1264.9
112,2013-04-23,1263.51
113,2013-04-24,1262.57
114,2013-04-25,1261.54
115,2013-04-26,1260.48
116,2013-04-27,1260.25
117,2013-04-28,1259.84
118,2013-04-29,1259.04
119,2013-04-30,1258.12
120,2013-05-01,1257.26
121,2013-05-02,1256.49
122,2013-05-03,1255.75
123,2013-05-04,1255.81
124,2013-05-05,1255.61
125,2013-05-06,1255.18
126,2013-05-07,1254.86
127,2013-05-08,1254.8
128,2013-05-09,1254.51
129,2013-05-10,1254.44
130,2013-05-11,1255.6
131,2013-05-12,1257.23
132,2013-05-13,1258.94
133,2013-05-14,1260.95
134,2013-05-15,1262.78
135,2013-05-16,1264.3
136,2013-05-17,1265.52
137,2013-05-18,1266.87
138,2013-05-19,1267.61
139,2013-05-20,1268.62
140,2013-05-21,1269.06
141,2013-05-22,1269.85
142,2013-05-23,1271.19
143,2013-05-24,1272.06
144,2013-05-25,1272.58
145,2013-05-26,1272.95
146,2013-05-27,1273.18
147,2013-05-28,1273.56
148,2013-05-29,1274.62
149,2013-05-30,1276.68
150,2013-05-31,1277.67
151,2013-06-01,1278.53
