,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.tsv
0,2013-01-01,874.41
1,2013-01-02,871.7
2,2013-01-03,872.38
3,2013-01-04,872.1
4,2013-01-05,871.73
5,2013-01-06,871.31
6,2013-01-07,871.58
7,2013-01-08,871.48
8,2013-01-09,869.88
9,2013-01-10,873.18
10,2013-01-11,872.78
11,2013-01-12,872.76
12,2013-01-13,872.69
13,2013-01-14,871.58
14,2013-01-15,871.14
15,2013-01-16,871.39
16,2013-01-17,870.84
17,2013-01-18,872.55
18,2013-01-19,871.37
19,2013-01-20,872.01
20,2013-01-21,870.63
21,2013-01-22,871.96
22,2013-01-23,872.22
23,2013-01-24,872.38
24,2013-01-25,871.17
25,2013-01-26,871.75
26,2013-01-27,871.48
27,2013-01-28,871.06
28,2013-01-29,872.35
29,2013-01-30,871.66
30,2013-01-31,871.75
31,2013-02-01,871.87
32,2013-02-02,872.99
33,2013-02-03,872.4
34,2013-02-04,871.15
35,2013-02-05,871.22
36,2013-02-06,870.73
37,2013-02-07,870.95
38,2013-02-08,871.72
39,2013-02-09,872.2
40,2013-02-10,872.31
41,2013-02-11,871.6
42,2013-02-12,872.25
43,2013-02-13,871.23
44,2013-02-14,871.44
45,2013-02-15,871.35
46,2013-02-16,871.41
47,2013-02-17,871.05
48,2013-02-18,871.13
49,2013-02-19,872.03
50,2013-02-20,873.08
51,2013-02-21,872.53
52,2013-02-22,872.87
53,2013-02-23,872.39
54,2013-02-24,871.65
55,2013-02-25,871.35
56,2013-02-26,871.23
57,2013-02-27,871.55
58,2013-02-28,871.47
59,2013-03-01,873.78
60,2013-03-02,871.89
61,2013-03-03,870.77
62,2013-03-04,871.85
63,2013-03-05,871.52
64,2013-03-06,872.38
65,2013-03-07,871.54
66,2013-03-08,870.95
67,2013-03-09,870.94
68,2013-03-10,871.48
69,2013-03-11,872.85
70,2013-03-12,871.4
71,2013-03-13,871.3
72,2013-03-14,871.02
73,2013-03-15,871.92
74,2013-03-16,871.63
75,2013-03-17,870.63
76,2013-03-18,871.16
77,2013-03-19,870.95
78,2013-03-20,871.34
79,2013-03-21,871.13
80,2013-03-22,870.46
81,2013-03-23,870.41
82,2013-03-24,870.47
83,2013-03-25,868.69
84,2013-03-26,871.01
85,2013-03-27,871.06
86,2013-03-28,870.59
87,2013-03-29,871.5
88,2013-03-30,871.58
89,2013-03-31,871.46
90,2013-04-01,870.9
91,2013-04-02,871.59
92,2013-04-03,870.93
93,2013-04-04,871.28
94,2013-04-05,872.63
95,2013-04-06,871.23
96,2013-04-07,871.38
97,2013-04-08,871.09
98,2013-04-09,870.55
99,2013-04-10,872.03
100,2013-04-11,871.05
101,2013-04-12,871.54
102,2013-04-13,871.02
103,2013-04-14,871.1
104,2013-04-15,871.27
105,2013-04-16,869.66
106,2013-04-17,872.26
107,2013-04-18,872.0
108,2013-04-19,871.13
109,2013-04-20,871.91
110,2013-04-21,871.6
111,2013-04-22,871.44
112,2013-04-23,872.15
113,2013-04-24,871.62
114,2013-04-25,870.25
115,2013-04-26,873.1
116,2013-04-27,871.65
117,2013-04-28,872.09
118,2013-04-29,872.08
119,2013-04-30,870.63
120,2013-05-01,870.26
121,2013-05-02,870.65
122,2013-05-03,870.67
123,2013-05-04,871.71
124,2013-05-05,872.28
125,2013-05-06,870.12
126,2013-05-07,871.57
127,2013-05-08,871.8
128,2013-05-09,871.49
129,2013-05-10,872.37
130,2013-05-11,872.99
131,2013-05-12,871.43
132,2013-05-13,872.67
133,2013-05-14,869.91
134,2013-05-15,870.46
135,2013-05-16,871.59
136,2013-05-17,871.71
137,2013-05-18,872.49
138,2013-05-19,872.53
139,2013-05-20,872.09
140,2013-05-21,871.66
141,2013-05-22,871.92
142,2013-05-23,871.63
143,2013-05-24,871.89
144,2013-05-25,871.99
145,2013-05-26,872.49
146,2013-05-27,871.88
147,2013-05-28,872.2
148,2013-05-29,871.01
149,2013-05-30,871.59
150,2013-05-31,870.64
151,2013-06-01,872.28
152,2013-06-02,871.9
153,2013-06-03,872.34
154,2013-06-04,872.64
155,2013-06-05,870.57
156,2013-06-06,871.64
157,2013-06-07,871.17
158,2013-06-08,871.58
159,2013-06-09,871.91
160,2013-06-10,870.95
161,2013-06-11,870.59
162,2013-06-12,870.66
163,2013-06-13,870.68
164,2013-06-14,871.62
165,2013-06-15,871.22
166,2013-06-16,872.2
167,2013-06-17,872.33
168,2013-06-18,872.05
