,datetime,HOWARD_A_HANSON_RESERVOIR_NEAR_PALMER__WA.tsv
0,2013-01-01,33018.0
1,2013-01-02,33017.6
2,2013-01-03,33015.6
3,2013-01-04,33015.3
4,2013-01-05,33016.2
5,2013-01-06,33016.9
6,2013-01-07,33018.3
7,2013-01-08,33020.5
8,2013-01-09,33021.2
9,2013-01-10,33020.6
10,2013-01-11,33017.5
11,2013-01-12,33019.1
12,2013-01-13,33018.9
13,2013-01-14,33017.2
14,2013-01-15,33015.1
15,2013-01-16,33015.2
16,2013-01-17,33015.2
17,2013-01-18,33015.3
18,2013-01-19,33017.0
19,2013-01-20,33018.4
20,2013-01-21,33020.3
21,2013-01-22,33022.5
22,2013-01-23,33020.5
23,2013-01-24,33017.7
24,2013-01-25,33016.9
25,2013-01-26,33018.5
26,2013-01-27,33020.0
27,2013-01-28,33021.3
28,2013-01-29,33017.6
29,2013-01-30,33020.1
30,2013-01-31,33021.9
31,2013-02-01,33022.6
32,2013-02-02,33025.8
33,2013-02-03,33024.8
34,2013-02-04,33021.0
35,2013-02-05,33017.8
36,2013-02-06,33017.7
37,2013-02-07,33017.4
38,2013-02-08,33017.3
39,2013-02-09,33019.9
40,2013-02-10,33020.8
41,2013-02-11,33019.0
42,2013-02-12,33015.4
43,2013-02-13,33017.6
44,2013-02-14,33019.0
45,2013-02-15,33019.0
46,2013-02-16,33019.7
47,2013-02-17,33021.4
48,2013-02-18,33021.3
49,2013-02-19,33019.8
50,2013-02-20,33019.9
51,2013-02-21,33020.1
52,2013-02-22,33020.3
53,2013-02-23,33020.8
54,2013-02-24,33021.4
55,2013-02-25,33021.9
56,2013-02-26,33022.5
57,2013-02-27,33024.1
58,2013-02-28,33025.6
59,2013-03-01,33030.1
60,2013-03-02,33035.7
61,2013-03-03,33037.4
62,2013-03-04,33037.2
63,2013-03-05,33036.9
64,2013-03-06,33037.2
65,2013-03-07,33037.6
66,2013-03-08,33038.7
67,2013-03-09,33040.5
68,2013-03-10,33041.9
69,2013-03-11,33042.9
70,2013-03-12,33043.8
71,2013-03-13,33046.8
72,2013-03-14,33051.5
73,2013-03-15,33053.8
74,2013-03-16,33056.2
75,2013-03-17,33058.2
76,2013-03-18,33056.8
77,2013-03-19,33056.3
78,2013-03-20,33055.8
79,2013-03-21,33056.5
80,2013-03-22,33057.7
81,2013-03-23,33059.3
82,2013-03-24,33060.3
83,2013-03-25,33060.8
84,2013-03-26,33061.2
85,2013-03-27,33061.9
86,2013-03-28,33062.3
87,2013-03-29,33062.7
88,2013-03-30,33063.4
89,2013-03-31,33064.5
90,2013-04-01,33066.8
91,2013-04-02,33067.5
92,2013-04-03,33067.9
93,2013-04-04,33067.8
94,2013-04-05,33068.0
95,2013-04-06,33069.3
96,2013-04-07,33071.0
97,2013-04-08,33072.2
98,2013-04-09,33072.6
99,2013-04-10,33072.8
100,2013-04-11,33074.9
101,2013-04-12,33077.2
102,2013-04-13,33077.9
103,2013-04-14,33077.7
104,2013-04-15,33078.2
105,2013-04-16,33078.5
106,2013-04-17,33079.9
107,2013-04-18,33080.8
108,2013-04-19,33081.7
109,2013-04-20,33084.2
110,2013-04-21,33086.4
111,2013-04-22,33086.4
112,2013-04-23,33086.5
113,2013-04-24,33087.2
114,2013-04-25,33087.4
115,2013-04-26,33088.1
116,2013-04-27,33088.5
117,2013-04-28,33089.2
118,2013-04-29,33090.5
119,2013-04-30,33090.4
120,2013-05-01,33090.9
121,2013-05-02,33091.5
122,2013-05-03,33092.0
123,2013-05-04,33092.1
124,2013-05-05,33092.7
125,2013-05-06,33093.3
126,2013-05-07,33093.6
127,2013-05-08,33094.1
128,2013-05-09,33094.5
129,2013-05-10,33094.9
130,2013-05-11,33095.2
131,2013-05-12,33095.5
132,2013-05-13,33095.6
133,2013-05-14,33096.1
134,2013-05-15,33096.4
135,2013-05-16,33096.9
136,2013-05-17,33097.8
137,2013-05-18,33098.3
138,2013-05-19,33098.5
139,2013-05-20,33099.0
140,2013-05-21,33099.7
141,2013-05-22,33100.5
142,2013-05-23,33101.2
143,2013-05-24,33101.8
144,2013-05-25,33102.5
145,2013-05-26,33103.1
146,2013-05-27,33103.9
147,2013-05-28,33104.6
148,2013-05-29,33105.4
149,2013-05-30,33106.1
150,2013-05-31,33106.9
151,2013-06-01,33107.1
152,2013-06-02,33107.0
153,2013-06-03,33106.7
154,2013-06-04,33106.8
155,2013-06-05,33107.0
156,2013-06-06,33107.2
157,2013-06-07,33107.3
158,2013-06-08,33107.3
159,2013-06-09,33107.3
160,2013-06-10,33107.1
161,2013-06-11,33107.1
162,2013-06-12,33107.1
