,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.tsv
0,2013-01-01,108425.19
1,2013-01-02,108725.35
2,2013-01-03,109125.48
3,2013-01-04,109425.61
4,2013-01-05,109825.79
5,2013-01-06,110225.96
6,2013-01-07,110526.09
7,2013-01-08,110826.22
8,2013-01-09,111126.35
9,2013-01-10,111426.47
10,2013-01-11,111626.56
11,2013-01-12,111926.66
12,2013-01-13,112126.75
13,2013-01-14,112326.82
14,2013-01-15,112526.91
15,2013-01-16,112626.95
16,2013-01-17,112827.02
17,2013-01-18,112927.09
18,2013-01-19,113127.14
19,2013-01-20,113227.2
20,2013-01-21,113427.27
21,2013-01-22,113527.32
22,2013-01-23,113827.44
23,2013-01-24,114027.52
24,2013-01-25,114127.58
25,2013-01-26,114327.66
26,2013-01-27,114527.71
27,2013-01-28,114627.76
28,2013-01-29,114727.81
29,2013-01-30,114927.87
30,2013-01-31,115027.91
31,2013-02-01,115127.96
32,2013-02-02,115228.0
33,2013-02-03,115328.05
34,2013-02-04,115428.09
35,2013-02-05,115528.14
36,2013-02-06,115628.16
37,2013-02-07,115728.21
38,2013-02-08,115828.23
39,2013-02-09,115828.26
40,2013-02-10,115928.28
41,2013-02-11,116028.31
42,2013-02-12,116028.33
43,2013-02-13,116128.37
44,2013-02-14,116128.37
45,2013-02-15,116228.41
46,2013-02-16,116328.44
47,2013-02-17,116328.46
48,2013-02-18,116428.47
49,2013-02-19,116528.53
50,2013-02-20,116528.54
51,2013-02-21,116628.57
52,2013-02-22,116628.57
53,2013-02-23,116728.6
54,2013-02-24,116728.61
55,2013-02-25,116828.63
56,2013-02-26,116828.64
57,2013-02-27,116928.66
58,2013-02-28,116928.67
59,2013-03-01,116928.69
60,2013-03-02,117028.7
61,2013-03-03,117028.72
62,2013-03-04,117128.74
63,2013-03-05,117228.79
64,2013-03-06,117528.91
65,2013-03-07,117628.97
66,2013-03-08,117729.0
67,2013-03-09,117829.02
68,2013-03-10,117929.06
69,2013-03-11,117929.08
70,2013-03-12,118029.1
71,2013-03-13,117929.08
72,2013-03-14,117729.0
73,2013-03-15,117328.85
74,2013-03-16,117028.71
75,2013-03-17,116528.53
76,2013-03-18,116028.31
77,2013-03-19,115328.04
78,2013-03-20,114627.75
79,2013-03-21,113727.41
80,2013-03-22,112827.05
81,2013-03-23,112026.7
