,datetime,LAKE_BILLY_CHINOOK_NEAR_GRANDVIEW__OR.tsv
0,2013-01-01,1941.9
1,2013-01-02,1941.78
2,2013-01-03,1941.92
3,2013-01-04,1941.69
4,2013-01-05,1941.86
5,2013-01-06,1942.02
6,2013-01-07,1941.79
7,2013-01-08,1941.63
8,2013-01-09,1941.44
9,2013-01-10,1941.27
10,2013-01-11,1941.05
11,2013-01-12,1941.22
12,2013-01-13,1941.28
13,2013-01-14,1941.2
14,2013-01-15,1941.21
15,2013-01-16,1941.21
16,2013-01-17,1941.02
17,2013-01-18,1941.02
18,2013-01-19,1940.71
19,2013-01-20,1940.69
20,2013-01-21,1940.81
21,2013-01-22,1940.75
22,2013-01-23,1940.87
23,2013-01-24,1940.37
24,2013-01-25,1940.27
25,2013-01-26,1940.25
26,2013-01-27,1940.23
27,2013-01-28,1940.26
28,2013-01-29,1940.32
29,2013-01-30,1940.44
30,2013-01-31,1940.37
31,2013-02-01,1940.2
32,2013-02-02,1940.13
33,2013-02-03,1940.33
34,2013-02-04,1939.96
35,2013-02-05,1939.84
36,2013-02-06,1939.9
37,2013-02-07,1940.0
38,2013-02-08,1939.98
39,2013-02-09,1939.98
40,2013-02-10,1939.92
41,2013-02-11,1939.84
42,2013-02-12,1939.82
43,2013-02-13,1939.82
44,2013-02-14,1939.94
45,2013-02-15,1940.01
46,2013-02-16,1939.95
47,2013-02-17,1939.91
48,2013-02-18,1939.94
49,2013-02-19,1939.92
50,2013-02-20,1939.81
51,2013-02-21,1939.89
52,2013-02-22,1940.02
53,2013-02-23,1940.19
54,2013-02-24,1940.06
55,2013-02-25,1940.04
56,2013-02-26,1940.21
57,2013-02-27,1940.15
58,2013-02-28,1940.14
59,2013-03-01,1940.1
60,2013-03-02,1940.12
61,2013-03-03,1940.17
62,2013-03-04,1940.36
63,2013-03-05,1940.4
64,2013-03-06,1940.62
65,2013-03-07,1940.52
66,2013-03-08,1940.62
67,2013-03-09,1940.56
68,2013-03-10,1940.6
69,2013-03-11,1940.82
70,2013-03-12,1940.67
71,2013-03-13,1940.73
72,2013-03-14,1940.78
73,2013-03-15,1941.01
74,2013-03-16,1941.07
75,2013-03-17,1941.37
76,2013-03-18,1941.49
77,2013-03-19,1941.57
78,2013-03-20,1941.58
79,2013-03-21,1941.85
80,2013-03-22,1941.87
81,2013-03-23,1942.13
82,2013-03-24,1942.33
83,2013-03-25,1942.57
84,2013-03-26,1942.38
85,2013-03-27,1942.26
86,2013-03-28,1942.14
87,2013-03-29,1941.98
88,2013-03-30,1942.05
89,2013-03-31,1942.26
90,2013-04-01,1942.48
91,2013-04-02,1942.66
92,2013-04-03,1942.93
93,2013-04-04,1943.16
94,2013-04-05,1943.52
95,2013-04-06,1943.39
96,2013-04-07,1943.47
97,2013-04-08,1943.48
98,2013-04-09,1943.35
99,2013-04-10,1943.31
100,2013-04-11,1943.38
101,2013-04-12,1943.35
102,2013-04-13,1943.31
103,2013-04-14,1943.54
104,2013-04-15,1943.53
105,2013-04-16,1943.59
106,2013-04-17,1943.78
107,2013-04-18,1943.8
108,2013-04-19,1943.79
109,2013-04-20,1943.95
110,2013-04-21,1944.05
111,2013-04-22,1944.02
112,2013-04-23,1944.17
113,2013-04-24,1944.32
114,2013-04-25,1944.33
115,2013-04-26,1944.5
116,2013-04-27,1944.52
117,2013-04-28,1944.54
118,2013-04-29,1944.4
119,2013-04-30,1944.31
120,2013-05-01,1944.36
121,2013-05-02,1944.34
122,2013-05-03,1944.2
123,2013-05-04,1944.36
124,2013-05-05,1944.39
125,2013-05-06,1944.67
126,2013-05-07,1944.67
127,2013-05-08,1944.5
128,2013-05-09,1944.44
129,2013-05-10,1944.44
130,2013-05-11,1944.44
131,2013-05-12,1944.43
132,2013-05-13,1944.6
