,datetime,LAKE_BRYAN_FOREBAY_AT_LITTLE_GOOSE_DAM__WA.tsv
0,2013-03-19,324.5
1,2013-03-20,328.1
2,2013-03-21,324.2
3,2013-03-22,321.1
4,2013-03-23,318.8
5,2013-03-24,319.5
6,2013-03-25,322.4
7,2013-03-26,326.7
8,2013-03-27,329.6
9,2013-03-28,330.0
10,2013-03-29,329.4
11,2013-03-30,327.7
12,2013-03-31,336.1
13,2013-04-01,335.3
14,2013-04-02,333.3
15,2013-04-03,335.7
16,2013-04-04,338.7
17,2013-04-05,342.1
18,2013-04-06,344.7
19,2013-04-07,350.0
20,2013-04-08,350.0
21,2013-04-09,347.1
22,2013-04-10,348.0
23,2013-04-11,346.6
24,2013-04-12,351.9
25,2013-04-13,353.7
26,2013-04-14,347.7
27,2013-04-15,345.7
28,2013-04-16,343.6
29,2013-04-17,343.6
30,2013-04-18,348.8
31,2013-04-19,352.6
32,2013-04-20,351.1
33,2013-04-21,350.7
34,2013-04-22,348.8
35,2013-04-23,349.7
36,2013-04-24,355.1
37,2013-04-25,360.8
38,2013-04-26,362.8
39,2013-04-27,369.7
40,2013-04-28,371.3
41,2013-04-29,366.7
42,2013-04-30,360.3
43,2013-05-01,354.1
44,2013-05-02,355.5
45,2013-05-03,361.6
46,2013-05-04,376.1
47,2013-05-05,386.5
48,2013-05-06,385.9
49,2013-05-07,383.5
50,2013-05-08,380.3
51,2013-05-09,379.4
52,2013-05-10,380.8
53,2013-05-11,379.0
54,2013-05-12,374.6
55,2013-05-13,368.6
56,2013-05-14,362.2
57,2013-05-15,362.7
58,2013-05-16,366.5
59,2013-05-17,365.3
60,2013-05-18,360.7
61,2013-05-19,356.7
62,2013-05-20,362.1
63,2013-05-21,370.2
64,2013-05-22,365.8
65,2013-05-23,360.2
66,2013-05-24,360.2
67,2013-05-25,362.3
68,2013-05-26,366.3
69,2013-05-27,370.2
70,2013-05-28,372.8
71,2013-05-29,375.9
72,2013-05-30,371.7
73,2013-05-31,369.7
74,2013-06-01,369.5
75,2013-06-02,374.1
76,2013-06-03,374.9
77,2013-06-04,375.3
78,2013-06-05,377.9
79,2013-06-06,380.2
80,2013-06-07,381.9
81,2013-06-08,387.2
82,2013-06-09,389.4
83,2013-06-10,390.2
84,2013-06-11,389.1
85,2013-06-12,384.8
86,2013-06-13,379.0
87,2013-06-14,374.2
88,2013-06-15,373.0
89,2013-06-16,373.7
90,2013-06-17,374.1
91,2013-06-18,374.8
92,2013-06-19,378.0
93,2013-06-20,377.0
94,2013-06-21,371.4
95,2013-06-22,370.9
96,2013-06-23,376.5
97,2013-06-24,379.4
98,2013-06-25,384.2
99,2013-06-26,383.1
100,2013-06-27,383.8
101,2013-06-28,382.2
102,2013-06-29,390.1
103,2013-06-30,397.2
104,2013-07-01,399.9
105,2013-07-02,402.1
106,2013-07-03,400.8
107,2013-07-04,404.2
108,2013-07-05,405.6
109,2013-07-06,404.4
110,2013-07-07,402.3
111,2013-07-08,396.0
112,2013-07-09,397.3
113,2013-07-10,403.5
114,2013-07-11,398.2
115,2013-07-12,399.7
116,2013-07-13,395.3
117,2013-07-14,394.3
118,2013-07-15,393.6
119,2013-07-16,393.7
120,2013-07-17,394.1
121,2013-07-18,395.7
122,2013-07-19,393.9
123,2013-07-20,395.9
124,2013-07-21,400.0
125,2013-07-22,400.1
126,2013-07-23,402.4
127,2013-07-24,399.8
128,2013-07-25,397.2
129,2013-07-26,395.9
130,2013-07-27,396.2
131,2013-07-28,397.1
132,2013-07-29,397.8
133,2013-07-30,393.1
134,2013-07-31,391.6
135,2013-08-01,392.0
136,2013-08-02,387.4
137,2013-08-03,386.5
138,2013-08-04,384.3
139,2013-08-05,387.0
140,2013-08-06,385.3
141,2013-08-07,383.9
142,2013-08-08,384.1
143,2013-08-09,386.3
144,2013-08-10,385.8
145,2013-08-11,389.1
146,2013-08-12,392.4
147,2013-08-13,388.8
148,2013-08-14,392.2
149,2013-08-15,394.6
150,2013-08-16,393.2
151,2013-08-17,393.3
152,2013-08-18,399.4
153,2013-08-19,404.5
154,2013-08-20,406.9
155,2013-08-21,407.5
156,2013-08-22,404.9
157,2013-08-23,403.2
158,2013-08-24,399.9
159,2013-08-25,395.5
160,2013-08-26,395.0
161,2013-08-27,394.2
162,2013-08-28,393.0
163,2013-08-29,387.5
164,2013-08-30,378.8
165,2013-08-31,381.5
166,2013-09-01,383.0
167,2013-09-02,379.8
168,2013-09-03,381.5
169,2013-09-04,378.6
170,2013-09-05,378.38418367346935
171,2013-09-06,378.1683673469388
172,2013-09-07,377.9525510204082
173,2013-09-08,377.73673469387757
174,2013-09-09,377.52091836734695
175,2013-09-10,377.30510204081634
176,2013-09-11,377.0892857142857
177,2013-09-12,376.8734693877551
178,2013-09-13,376.6576530612245
179,2013-09-14,376.4418367346939
180,2013-09-15,376.22602040816327
181,2013-09-16,376.01020408163265
182,2013-09-17,375.79438775510204
183,2013-09-18,375.5785714285714
184,2013-09-19,375.3627551020408
185,2013-09-20,375.1469387755102
186,2013-09-21,374.9311224489796
187,2013-09-22,374.71530612244896
188,2013-09-23,374.49948979591835
189,2013-09-24,374.28367346938774
190,2013-09-25,374.0678571428572
191,2013-09-26,373.8520408163265
192,2013-09-27,373.63622448979595
193,2013-09-28,373.4204081632653
194,2013-09-29,373.2045918367347
195,2013-09-30,372.98877551020405
196,2013-10-01,372.7729591836735
197,2013-10-02,372.5571428571428
198,2013-10-03,372.34132653061226
199,2013-10-04,372.12551020408165
200,2013-10-05,371.90969387755104
201,2013-10-06,371.6938775510204
202,2013-10-07,371.4780612244898
203,2013-10-08,371.2622448979592
204,2013-10-09,371.0464285714286
205,2013-10-10,370.83061224489796
206,2013-10-11,370.61479591836735
207,2013-10-12,370.39897959183673
208,2013-10-13,370.1831632653061
209,2013-10-14,369.9673469387755
210,2013-10-15,369.7515306122449
211,2013-10-16,369.5357142857143
212,2013-10-17,369.31989795918366
213,2013-10-18,369.10408163265305
214,2013-10-19,368.88826530612243
215,2013-10-20,368.6724489795918
216,2013-10-21,368.4566326530612
217,2013-10-22,368.24081632653065
218,2013-10-23,368.025
219,2013-10-24,367.8091836734694
220,2013-10-25,367.59336734693875
221,2013-10-26,367.3775510204082
222,2013-10-27,367.1617346938775
223,2013-10-28,366.94591836734696
224,2013-10-29,366.73010204081635
225,2013-10-30,366.51428571428573
226,2013-10-31,366.2984693877551
227,2013-11-01,366.0826530612245
228,2013-11-02,365.8668367346939
229,2013-11-03,365.6510204081633
230,2013-11-04,365.43520408163266
231,2013-11-05,365.21938775510205
232,2013-11-06,365.00357142857143
233,2013-11-07,364.7877551020408
234,2013-11-08,364.5719387755102
235,2013-11-09,364.3561224489796
236,2013-11-10,364.140306122449
237,2013-11-11,363.92448979591836
238,2013-11-12,363.70867346938775
239,2013-11-13,363.49285714285713
240,2013-11-14,363.2770408163265
241,2013-11-15,363.0612244897959
242,2013-11-16,362.8454081632653
243,2013-11-17,362.6295918367347
244,2013-11-18,362.4137755102041
245,2013-11-19,362.19795918367345
246,2013-11-20,361.9821428571429
247,2013-11-21,361.7663265306122
248,2013-11-22,361.55051020408166
249,2013-11-23,361.334693877551
250,2013-11-24,361.11887755102043
251,2013-11-25,360.90306122448976
252,2013-11-26,360.6872448979592
253,2013-11-27,360.4714285714286
254,2013-11-28,360.255612244898
255,2013-11-29,360.03979591836736
256,2013-11-30,359.82397959183675
257,2013-12-01,359.60816326530613
258,2013-12-02,359.3923469387755
259,2013-12-03,359.1765306122449
260,2013-12-04,358.9607142857143
261,2013-12-05,358.7448979591837
262,2013-12-06,358.52908163265306
263,2013-12-07,358.31326530612245
264,2013-12-08,358.09744897959183
265,2013-12-09,357.8816326530612
266,2013-12-10,357.6658163265306
267,2013-12-11,357.45
268,2013-12-12,357.2341836734694
269,2013-12-13,357.01836734693876
270,2013-12-14,356.80255102040815
271,2013-12-15,356.5867346938776
272,2013-12-16,356.3709183673469
273,2013-12-17,356.15510204081636
274,2013-12-18,355.9392857142857
275,2013-12-19,355.72346938775513
276,2013-12-20,355.50765306122446
277,2013-12-21,355.2918367346939
278,2013-12-22,355.07602040816323
279,2013-12-23,354.8602040816327
280,2013-12-24,354.64438775510206
281,2013-12-25,354.42857142857144
282,2013-12-26,354.21275510204083
283,2013-12-27,353.9969387755102
284,2013-12-28,353.7811224489796
285,2013-12-29,353.565306122449
286,2013-12-30,353.3494897959184
287,2013-12-31,353.13367346938776
288,2014-01-01,352.91785714285714
289,2014-01-02,352.70204081632653
290,2014-01-03,352.4862244897959
291,2014-01-04,352.2704081632653
292,2014-01-05,352.0545918367347
293,2014-01-06,351.8387755102041
294,2014-01-07,351.62295918367346
295,2014-01-08,351.40714285714284
296,2014-01-09,351.19132653061223
297,2014-01-10,350.9755102040816
298,2014-01-11,350.75969387755106
299,2014-01-12,350.5438775510204
300,2014-01-13,350.32806122448983
301,2014-01-14,350.11224489795916
302,2014-01-15,349.8964285714286
303,2014-01-16,349.68061224489793
304,2014-01-17,349.4647959183674
305,2014-01-18,349.2489795918367
306,2014-01-19,349.03316326530614
307,2014-01-20,348.8173469387755
308,2014-01-21,348.6015306122449
309,2014-01-22,348.3857142857143
310,2014-01-23,348.1698979591837
311,2014-01-24,347.9540816326531
312,2014-01-25,347.73826530612246
313,2014-01-26,347.52244897959184
314,2014-01-27,347.30663265306123
315,2014-01-28,347.0908163265306
316,2014-01-29,346.875
