,datetime,LAKE_CHELAN_AT_CHELAN__WA.
0,2011-01-01,1089.11
1,2011-01-02,1088.99
2,2011-01-03,1088.88
3,2011-01-04,1088.76
4,2011-01-05,1088.64
5,2011-01-06,1088.53
6,2011-01-07,1088.43
7,2011-01-08,1088.33
8,2011-01-09,1088.21
9,2011-01-10,1088.08
10,2011-01-11,1087.95
11,2011-01-12,1087.86
12,2011-01-13,1087.78
13,2011-01-14,1087.7
14,2011-01-15,1087.65
15,2011-01-16,1087.61
16,2011-01-17,1087.83
17,2011-01-18,1088.03
18,2011-01-19,1088.08
19,2011-01-20,1088.11
20,2011-01-21,1088.12
21,2011-01-22,1088.15
22,2011-01-23,1088.14
23,2011-01-24,1088.13
24,2011-01-25,1088.15
25,2011-01-26,1088.18
26,2011-01-27,1088.2
27,2011-01-28,1088.2
28,2011-01-29,1088.22
29,2011-01-30,1088.19
30,2011-01-31,1088.13
31,2011-02-01,1088.08
32,2011-02-02,1088.01
33,2011-02-03,1087.94
34,2011-02-04,1087.89
35,2011-02-05,1087.86
36,2011-02-06,1087.81
37,2011-02-07,1087.79
38,2011-02-08,1087.73
39,2011-02-09,1087.68
40,2011-02-10,1087.61
41,2011-02-11,1087.55
42,2011-02-12,1087.5
43,2011-02-13,1087.5
44,2011-02-14,1087.47
45,2011-02-15,1087.45
46,2011-02-16,1087.42
47,2011-02-17,1087.36
48,2011-02-18,1087.29
49,2011-02-19,1087.21
50,2011-02-20,1087.14
51,2011-02-21,1087.06
52,2011-02-22,1087.0
53,2011-02-23,1086.92
54,2011-02-24,1086.82
55,2011-02-25,1086.73
56,2011-02-26,1086.63
57,2011-02-27,1086.54
58,2011-02-28,1086.5
59,2011-03-01,1086.42
60,2011-03-02,1086.34
61,2011-03-03,1086.27
62,2011-03-04,1086.18
63,2011-03-05,1086.08
64,2011-03-06,1085.99
65,2011-03-07,1085.89
66,2011-03-08,1085.79
67,2011-03-09,1085.7
68,2011-03-10,1085.64
69,2011-03-11,1085.58
70,2011-03-12,1085.48
71,2011-03-13,1085.38
72,2011-03-14,1085.33
73,2011-03-15,1085.25
74,2011-03-16,1085.19
75,2011-03-17,1085.1
76,2011-03-18,1085.01
77,2011-03-19,1084.98
78,2011-03-20,1084.92
79,2011-03-21,1084.86
80,2011-03-22,1084.8
81,2011-03-23,1084.71
82,2011-03-24,1084.63
