,datetime,LAKE_HAVASU_NEAR_PARKER_DAM__AZ-CA.tsv
0,2013-01-01,553847.15
1,2013-01-02,555847.26
2,2013-01-03,556847.31
3,2013-01-04,554347.18
4,2013-01-05,554947.21
5,2013-01-06,554747.2
6,2013-01-07,555147.22
7,2013-01-08,554547.19
8,2013-01-09,555647.25
9,2013-01-10,559247.44
10,2013-01-11,558847.42
11,2013-01-12,557547.35
12,2013-01-13,557547.35
13,2013-01-14,560247.49
14,2013-01-15,557947.37
15,2013-01-16,557047.32
16,2013-01-17,560047.48
17,2013-01-18,559447.45
18,2013-01-19,558147.38
19,2013-01-20,557747.36
20,2013-01-21,556647.3
21,2013-01-22,555347.23
22,2013-01-23,554547.19
23,2013-01-24,555847.26
24,2013-01-25,560747.52
25,2013-01-26,569948.01
26,2013-01-27,578548.46
27,2013-01-28,586648.89
28,2013-01-29,584248.76
29,2013-01-30,582748.68
30,2013-01-31,582348.66
31,2013-02-01,578348.45
32,2013-02-02,577748.42
33,2013-02-03,579048.49
34,2013-02-04,578948.48
35,2013-02-05,577048.38
36,2013-02-06,581148.6
37,2013-02-07,589549.04
38,2013-02-08,591349.13
39,2013-02-09,592749.2
40,2013-02-10,591749.15
41,2013-02-11,590749.1
42,2013-02-12,588048.96
43,2013-02-13,585748.84
44,2013-02-14,587848.95
45,2013-02-15,587448.93
46,2013-02-16,587048.91
47,2013-02-17,589149.02
48,2013-02-18,588749.0
49,2013-02-19,586348.87
50,2013-02-20,588248.97
51,2013-02-21,590949.11
52,2013-02-22,588749.0
53,2013-02-23,588048.96
54,2013-02-24,583848.74
55,2013-02-25,582748.68
56,2013-02-26,582548.67
57,2013-02-27,582748.68
58,2013-02-28,584648.78
59,2013-03-01,584948.8
60,2013-03-02,585948.85
61,2013-03-03,586848.9
62,2013-03-04,586148.86
63,2013-03-05,585548.83
64,2013-03-06,587048.91
65,2013-03-07,590749.1
66,2013-03-08,592749.2
67,2013-03-09,590949.11
68,2013-03-10,590349.08
69,2013-03-11,588749.0
70,2013-03-12,584948.8
71,2013-03-13,581948.64
72,2013-03-14,582548.67
73,2013-03-15,580848.58
74,2013-03-16,578548.46
75,2013-03-17,574348.24
76,2013-03-18,573048.17
77,2013-03-19,571348.08
78,2013-03-20,572648.15
79,2013-03-21,577048.38
80,2013-03-22,577348.4
81,2013-03-23,576248.34
82,2013-03-24,573948.22
83,2013-03-25,571148.07
84,2013-03-26,570348.03
85,2013-03-27,569948.01
86,2013-03-28,575148.28
87,2013-03-29,574948.27
88,2013-03-30,575448.3
89,2013-03-31,573948.22
90,2013-04-01,573948.22
91,2013-04-02,577348.4
92,2013-04-03,577548.41
93,2013-04-04,579048.49
94,2013-04-05,578948.48
95,2013-04-06,576848.37
96,2013-04-07,574348.24
97,2013-04-08,573548.2
98,2013-04-09,576648.36
99,2013-04-10,570348.03
100,2013-04-11,572648.15
101,2013-04-12,565447.77
102,2013-04-13,559047.43
103,2013-04-14,552547.08
104,2013-04-15,555147.22
105,2013-04-16,558747.41
106,2013-04-17,553847.15
107,2013-04-18,554747.2
108,2013-04-19,557347.34
109,2013-04-20,560247.49
110,2013-04-21,558847.42
111,2013-04-22,558847.42
112,2013-04-23,563947.69
113,2013-04-24,568647.94
114,2013-04-25,582548.67
115,2013-04-26,590149.07
116,2013-04-27,596849.41
117,2013-04-28,594449.29
118,2013-04-29,590949.11
119,2013-04-30,590749.1
120,2013-05-01,592149.17
121,2013-05-02,593149.22
122,2013-05-03,593749.25
123,2013-05-04,594849.31
124,2013-05-05,593949.26
125,2013-05-06,594449.29
126,2013-05-07,594449.29
127,2013-05-08,597249.43
128,2013-05-09,596449.39
129,2013-05-10,594349.28
130,2013-05-11,593949.26
131,2013-05-12,592949.21
132,2013-05-13,594149.27
133,2013-05-14,591349.13
134,2013-05-15,585948.85
135,2013-05-16,586848.9
136,2013-05-17,583848.74
137,2013-05-18,581048.59
138,2013-05-19,579848.53
139,2013-05-20,578148.44
140,2013-05-21,580448.56
141,2013-05-22,581948.64
142,2013-05-23,584048.75
143,2013-05-24,588048.96
144,2013-05-25,588448.98
145,2013-05-26,587248.92
146,2013-05-27,586548.88
147,2013-05-28,586348.87
148,2013-05-29,587648.94
149,2013-05-30,593949.26
150,2013-05-31,597049.42
151,2013-06-01,596249.38
152,2013-06-02,593549.24
153,2013-06-03,590549.09
154,2013-06-04,587648.94
155,2013-06-05,585548.83
156,2013-06-06,589549.04
157,2013-06-07,588048.96
158,2013-06-08,587648.94
159,2013-06-09,586848.9
160,2013-06-10,586648.89
161,2013-06-11,585548.83
162,2013-06-12,583448.72
163,2013-06-13,589349.03
164,2013-06-14,592149.17
165,2013-06-15,592349.18
166,2013-06-16,586548.88
167,2013-06-17,585948.85
168,2013-06-18,585348.82
169,2013-06-19,584048.75
170,2013-06-20,584948.8
