,datetime,LAKE_H_G_WEST_FOREBAY_AT_LOWER_MONUMENTAL_DAM__WA.tsv
0,2013-03-12,326.0
1,2013-03-13,327.5
2,2013-03-14,329.4
3,2013-03-15,327.5
4,2013-03-16,332.1
5,2013-03-17,333.3
6,2013-03-18,331.4
7,2013-03-19,329.8
8,2013-03-20,332.3
9,2013-03-21,327.5
10,2013-03-22,324.5
11,2013-03-23,322.4
12,2013-03-24,323.6
13,2013-03-25,323.7
14,2013-03-26,324.8
15,2013-03-27,324.0
16,2013-03-28,324.3
17,2013-03-29,326.0
18,2013-03-30,329.5
19,2013-03-31,333.9
20,2013-04-01,335.7
21,2013-04-02,332.8
22,2013-04-03,334.7
23,2013-04-04,337.4
24,2013-04-05,339.6
25,2013-04-06,349.7
26,2013-04-07,353.0
27,2013-04-08,349.0
28,2013-04-09,348.2
29,2013-04-10,356.3
30,2013-04-11,361.5
31,2013-04-12,356.7
32,2013-04-13,356.5
33,2013-04-14,353.9
34,2013-04-15,353.6
35,2013-04-16,349.8
36,2013-04-17,350.1
37,2013-04-18,351.6
38,2013-04-19,355.9
39,2013-04-20,357.1
40,2013-04-21,355.4
41,2013-04-22,352.5
42,2013-04-23,355.7
43,2013-04-24,358.0
44,2013-04-25,363.2
45,2013-04-26,364.4
46,2013-04-27,366.3
47,2013-04-28,368.6
48,2013-04-29,368.7
49,2013-04-30,361.1
50,2013-05-01,356.4
51,2013-05-02,358.1
52,2013-05-03,365.9
53,2013-05-04,372.8
54,2013-05-05,376.9
55,2013-05-06,378.9
56,2013-05-07,381.1
57,2013-05-08,381.2
58,2013-05-09,381.1
59,2013-05-10,380.8
60,2013-05-11,386.3
61,2013-05-12,390.1
62,2013-05-13,388.3
63,2013-05-14,382.5
64,2013-05-15,386.7
65,2013-05-16,387.3
66,2013-05-17,383.3
67,2013-05-18,378.3
68,2013-05-19,370.6
69,2013-05-20,374.3
70,2013-05-21,379.2
71,2013-05-22,374.9
72,2013-05-23,369.7
73,2013-05-24,369.2
74,2013-05-25,370.5
75,2013-05-26,371.9
76,2013-05-27,375.7
77,2013-05-28,376.2
78,2013-05-29,376.0
79,2013-05-30,374.9
80,2013-05-31,372.9
81,2013-06-01,376.2
82,2013-06-02,379.1
83,2013-06-03,380.4
84,2013-06-04,380.3
85,2013-06-05,381.6
86,2013-06-06,380.6
87,2013-06-07,381.7
88,2013-06-08,382.3
89,2013-06-09,379.2
90,2013-06-10,382.6
91,2013-06-11,382.2
92,2013-06-12,378.9
93,2013-06-13,377.5
94,2013-06-14,379.3
95,2013-06-15,381.2
96,2013-06-16,382.9
97,2013-06-17,380.8
98,2013-06-18,382.7
99,2013-06-19,383.2
100,2013-06-20,376.5
101,2013-06-21,371.2
102,2013-06-22,371.9
103,2013-06-23,378.6
104,2013-06-24,378.6
105,2013-06-25,381.9
106,2013-06-26,380.0
107,2013-06-27,379.1
108,2013-06-28,380.5
109,2013-06-29,387.5
110,2013-06-30,389.3
111,2013-07-01,393.6
112,2013-07-02,394.9
113,2013-07-03,395.5
114,2013-07-04,396.3
115,2013-07-05,395.6
116,2013-07-06,395.9
117,2013-07-07,396.4
118,2013-07-08,397.1
119,2013-07-09,398.2
120,2013-07-10,397.5
121,2013-07-11,393.4
122,2013-07-12,396.6
123,2013-07-13,393.3
124,2013-07-14,390.3
125,2013-07-15,388.1
126,2013-07-16,390.6
127,2013-07-17,390.4
128,2013-07-18,388.1
129,2013-07-19,390.8
130,2013-07-20,390.4
131,2013-07-21,390.1
132,2013-07-22,391.1
133,2013-07-23,391.5
134,2013-07-24,391.3
135,2013-07-25,387.7
136,2013-07-26,391.7
137,2013-07-27,395.7
138,2013-07-28,395.4
139,2013-07-29,394.9
140,2013-07-30,392.8
141,2013-07-31,390.6
142,2013-08-01,391.5
143,2013-08-02,389.0
144,2013-08-03,383.9
145,2013-08-04,386.6
146,2013-08-05,384.6
147,2013-08-06,384.9
148,2013-08-07,385.5
149,2013-08-08,383.1
150,2013-08-09,383.0
151,2013-08-10,380.8
152,2013-08-11,376.3
153,2013-08-12,378.5
154,2013-08-13,378.6
155,2013-08-14,379.7
156,2013-08-15,378.5
157,2013-08-16,380.8
158,2013-08-17,380.7
159,2013-08-18,381.6
160,2013-08-19,382.1
161,2013-08-20,381.9
162,2013-08-21,383.5
163,2013-08-22,383.2
164,2013-08-23,382.6
165,2013-08-24,384.2
166,2013-08-25,387.2
167,2013-08-26,386.0
168,2013-08-27,386.5
169,2013-08-28,384.9
170,2013-08-29,382.9
171,2013-08-30,378.6
172,2013-08-31,384.1
173,2013-09-01,384.6
174,2013-09-02,380.7
175,2013-09-03,378.4
176,2013-09-04,377.5
177,2013-09-05,378.3
178,2013-09-06,378.0492307692308
179,2013-09-07,377.7984615384615
180,2013-09-08,377.5476923076923
181,2013-09-09,377.29692307692306
182,2013-09-10,377.04615384615386
183,2013-09-11,376.7953846153846
184,2013-09-12,376.5446153846153
185,2013-09-13,376.2938461538462
186,2013-09-14,376.0430769230769
187,2013-09-15,375.79230769230765
188,2013-09-16,375.54153846153844
189,2013-09-17,375.29076923076923
190,2013-09-18,375.04
191,2013-09-19,374.78923076923076
192,2013-09-20,374.53846153846155
193,2013-09-21,374.28769230769234
194,2013-09-22,374.0369230769231
195,2013-09-23,373.7861538461538
196,2013-09-24,373.5353846153846
197,2013-09-25,373.2846153846154
198,2013-09-26,373.0338461538461
199,2013-09-27,372.78307692307686
200,2013-09-28,372.53230769230765
201,2013-09-29,372.2815384615385
202,2013-09-30,372.03076923076924
203,2013-10-01,371.78
204,2013-10-02,371.5292307692308
205,2013-10-03,371.27846153846156
206,2013-10-04,371.0276923076923
207,2013-10-05,370.776923076923
208,2013-10-06,370.5261538461538
209,2013-10-07,370.2753846153846
210,2013-10-08,370.0246153846154
211,2013-10-09,369.77384615384614
212,2013-10-10,369.5230769230769
213,2013-10-11,369.27230769230766
214,2013-10-12,369.02153846153846
215,2013-10-13,368.7707692307692
216,2013-10-14,368.52
217,2013-10-15,368.2692307692307
218,2013-10-16,368.01846153846157
219,2013-10-17,367.7676923076923
220,2013-10-18,367.5169230769231
221,2013-10-19,367.2661538461539
222,2013-10-20,367.0153846153846
223,2013-10-21,366.7646153846154
224,2013-10-22,366.51384615384615
225,2013-10-23,366.26307692307694
226,2013-10-24,366.01230769230773
227,2013-10-25,365.7615384615384
228,2013-10-26,365.5107692307692
229,2013-10-27,365.26
230,2013-10-28,365.0092307692308
231,2013-10-29,364.7584615384615
232,2013-10-30,364.5076923076923
233,2013-10-31,364.25692307692304
234,2013-11-01,364.0061538461539
235,2013-11-02,363.7553846153846
236,2013-11-03,363.50461538461536
237,2013-11-04,363.25384615384615
238,2013-11-05,363.00307692307695
239,2013-11-06,362.7523076923077
240,2013-11-07,362.5015384615385
241,2013-11-08,362.25076923076927
242,2013-11-09,362.0
243,2013-11-10,361.74923076923073
