,datetime,LAKE_MERWIN_AT_ARIEL__WA.tsv
0,2013-01-01,364537.12
1,2013-01-02,364536.5
2,2013-01-03,364536.72
3,2013-01-04,364535.86
4,2013-01-05,364535.85
5,2013-01-06,364535.76
6,2013-01-07,364535.66
7,2013-01-08,364535.72
8,2013-01-09,364536.82
9,2013-01-10,364537.26
10,2013-01-11,364534.69
11,2013-01-12,364533.33
12,2013-01-13,364532.44
13,2013-01-14,364533.11
14,2013-01-15,364533.43
15,2013-01-16,364534.44
16,2013-01-17,364534.33
17,2013-01-18,364534.04
18,2013-01-19,364533.98
19,2013-01-20,364533.91
20,2013-01-21,364533.12
21,2013-01-22,364533.87
22,2013-01-23,364535.37
23,2013-01-24,364534.98
24,2013-01-25,364534.59
25,2013-01-26,364534.29
26,2013-01-27,364533.84
27,2013-01-28,364532.77
28,2013-01-29,364532.88
29,2013-01-30,364534.53
30,2013-01-31,364536.34
31,2013-02-01,364536.94
32,2013-02-02,364536.11
33,2013-02-03,364533.93
34,2013-02-04,364533.38
35,2013-02-05,364534.46
36,2013-02-06,364535.47
37,2013-02-07,364535.27
38,2013-02-08,364535.15
39,2013-02-09,364534.93
40,2013-02-10,364535.12
41,2013-02-11,364536.12
42,2013-02-12,364534.71
43,2013-02-13,364534.96
44,2013-02-14,364535.23
45,2013-02-15,364534.9
46,2013-02-16,364535.35
47,2013-02-17,364535.38
48,2013-02-18,364535.4
49,2013-02-19,364535.71
50,2013-02-20,364536.0
51,2013-02-21,364536.66
52,2013-02-22,364537.62
53,2013-02-23,364538.67
54,2013-02-24,364537.97
55,2013-02-25,364537.15
56,2013-02-26,364536.44
57,2013-02-27,364536.18
58,2013-02-28,364537.04
59,2013-03-01,364538.09
60,2013-03-02,364536.93
61,2013-03-03,364538.06
62,2013-03-04,364537.72
63,2013-03-05,364537.97
64,2013-03-06,364537.54
65,2013-03-07,364538.19
66,2013-03-08,364538.21
67,2013-03-09,364537.32
68,2013-03-10,364537.2
69,2013-03-11,364537.4
70,2013-03-12,364536.44
71,2013-03-13,364535.96
72,2013-03-14,364536.46
73,2013-03-15,364537.36
74,2013-03-16,364537.74
75,2013-03-17,364537.91
76,2013-03-18,364538.01
77,2013-03-19,364537.48
78,2013-03-20,364536.91
79,2013-03-21,364536.72
80,2013-03-22,364537.53
81,2013-03-23,364537.89
82,2013-03-24,364538.33
83,2013-03-25,364538.65
84,2013-03-26,364538.66
85,2013-03-27,364537.83
86,2013-03-28,364537.61
87,2013-03-29,364537.47
88,2013-03-30,364536.71
89,2013-03-31,364535.79
90,2013-04-01,364535.62
91,2013-04-02,364534.74
92,2013-04-03,364534.16
93,2013-04-04,364534.17
94,2013-04-05,364534.79
95,2013-04-06,364535.18
96,2013-04-07,364535.25
97,2013-04-08,364535.8
98,2013-04-09,364535.95
99,2013-04-10,364535.01
100,2013-04-11,364535.77
101,2013-04-12,364535.77
102,2013-04-13,364535.32
103,2013-04-14,364535.98
104,2013-04-15,364536.59
105,2013-04-16,364537.35
106,2013-04-17,364537.76
107,2013-04-18,364536.44
108,2013-04-19,364537.17
109,2013-04-20,364537.0
110,2013-04-21,364536.42
111,2013-04-22,364535.44
112,2013-04-23,364536.31
113,2013-04-24,364537.38
114,2013-04-25,364537.5
115,2013-04-26,364537.32
116,2013-04-27,364537.33
117,2013-04-28,364535.54
118,2013-04-29,364536.09
119,2013-04-30,364536.18
120,2013-05-01,364536.23
121,2013-05-02,364536.64
122,2013-05-03,364537.91
123,2013-05-04,364539.15
124,2013-05-05,364538.29
125,2013-05-06,364538.38
126,2013-05-07,364538.56
127,2013-05-08,364538.7
128,2013-05-09,364536.28
129,2013-05-10,364535.4
130,2013-05-11,364534.54
131,2013-05-12,364533.8
132,2013-05-13,364532.8
133,2013-05-14,364532.79
134,2013-05-15,364533.51
135,2013-05-16,364534.65
136,2013-05-17,364534.83
137,2013-05-18,364535.67
138,2013-05-19,364537.41
139,2013-05-20,364537.93
140,2013-05-21,364537.99
141,2013-05-22,364538.43
142,2013-05-23,364538.5
143,2013-05-24,364538.3
144,2013-05-25,364538.45
145,2013-05-26,364538.01
146,2013-05-27,364538.25
147,2013-05-28,364537.84
148,2013-05-29,364538.54
149,2013-05-30,364538.01
150,2013-05-31,364536.77
151,2013-06-01,364536.67
152,2013-06-02,364536.32
153,2013-06-03,364537.07
154,2013-06-04,364537.15
155,2013-06-05,364537.59
156,2013-06-06,364538.15
157,2013-06-07,364538.04
158,2013-06-08,364538.01
159,2013-06-09,364537.95
160,2013-06-10,364538.02
161,2013-06-11,364538.35
162,2013-06-12,364538.09
163,2013-06-13,364538.47
164,2013-06-14,364538.4
165,2013-06-15,364538.0
166,2013-06-16,364537.9
167,2013-06-17,364537.73
168,2013-06-18,364537.36
169,2013-06-19,364537.07
170,2013-06-20,364537.78
171,2013-06-21,364538.14
172,2013-06-22,364538.12
173,2013-06-23,364537.58
174,2013-06-24,364537.14
175,2013-06-25,364536.2
176,2013-06-26,364535.89
177,2013-06-27,364535.39
178,2013-06-28,364535.26
179,2013-06-29,364535.48
180,2013-06-30,364535.67
181,2013-07-01,364536.27
182,2013-07-02,364536.1
183,2013-07-03,364535.64
184,2013-07-04,364534.93
185,2013-07-05,364534.17
186,2013-07-06,364534.55
187,2013-07-07,364534.97
188,2013-07-08,364535.67
189,2013-07-09,364536.73
190,2013-07-10,364537.29
191,2013-07-11,364536.97
192,2013-07-12,364536.74
193,2013-07-13,364536.77
194,2013-07-14,364536.43
195,2013-07-15,364536.81
196,2013-07-16,364536.86
197,2013-07-17,364537.09
198,2013-07-18,364536.99
199,2013-07-19,364537.07
200,2013-07-20,364536.98
201,2013-07-21,364536.59
202,2013-07-22,364536.12
203,2013-07-23,364536.55
204,2013-07-24,364536.87
205,2013-07-25,364537.49
206,2013-07-26,364537.78
207,2013-07-27,364537.06
208,2013-07-28,364536.34
209,2013-07-29,364536.54
210,2013-07-30,364536.44
211,2013-07-31,364536.08
212,2013-08-01,364535.88
213,2013-08-02,364536.12
214,2013-08-03,364536.31
215,2013-08-04,364536.26
216,2013-08-05,364535.92
217,2013-08-06,364536.53
218,2013-08-07,364536.66
219,2013-08-08,364536.8
220,2013-08-09,364536.66
221,2013-08-10,364537.08
222,2013-08-11,364537.61
223,2013-08-12,364538.12
224,2013-08-13,364538.59
225,2013-08-14,364538.38
226,2013-08-15,364538.15
227,2013-08-16,364538.3
228,2013-08-17,364538.07
229,2013-08-18,364538.12
230,2013-08-19,364537.71
231,2013-08-20,364537.9
232,2013-08-21,364537.83
233,2013-08-22,364537.33
234,2013-08-23,364537.13
235,2013-08-24,364536.57
236,2013-08-25,364536.35
237,2013-08-26,364536.34
238,2013-08-27,364536.09
239,2013-08-28,364535.85
240,2013-08-29,364536.78
241,2013-08-30,364537.2
242,2013-08-31,364537.44
243,2013-09-01,364537.57
244,2013-09-02,364538.24
245,2013-09-03,364539.02
246,2013-09-04,364538.56
247,2013-09-05,364538.03
248,2013-09-06,364537.78
249,2013-09-07,364537.27
250,2013-09-08,364537.48
251,2013-09-09,364536.89
252,2013-09-10,364536.48
253,2013-09-11,364536.54
254,2013-09-12,364537.38
255,2013-09-13,364537.97
256,2013-09-14,364538.48
257,2013-09-15,364538.78
258,2013-09-16,364538.72
259,2013-09-17,364538.36
260,2013-09-18,364537.84
261,2013-09-19,364537.32
262,2013-09-20,364536.79
263,2013-09-21,364536.3
264,2013-09-22,364536.12
265,2013-09-23,364536.22
266,2013-09-24,364535.95
267,2013-09-25,364536.49
268,2013-09-26,364536.31
269,2013-09-27,364535.74
270,2013-09-28,364536.4
271,2013-09-29,364537.67
272,2013-09-30,364537.97
273,2013-10-01,364537.75
274,2013-10-02,364536.01
275,2013-10-03,364534.86
276,2013-10-04,364535.35
277,2013-10-05,364535.59
278,2013-10-06,364535.34
279,2013-10-07,364535.63
280,2013-10-08,364535.1
281,2013-10-09,364534.2
282,2013-10-10,364533.96
283,2013-10-11,364534.3
284,2013-10-12,364534.08
285,2013-10-13,364534.66
286,2013-10-14,364535.68
287,2013-10-15,364536.47
288,2013-10-16,364537.58
289,2013-10-17,364536.83
290,2013-10-18,364536.7
291,2013-10-19,364535.92
292,2013-10-20,364535.49
293,2013-10-21,364534.71
294,2013-10-22,364533.91
295,2013-10-23,364534.27
296,2013-10-24,364534.34
297,2013-10-25,364534.4
298,2013-10-26,364534.78
299,2013-10-27,364535.68
300,2013-10-28,364537.58
301,2013-10-29,364537.98
302,2013-10-30,364537.85
303,2013-10-31,364537.93
304,2013-11-01,364538.09
305,2013-11-02,364537.08
306,2013-11-03,364535.94
307,2013-11-04,364535.47
308,2013-11-05,364534.98
309,2013-11-06,364536.51
310,2013-11-07,364536.83
311,2013-11-08,364536.75
312,2013-11-09,364536.07
313,2013-11-10,364535.11
314,2013-11-11,364534.51
315,2013-11-12,364534.75
316,2013-11-13,364535.44
317,2013-11-14,364535.89
318,2013-11-15,364535.28
319,2013-11-16,364535.75
320,2013-11-17,364536.26
321,2013-11-18,364536.73
322,2013-11-19,364537.76
323,2013-11-20,364538.64
324,2013-11-21,364537.24
325,2013-11-22,364536.5
326,2013-11-23,364536.57
327,2013-11-24,364536.05
328,2013-11-25,364535.57
329,2013-11-26,364534.95
330,2013-11-27,364535.16
331,2013-11-28,364534.98
332,2013-11-29,364534.89
333,2013-11-30,364534.65
334,2013-12-01,364534.87
335,2013-12-02,364534.79
336,2013-12-03,364534.08
337,2013-12-04,364532.2
338,2013-12-05,364530.95
339,2013-12-06,364531.19
340,2013-12-07,364531.36
341,2013-12-08,364531.89
342,2013-12-09,364531.75
343,2013-12-10,364533.52
344,2013-12-11,364536.07
345,2013-12-12,364536.79
346,2013-12-13,364537.2
347,2013-12-14,364536.86
348,2013-12-15,364535.06
349,2013-12-16,364535.2
350,2013-12-17,364535.78
351,2013-12-18,364535.64
352,2013-12-19,364534.83
353,2013-12-20,364534.21
354,2013-12-21,364533.54
355,2013-12-22,364533.04
356,2013-12-23,364533.38
357,2013-12-24,364534.53
358,2013-12-25,364535.77
359,2013-12-26,364537.23
360,2013-12-27,364537.48
361,2013-12-28,364537.68
