,datetime,LAKE_SACAJAWEA_FOREBAY_AT_ICE_HARBOR_DAM__WA.
0,2011-03-10,318.4
1,2011-03-11,315.6
2,2011-03-12,317.2
3,2011-03-13,319.0
4,2011-03-14,318.5
5,2011-03-15,323.40000000000003
6,2011-03-16,323.4
7,2011-03-17,321.09999999999997
8,2011-03-18,325.9
9,2011-03-19,326.7
10,2011-03-20,328.09999999999997
11,2011-03-21,328.2
12,2011-03-22,324.2
13,2011-03-23,325.3
14,2011-03-24,329.8
15,2011-03-25,329.5
16,2011-03-26,328.7
17,2011-03-27,326.8
18,2011-03-28,324.5
19,2011-03-29,324.79999999999995
20,2011-03-30,327.3
21,2011-03-31,329.4
22,2011-04-01,334.59999999999997
23,2011-04-02,340.5
24,2011-04-03,342.9
25,2011-04-04,354.0
26,2011-04-05,358.3
27,2011-04-06,359.59999999999997
28,2011-04-07,363.1
29,2011-04-08,364.8
30,2011-04-09,370.29999999999995
31,2011-04-10,368.5
32,2011-04-11,365.20000000000005
33,2011-04-12,364.7
34,2011-04-13,369.5
35,2011-04-14,366.3
36,2011-04-15,364.4
37,2011-04-16,367.09999999999997
38,2011-04-17,368.3
39,2011-04-18,369.1
40,2011-04-19,366.1
41,2011-04-20,369.2
42,2011-04-21,368.1
43,2011-04-22,364.8
44,2011-04-23,370.6
45,2011-04-24,376.2
46,2011-04-25,372.2
47,2011-04-26,363.6
48,2011-04-27,361.6
49,2011-04-28,364.9
50,2011-04-29,364.29999999999995
51,2011-04-30,362.7
52,2011-05-01,367.9
53,2011-05-02,373.7
54,2011-05-03,370.1
55,2011-05-04,368.40000000000003
56,2011-05-05,376.2
57,2011-05-06,378.9
58,2011-05-07,377.1
59,2011-05-08,373.8
60,2011-05-09,373.9
61,2011-05-10,374.5
62,2011-05-11,378.6
63,2011-05-12,376.7
64,2011-05-13,380.8
65,2011-05-14,385.8
66,2011-05-15,385.29999999999995
67,2011-05-16,387.40000000000003
68,2011-05-17,403.0
69,2011-05-18,409.40000000000003
70,2011-05-19,405.8
71,2011-05-20,402.2
72,2011-05-21,400.3
73,2011-05-22,398.4
74,2011-05-23,396.7
75,2011-05-24,399.8
76,2011-05-25,407.2
77,2011-05-26,402.8
78,2011-05-27,402.8
79,2011-05-28,410.3
80,2011-05-29,414.59999999999997
81,2011-05-30,411.3
82,2011-05-31,406.5
83,2011-06-01,407.5
84,2011-06-02,403.0
85,2011-06-03,394.4
86,2011-06-04,393.2
87,2011-06-05,401.0
88,2011-06-06,402.4
89,2011-06-07,393.0
90,2011-06-08,393.8
91,2011-06-09,409.9
92,2011-06-10,418.29999999999995
93,2011-06-11,414.40000000000003
