,datetime,LAKE_SHANNON_AT_CONCRETE__WA.tsv
0,2013-01-01,427.47
1,2013-01-02,425.88
2,2013-01-03,424.92
3,2013-01-04,422.64
4,2013-01-05,421.34
5,2013-01-06,419.27
6,2013-01-07,419.58
7,2013-01-08,419.58
8,2013-01-09,420.84
9,2013-01-10,422.14
10,2013-01-11,420.87
11,2013-01-12,419.51
12,2013-01-13,420.25
13,2013-01-14,419.24
14,2013-01-15,417.05
15,2013-01-16,415.6
16,2013-01-17,415.29
17,2013-01-18,413.95
18,2013-01-19,413.38
19,2013-01-20,411.61
20,2013-01-21,410.37
21,2013-01-22,409.6
22,2013-01-23,410.41
23,2013-01-24,409.27
24,2013-01-25,408.06
25,2013-01-26,407.59
26,2013-01-27,406.66
27,2013-01-28,406.19
28,2013-01-29,406.04
29,2013-01-30,406.02
30,2013-01-31,404.92
31,2013-02-01,403.49
32,2013-02-02,403.29
33,2013-02-03,403.59
34,2013-02-04,404.27
35,2013-02-05,403.86
36,2013-02-06,402.17
37,2013-02-07,401.64
38,2013-02-08,400.45
39,2013-02-09,400.86
40,2013-02-10,400.33
41,2013-02-11,400.09
42,2013-02-12,399.21
43,2013-02-13,399.08
44,2013-02-14,399.27
45,2013-02-15,397.54
46,2013-02-16,398.14
47,2013-02-17,396.91
48,2013-02-18,396.47
49,2013-02-19,396.37
50,2013-02-20,396.15
51,2013-02-21,396.48
52,2013-02-22,396.13
53,2013-02-23,396.75
54,2013-02-24,396.53
55,2013-02-25,397.35
56,2013-02-26,397.03
57,2013-02-27,395.76
58,2013-02-28,394.73
59,2013-03-01,396.25
60,2013-03-02,397.39
61,2013-03-03,399.52
62,2013-03-04,401.24
63,2013-03-05,404.06
64,2013-03-06,405.59
65,2013-03-07,407.26
66,2013-03-08,409.15
67,2013-03-09,409.97
68,2013-03-10,412.63
69,2013-03-11,414.68
70,2013-03-12,416.55
71,2013-03-13,420.17
72,2013-03-14,422.7
73,2013-03-15,424.1
74,2013-03-16,425.58
75,2013-03-17,426.74
76,2013-03-18,427.67
77,2013-03-19,428.51
78,2013-03-20,429.62
79,2013-03-21,430.53
80,2013-03-22,432.7
81,2013-03-23,434.07
82,2013-03-24,436.1
83,2013-03-25,437.56
84,2013-03-26,438.19
85,2013-03-27,438.46
86,2013-03-28,438.74
87,2013-03-29,439.03
88,2013-03-30,439.32
89,2013-03-31,439.67
90,2013-04-01,439.77
91,2013-04-02,440.36
92,2013-04-03,440.99
93,2013-04-04,438.83
94,2013-04-05,439.57
95,2013-04-06,438.64
96,2013-04-07,437.62
97,2013-04-08,434.97
98,2013-04-09,435.68
99,2013-04-10,435.04
100,2013-04-11,433.96
101,2013-04-12,432.51
102,2013-04-13,430.46
103,2013-04-14,427.95
104,2013-04-15,426.97
105,2013-04-16,426.11
106,2013-04-17,424.75
107,2013-04-18,422.97
108,2013-04-19,421.08
109,2013-04-20,421.76
110,2013-04-21,422.37
111,2013-04-22,422.18
112,2013-04-23,421.99
113,2013-04-24,421.93
114,2013-04-25,421.99
115,2013-04-26,422.65
116,2013-04-27,422.35
117,2013-04-28,422.39
118,2013-04-29,421.5
119,2013-04-30,421.27
120,2013-05-01,421.68
121,2013-05-02,421.6
122,2013-05-03,421.27
123,2013-05-04,419.89
124,2013-05-05,419.23
125,2013-05-06,418.88
126,2013-05-07,422.07
127,2013-05-08,427.13
128,2013-05-09,431.55
129,2013-05-10,432.32
130,2013-05-11,433.71
131,2013-05-12,435.97
132,2013-05-13,436.8
133,2013-05-14,437.97
134,2013-05-15,437.81
135,2013-05-16,437.27
136,2013-05-17,437.29
137,2013-05-18,436.87
138,2013-05-19,437.36
139,2013-05-20,437.01
140,2013-05-21,439.07
141,2013-05-22,438.54
142,2013-05-23,437.83
143,2013-05-24,436.77
144,2013-05-25,435.69
145,2013-05-26,435.02
146,2013-05-27,434.75
147,2013-05-28,434.63
148,2013-05-29,434.63
149,2013-05-30,433.56
150,2013-05-31,433.85
151,2013-06-01,436.1
152,2013-06-02,436.25
153,2013-06-03,437.62
154,2013-06-04,439.15
155,2013-06-05,439.68
156,2013-06-06,440.29
157,2013-06-07,440.12
158,2013-06-08,439.22
159,2013-06-09,438.03
160,2013-06-10,437.63
161,2013-06-11,438.15
162,2013-06-12,439.0
163,2013-06-13,437.41
164,2013-06-14,438.18
165,2013-06-15,438.33
166,2013-06-16,439.16
167,2013-06-17,439.76
168,2013-06-18,438.65
169,2013-06-19,439.4
170,2013-06-20,438.56
171,2013-06-21,438.14
172,2013-06-22,437.86
173,2013-06-23,437.68
174,2013-06-24,437.34
175,2013-06-25,436.72
176,2013-06-26,435.69
177,2013-06-27,435.04
178,2013-06-28,435.09
179,2013-06-29,436.21
180,2013-06-30,436.71
181,2013-07-01,437.52
182,2013-07-02,439.4
183,2013-07-03,440.37
184,2013-07-04,440.14
185,2013-07-05,440.43
186,2013-07-06,440.35
187,2013-07-07,440.2
188,2013-07-08,439.84
189,2013-07-09,438.79
190,2013-07-10,438.77
191,2013-07-11,438.59
192,2013-07-12,437.82
193,2013-07-13,438.13
194,2013-07-14,437.89
195,2013-07-15,438.61
196,2013-07-16,438.07
197,2013-07-17,437.03
198,2013-07-18,437.01
199,2013-07-19,436.52
200,2013-07-20,435.33
201,2013-07-21,436.36
202,2013-07-22,438.32
203,2013-07-23,439.89
204,2013-07-24,440.52
205,2013-07-25,440.32
206,2013-07-26,438.49
207,2013-07-27,435.88
208,2013-07-28,433.84
209,2013-07-29,433.59
210,2013-07-30,432.93
211,2013-07-31,432.3
212,2013-08-01,432.37
213,2013-08-02,431.9
214,2013-08-03,431.34
215,2013-08-04,430.42
216,2013-08-05,429.72
217,2013-08-06,427.95
218,2013-08-07,427.73
219,2013-08-08,426.5
220,2013-08-09,425.46
221,2013-08-10,425.66
222,2013-08-11,423.67
223,2013-08-12,423.9
224,2013-08-13,424.24
225,2013-08-14,424.42
226,2013-08-15,424.56
227,2013-08-16,424.77
228,2013-08-17,424.76
229,2013-08-18,424.55
230,2013-08-19,424.4
231,2013-08-20,424.36
232,2013-08-21,423.67
233,2013-08-22,423.22
234,2013-08-23,424.23
235,2013-08-24,425.51
236,2013-08-25,426.41
237,2013-08-26,427.39
238,2013-08-27,428.33
239,2013-08-28,428.52
240,2013-08-29,427.71
