,datetime,LAKE_TAPPS_NEAR_SUMNER__WA.
0,2011-01-01,35475.26
1,2011-01-02,35265.08
2,2011-01-03,35064.9
3,2011-01-04,34864.72
4,2011-01-05,34684.56
5,2011-01-06,34594.48
6,2011-01-07,34504.4
7,2011-01-08,34324.24
8,2011-01-09,34144.08
9,2011-01-10,33933.9
10,2011-01-11,33753.74
11,2011-01-12,33733.72
12,2011-01-13,33733.72
13,2011-01-14,33643.64
14,2011-01-15,33603.6
15,2011-01-16,33663.66
16,2011-01-17,33573.58
17,2011-01-18,33423.44
18,2011-01-19,33243.28
19,2011-01-20,33223.26
20,2011-01-21,33463.48
21,2011-01-22,33483.5
22,2011-01-23,33463.48
23,2011-01-24,33513.52
24,2011-01-25,33463.48
25,2011-01-26,33443.46
26,2011-01-27,33423.44
27,2011-01-28,33403.42
28,2011-01-29,33443.46
29,2011-01-30,33423.44
30,2011-01-31,33373.4
31,2011-02-01,33333.36
32,2011-02-02,33263.3
33,2011-02-03,33263.3
34,2011-02-04,33263.3
35,2011-02-05,33243.28
36,2011-02-06,33313.34
37,2011-02-07,33333.36
38,2011-02-08,33313.34
39,2011-02-09,33313.34
40,2011-02-10,33293.32
41,2011-02-11,33263.3
42,2011-02-12,33373.4
43,2011-02-13,33423.44
44,2011-02-14,33483.5
45,2011-02-15,33463.48
46,2011-02-16,33483.5
47,2011-02-17,33423.44
48,2011-02-18,33243.28
49,2011-02-19,33043.1
50,2011-02-20,32852.92
51,2011-02-21,32672.76
52,2011-02-22,32472.58
53,2011-02-23,32322.44
54,2011-02-24,32142.28
55,2011-02-25,31972.12
56,2011-02-26,31751.92
57,2011-02-27,31611.8
58,2011-02-28,31611.8
59,2011-03-01,31551.74
60,2011-03-02,31371.58
61,2011-03-03,31221.44
62,2011-03-04,31091.32
63,2011-03-05,30921.16
64,2011-03-06,30751.0
65,2011-03-07,30580.84
66,2011-03-08,30390.66
67,2011-03-09,30560.82
68,2011-03-10,30670.92
69,2011-03-11,30540.8
70,2011-03-12,30430.7
71,2011-03-13,30350.62
72,2011-03-14,30200.48
73,2011-03-15,30130.42
74,2011-03-16,29980.28
75,2011-03-17,29900.2
76,2011-03-18,29920.22
77,2011-03-19,30070.36
78,2011-03-20,30791.04
79,2011-03-21,31481.68
80,2011-03-22,31811.98
81,2011-03-23,32102.24
82,2011-03-24,32562.66
83,2011-03-25,33313.34
84,2011-03-26,34003.96
85,2011-03-27,34684.56
86,2011-03-28,35385.18
87,2011-03-29,35695.46
88,2011-03-30,36476.14
89,2011-03-31,37787.28
90,2011-04-01,39258.54
91,2011-04-02,39829.02
92,2011-04-03,40039.2
93,2011-04-04,41530.46
94,2011-04-05,42651.4
95,2011-04-06,43412.02
96,2011-04-07,42991.68
97,2011-04-08,43091.76
98,2011-04-09,43191.84
99,2011-04-10,43341.96
100,2011-04-11,43482.08
101,2011-04-12,43562.14
102,2011-04-13,43632.2
103,2011-04-14,44022.52
104,2011-04-15,44042.54
105,2011-04-16,44022.52
106,2011-04-17,44222.68
107,2011-04-18,44292.74
108,2011-04-19,44342.78
109,2011-04-20,44412.84
110,2011-04-21,44412.84
111,2011-04-22,44482.9
112,2011-04-23,44562.96
113,2011-04-24,44683.06
114,2011-04-25,44923.26
115,2011-04-26,45073.38
116,2011-04-27,45343.6
117,2011-04-28,45523.74
118,2011-04-29,45623.82
119,2011-04-30,45723.9
120,2011-05-01,45803.96
121,2011-05-02,45974.1
122,2011-05-03,45974.1
123,2011-05-04,46054.16
124,2011-05-05,46124.22
125,2011-05-06,46274.34
126,2011-05-07,46454.48
127,2011-05-08,46554.56
128,2011-05-09,46584.58
129,2011-05-10,46534.54
130,2011-05-11,46534.54
131,2011-05-12,46504.52
132,2011-05-13,46454.48
133,2011-05-14,46654.64
134,2011-05-15,47115.0
135,2011-05-16,47084.98
136,2011-05-17,46984.9
137,2011-05-18,46854.8
138,2011-05-19,46734.7
139,2011-05-20,46604.6
140,2011-05-21,46504.52
141,2011-05-22,46454.48
142,2011-05-23,46554.56
143,2011-05-24,46604.6
144,2011-05-25,46734.7
145,2011-05-26,46704.68
146,2011-05-27,46804.76
147,2011-05-28,46784.74
148,2011-05-29,46754.72
149,2011-05-30,46734.7
150,2011-05-31,46734.7
151,2011-06-01,46784.74
152,2011-06-02,46734.7
153,2011-06-03,46604.6
154,2011-06-04,46504.52
155,2011-06-05,46404.44
156,2011-06-06,46354.4
157,2011-06-07,46304.36
158,2011-06-08,46224.3
159,2011-06-09,46174.26
160,2011-06-10,46104.2
161,2011-06-11,46074.18
162,2011-06-12,46024.14
163,2011-06-13,45974.1
164,2011-06-14,45904.04
165,2011-06-15,45924.06
166,2011-06-16,45954.08
167,2011-06-17,46074.18
168,2011-06-18,46454.48
169,2011-06-19,46534.54
170,2011-06-20,46584.58
171,2011-06-21,46584.58
