,datetime,LAKE_VALLEY_RES_NR_CISCO_CA.tsv
0,2013-01-01,5850
1,2013-01-02,5750
2,2013-01-03,5700
3,2013-01-04,5670
4,2013-01-05,5630
5,2013-01-06,5600
6,2013-01-07,5560
7,2013-01-08,5530
8,2013-01-09,5510
9,2013-01-10,5480
10,2013-01-11,5450
11,2013-01-12,5410
12,2013-01-13,5370
13,2013-01-14,5340
14,2013-01-15,5300
15,2013-01-16,5260
16,2013-01-17,5230
17,2013-01-18,5190
18,2013-01-19,5150
19,2013-01-20,5120
20,2013-01-21,5080
21,2013-01-22,5050
22,2013-01-23,5010
23,2013-01-24,4990
24,2013-01-25,4990
25,2013-01-26,4980
26,2013-01-27,4970
27,2013-01-28,4950
28,2013-01-29,4920
29,2013-01-30,4900
30,2013-01-31,4870
31,2013-02-01,4850
32,2013-02-02,4820
33,2013-02-03,4790
34,2013-02-04,4770
35,2013-02-05,4740
36,2013-02-06,4710
37,2013-02-07,4690
38,2013-02-08,4660
39,2013-02-09,4640
40,2013-02-10,4600
41,2013-02-11,4570
42,2013-02-12,4540
43,2013-02-13,4510
44,2013-02-14,4480
45,2013-02-15,4450
46,2013-02-16,4420
47,2013-02-17,4390
48,2013-02-18,4360
49,2013-02-19,4350
50,2013-02-20,4320
51,2013-02-21,4290
52,2013-02-22,4250
53,2013-02-23,4220
54,2013-02-24,4190
55,2013-02-25,4160
56,2013-02-26,4130
57,2013-02-27,4100
58,2013-02-28,4070
59,2013-03-01,4040
60,2013-03-02,4010
61,2013-03-03,4000
62,2013-03-04,3980
63,2013-03-05,3960
64,2013-03-06,3970
65,2013-03-07,3950
66,2013-03-08,3920
67,2013-03-09,3900
68,2013-03-10,3870
69,2013-03-11,3850
70,2013-03-12,3830
71,2013-03-13,3820
72,2013-03-14,3820
73,2013-03-15,3810
74,2013-03-16,3810
75,2013-03-17,3800
76,2013-03-18,3790
77,2013-03-19,3800
78,2013-03-20,3920
79,2013-03-21,3970
80,2013-03-22,3980
81,2013-03-23,3980
82,2013-03-24,3980
83,2013-03-25,3980
84,2013-03-26,3980
85,2013-03-27,4000
86,2013-03-28,4050
87,2013-03-29,4090
88,2013-03-30,4140
89,2013-03-31,4230
90,2013-04-01,4300
91,2013-04-02,4360
92,2013-04-03,4410
93,2013-04-04,4550
94,2013-04-05,4640
95,2013-04-06,4710
96,2013-04-07,4780
97,2013-04-08,4860
98,2013-04-09,4900
99,2013-04-10,4940
100,2013-04-11,5000
101,2013-04-12,5050
102,2013-04-13,5100
103,2013-04-14,5140
104,2013-04-15,5190
105,2013-04-16,5220
106,2013-04-17,5240
107,2013-04-18,5270
108,2013-04-19,5300
109,2013-04-20,5330
