,datetime,LEMOLO_LAKE_NEAR_TOKETEE_FALLS__OR.tsv
0,2013-01-01,4125.79
1,2013-01-02,4125.31
2,2013-01-03,4124.88
3,2013-01-04,4124.46
4,2013-01-05,4124.17
5,2013-01-06,4123.83
6,2013-01-07,4123.85
7,2013-01-08,4123.96
8,2013-01-09,4123.89
9,2013-01-10,4123.9
10,2013-01-11,4123.89
11,2013-01-12,4123.64
12,2013-01-13,4123.62
13,2013-01-14,4123.84
14,2013-01-15,4124.25
15,2013-01-16,4124.22
16,2013-01-17,4124.23
17,2013-01-18,4124.23
18,2013-01-19,4124.21
19,2013-01-20,4123.99
20,2013-01-21,4124.04
21,2013-01-22,4123.94
22,2013-01-23,4124.07
23,2013-01-24,4124.01
24,2013-01-25,4124.18
25,2013-01-26,4124.13
26,2013-01-27,4123.9
27,2013-01-28,4124.01
28,2013-01-29,4124.02
29,2013-01-30,4123.99
30,2013-01-31,4124.14
31,2013-02-01,4124.07
32,2013-02-02,4124.11
33,2013-02-03,4123.95
34,2013-02-04,4124.07
35,2013-02-05,4124.12
36,2013-02-06,4124.15
37,2013-02-07,4124.26
38,2013-02-08,4124.34
39,2013-02-09,4124.18
40,2013-02-10,4124.25
41,2013-02-11,4124.22
42,2013-02-12,4124.36
43,2013-02-13,4124.54
44,2013-02-14,4124.49
45,2013-02-15,4124.8
46,2013-02-16,4124.75
47,2013-02-17,4124.79
48,2013-02-18,4124.86
49,2013-02-19,4124.82
50,2013-02-20,4124.73
51,2013-02-21,4124.64
52,2013-02-22,4124.7
53,2013-02-23,4124.56
54,2013-02-24,4124.39
55,2013-02-25,4124.14
56,2013-02-26,4124.36
57,2013-02-27,4124.31
58,2013-02-28,4124.86
59,2013-03-01,4125.43
60,2013-03-02,4125.54
61,2013-03-03,4126.04
62,2013-03-04,4126.32
63,2013-03-05,4126.35
64,2013-03-06,4126.34
65,2013-03-07,4126.33
66,2013-03-08,4126.26
67,2013-03-09,4126.13
68,2013-03-10,4126.13
69,2013-03-11,4126.08
70,2013-03-12,4126.1
71,2013-03-13,4126.21
72,2013-03-14,4126.25
73,2013-03-15,4126.18
74,2013-03-16,4126.32
75,2013-03-17,4126.28
76,2013-03-18,4126.06
77,2013-03-19,4125.86
78,2013-03-20,4126.59
79,2013-03-21,4127.02
80,2013-03-22,4126.79
81,2013-03-23,4126.8
82,2013-03-24,4126.82
83,2013-03-25,4126.82
84,2013-03-26,4126.91
85,2013-03-27,4126.84
86,2013-03-28,4127.08
87,2013-03-29,4127.21
88,2013-03-30,4127.36
89,2013-03-31,4127.85
90,2013-04-01,4128.94
91,2013-04-02,4130.03
92,2013-04-03,4130.86
93,2013-04-04,4131.84
94,2013-04-05,4133.29
95,2013-04-06,4135.3
96,2013-04-07,4137.55
97,2013-04-08,4138.8
98,2013-04-09,4139.66
99,2013-04-10,4140.48
100,2013-04-11,4141.3
101,2013-04-12,4141.87
102,2013-04-13,4142.23
103,2013-04-14,4142.59
104,2013-04-15,4142.86
105,2013-04-16,4143.1
106,2013-04-17,4143.4
107,2013-04-18,4143.53
108,2013-04-19,4143.76
109,2013-04-20,4143.86
110,2013-04-21,4143.91
111,2013-04-22,4143.92
112,2013-04-23,4144.2
