,datetime,LOST_CREEK_LAKE_NEAR_MCLEOD__OR.tsv
0,2013-01-01,1810.64
1,2013-01-02,1810.82
2,2013-01-03,1811.02
3,2013-01-04,1811.28
4,2013-01-05,1811.58
5,2013-01-06,1811.94
6,2013-01-07,1812.37
7,2013-01-08,1812.86
8,2013-01-09,1813.41
9,2013-01-10,1813.96
10,2013-01-11,1814.47
11,2013-01-12,1814.89
12,2013-01-13,1815.23
13,2013-01-14,1815.58
14,2013-01-15,1815.94
15,2013-01-16,1816.34
16,2013-01-17,1816.71
17,2013-01-18,1817.08
18,2013-01-19,1817.46
19,2013-01-20,1817.84
20,2013-01-21,1818.24
21,2013-01-22,1818.63
22,2013-01-23,1819.11
23,2013-01-24,1819.78
24,2013-01-25,1820.79
25,2013-01-26,1822.5
26,2013-01-27,1823.83
27,2013-01-28,1824.96
28,2013-01-29,1826.02
29,2013-01-30,1826.87
30,2013-01-31,1827.68
31,2013-02-01,1828.42
32,2013-02-02,1829.12
33,2013-02-03,1829.78
34,2013-02-04,1830.45
35,2013-02-05,1831.08
36,2013-02-06,1831.68
37,2013-02-07,1832.31
38,2013-02-08,1832.89
39,2013-02-09,1833.41
40,2013-02-10,1833.9
41,2013-02-11,1834.39
42,2013-02-12,1834.85
43,2013-02-13,1835.28
44,2013-02-14,1835.69
45,2013-02-15,1836.11
46,2013-02-16,1836.54
47,2013-02-17,1836.97
48,2013-02-18,1837.39
49,2013-02-19,1837.82
50,2013-02-20,1838.22
51,2013-02-21,1838.58
52,2013-02-22,1838.98
53,2013-02-23,1839.4
54,2013-02-24,1839.76
55,2013-02-25,1840.12
56,2013-02-26,1840.46
57,2013-02-27,1840.77
58,2013-02-28,1841.26
59,2013-03-01,1841.98
60,2013-03-02,1842.69
61,2013-03-03,1843.43
62,2013-03-04,1844.13
63,2013-03-05,1844.81
64,2013-03-06,1845.54
65,2013-03-07,1846.17
66,2013-03-08,1846.76
67,2013-03-09,1847.29
68,2013-03-10,1847.76
69,2013-03-11,1848.23
70,2013-03-12,1848.73
71,2013-03-13,1849.26
72,2013-03-14,1849.83
73,2013-03-15,1850.47
74,2013-03-16,1851.15
75,2013-03-17,1851.9
76,2013-03-18,1852.56
77,2013-03-19,1853.18
78,2013-03-20,1854.21
79,2013-03-21,1855.38
80,2013-03-22,1856.27
81,2013-03-23,1857.02
82,2013-03-24,1857.71
83,2013-03-25,1858.33
84,2013-03-26,1858.98
85,2013-03-27,1859.62
86,2013-03-28,1860.31
