,datetime,LOWER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
0,2013-01-02,9896.76
1,2013-01-03,9916.809655172414
2,2013-01-04,9936.859310344827
3,2013-01-05,9956.908965517243
4,2013-01-06,9976.958620689657
5,2013-01-07,9997.00827586207
6,2013-01-08,10017.057931034484
7,2013-01-09,10037.107586206897
8,2013-01-10,10057.157241379311
9,2013-01-11,10077.206896551725
10,2013-01-12,10097.256551724138
11,2013-01-13,10117.306206896552
12,2013-01-14,10137.355862068966
13,2013-01-15,10157.40551724138
14,2013-01-16,10177.455172413793
15,2013-01-17,10197.504827586206
16,2013-01-18,10217.55448275862
17,2013-01-19,10237.604137931034
18,2013-01-20,10257.653793103447
19,2013-01-21,10277.70344827586
20,2013-01-22,10297.753103448274
21,2013-01-23,10317.80275862069
22,2013-01-24,10337.852413793104
23,2013-01-25,10357.902068965517
24,2013-01-26,10377.95172413793
25,2013-01-27,10398.001379310344
26,2013-01-28,10418.051034482758
27,2013-01-29,10438.100689655173
28,2013-01-30,10458.150344827587
29,2013-01-31,10478.2
30,2013-02-01,10492.878928571428
31,2013-02-02,10507.557857142858
32,2013-02-03,10522.236785714285
33,2013-02-04,10536.915714285715
34,2013-02-05,10551.594642857142
35,2013-02-06,10566.273571428572
36,2013-02-07,10580.9525
37,2013-02-08,10595.631428571429
38,2013-02-09,10610.310357142856
39,2013-02-10,10624.989285714286
40,2013-02-11,10639.668214285713
41,2013-02-12,10654.347142857143
42,2013-02-13,10669.02607142857
43,2013-02-14,10683.705
44,2013-02-15,10698.38392857143
45,2013-02-16,10713.062857142857
46,2013-02-17,10727.741785714286
47,2013-02-18,10742.420714285714
48,2013-02-19,10757.099642857143
49,2013-02-20,10771.778571428571
50,2013-02-21,10786.4575
51,2013-02-22,10801.136428571428
52,2013-02-23,10815.815357142857
53,2013-02-24,10830.494285714285
54,2013-02-25,10845.173214285714
55,2013-02-26,10859.852142857142
56,2013-02-27,10874.531071428572
57,2013-02-28,10889.21
58,2013-03-01,10905.720882352942
59,2013-03-02,10922.231764705883
60,2013-03-03,10938.742647058823
61,2013-03-04,10955.253529411766
62,2013-03-05,10971.764411764707
63,2013-03-06,10988.275294117648
64,2013-03-07,11004.786176470589
65,2013-03-08,11021.29705882353
66,2013-03-09,11037.80794117647
67,2013-03-10,11054.318823529411
68,2013-03-11,11070.829705882352
