,datetime,MAYFIELD_RESERVOIR_NEAR_SILVER_CREEK__WA.
0,2011-01-01,133324.63
1,2011-01-02,133024.5
2,2011-01-03,132824.41
3,2011-01-04,131223.68
4,2011-01-05,126121.35
5,2011-01-06,127121.83
6,2011-01-07,127221.87
7,2011-01-08,128222.35
8,2011-01-09,128622.53
9,2011-01-10,132124.11
10,2011-01-11,131623.86
11,2011-01-12,130023.14
12,2011-01-13,131823.98
13,2011-01-14,130823.52
14,2011-01-15,120518.75
15,2011-01-16,124020.41
16,2011-01-17,127321.91
17,2011-01-18,130223.23
18,2011-01-19,132024.04
19,2011-01-20,130923.55
20,2011-01-21,130223.24
21,2011-01-22,129122.75
22,2011-01-23,129522.92
23,2011-01-24,131023.59
24,2011-01-25,131823.97
25,2011-01-26,132124.12
26,2011-01-27,132024.07
27,2011-01-28,131123.67
28,2011-01-29,130523.37
29,2011-01-30,129622.97
30,2011-01-31,130323.31
31,2011-02-01,131323.73
32,2011-02-02,131423.78
33,2011-02-03,131723.91
34,2011-02-04,130523.39
35,2011-02-05,131923.99
36,2011-02-06,127522.02
37,2011-02-07,128122.31
38,2011-02-08,129723.03
39,2011-02-09,131023.59
40,2011-02-10,131924.01
41,2011-02-11,132624.31
42,2011-02-12,128722.54
43,2011-02-13,128222.35
44,2011-02-14,129122.76
45,2011-02-15,129923.12
46,2011-02-16,130323.31
47,2011-02-17,130523.37
48,2011-02-18,130723.45
49,2011-02-19,132824.39
50,2011-02-20,126821.67
51,2011-02-21,126621.59
52,2011-02-22,127021.77
53,2011-02-23,129322.83
54,2011-02-24,130123.19
55,2011-02-25,130623.42
56,2011-02-26,130523.37
57,2011-02-27,126821.71
58,2011-02-28,127522.0
59,2011-03-01,128322.38
60,2011-03-02,126821.71
61,2011-03-03,127021.77
62,2011-03-04,131123.65
63,2011-03-05,128622.51
64,2011-03-06,127822.17
65,2011-03-07,130823.52
66,2011-03-08,125621.13
67,2011-03-09,125521.11
68,2011-03-10,127822.16
69,2011-03-11,130723.47
70,2011-03-12,127421.96
71,2011-03-13,126921.75
72,2011-03-14,132424.24
73,2011-03-15,129923.09
74,2011-03-16,132524.29
75,2011-03-17,131523.83
76,2011-03-18,132424.23
77,2011-03-19,128922.64
78,2011-03-20,125821.24
79,2011-03-21,128122.29
80,2011-03-22,127421.95
81,2011-03-23,127021.79
82,2011-03-24,127021.79
83,2011-03-25,129823.05
84,2011-03-26,128522.47
85,2011-03-27,126121.35
86,2011-03-28,128622.52
87,2011-03-29,125921.27
88,2011-03-30,125421.06
89,2011-03-31,131823.95
90,2011-04-01,132324.2
91,2011-04-02,130523.4
92,2011-04-03,127722.1
93,2011-04-04,129923.12
94,2011-04-05,130323.31
95,2011-04-06,129122.73
96,2011-04-07,128322.39
97,2011-04-08,130723.47
98,2011-04-09,130623.43
99,2011-04-10,130423.33
100,2011-04-11,130723.45
101,2011-04-12,130223.25
102,2011-04-13,130123.21
103,2011-04-14,130823.5
104,2011-04-15,131423.8
105,2011-04-16,132824.43
106,2011-04-17,132324.17
107,2011-04-18,132424.25
108,2011-04-19,132024.04
109,2011-04-20,131924.0
110,2011-04-21,130923.55
111,2011-04-22,129723.0
112,2011-04-23,129022.69
113,2011-04-24,126221.41
114,2011-04-25,127622.08
115,2011-04-26,129222.77
116,2011-04-27,130423.35
117,2011-04-28,132324.19
118,2011-04-29,132724.37
119,2011-04-30,132024.04
120,2011-05-01,132124.12
121,2011-05-02,133024.51
122,2011-05-03,132124.09
123,2011-05-04,131023.59
124,2011-05-05,130423.35
125,2011-05-06,129522.93
126,2011-05-07,132124.11
127,2011-05-08,132124.08
128,2011-05-09,132424.21
129,2011-05-10,132424.23
130,2011-05-11,132424.25
131,2011-05-12,132724.36
132,2011-05-13,131523.85
133,2011-05-14,127421.95
134,2011-05-15,126421.49
135,2011-05-16,127822.16
136,2011-05-17,127822.17
137,2011-05-18,126521.55
138,2011-05-19,128922.67
139,2011-05-20,130123.19
140,2011-05-21,128922.65
141,2011-05-22,126821.67
142,2011-05-23,126821.69
143,2011-05-24,127321.94
144,2011-05-25,127121.85
145,2011-05-26,127321.92
146,2011-05-27,128522.49
147,2011-05-28,132024.05
148,2011-05-29,128822.6
149,2011-05-30,131823.98
150,2011-05-31,131823.96
151,2011-06-01,130123.2
152,2011-06-02,128522.45
153,2011-06-03,132524.28
154,2011-06-04,133324.62
155,2011-06-05,131623.89
156,2011-06-06,132124.09
157,2011-06-07,130523.36
158,2011-06-08,130723.46
159,2011-06-09,130823.51
160,2011-06-10,131423.79
161,2011-06-11,129222.8
162,2011-06-12,128222.34
163,2011-06-13,129622.98
164,2011-06-14,131523.82
165,2011-06-15,130723.49
166,2011-06-16,131323.72
167,2011-06-17,133224.58
168,2011-06-18,133224.58
169,2011-06-19,127622.07
170,2011-06-20,131924.02
171,2011-06-21,132924.44
172,2011-06-22,132024.04
173,2011-06-23,131023.62
174,2011-06-24,130623.44
175,2011-06-25,131023.62
176,2011-06-26,131323.76
177,2011-06-27,132424.21
178,2011-06-28,131723.9
179,2011-06-29,132024.04
180,2011-06-30,131323.73
181,2011-07-01,131223.68
182,2011-07-02,128322.38
183,2011-07-03,128422.42
184,2011-07-04,128222.34
185,2011-07-05,131723.91
186,2011-07-06,132524.27
187,2011-07-07,131423.77
188,2011-07-08,129723.01
189,2011-07-09,129122.75
190,2011-07-10,129422.89
191,2011-07-11,131023.62
192,2011-07-12,130923.55
193,2011-07-13,130523.39
194,2011-07-14,130623.43
195,2011-07-15,132924.47
196,2011-07-16,130723.49
197,2011-07-17,129222.81
198,2011-07-18,130423.33
199,2011-07-19,131924.01
200,2011-07-20,132624.32
201,2011-07-21,132424.22
202,2011-07-22,133424.69
203,2011-07-23,132524.28
204,2011-07-24,132424.25
205,2011-07-25,132424.21
206,2011-07-26,133424.69
207,2011-07-27,133224.61
208,2011-07-28,133624.76
209,2011-07-29,133024.5
210,2011-07-30,131823.97
211,2011-07-31,130323.31
212,2011-08-01,130623.41
213,2011-08-02,132024.04
214,2011-08-03,131423.79
215,2011-08-04,130723.45
216,2011-08-05,129923.11
217,2011-08-06,129222.79
218,2011-08-07,128522.45
219,2011-08-08,128422.41
220,2011-08-09,129322.83
221,2011-08-10,130123.19
222,2011-08-11,133224.61
223,2011-08-12,133124.55
224,2011-08-13,132124.09
225,2011-08-14,130023.17
226,2011-08-15,130123.22
227,2011-08-16,131423.78
228,2011-08-17,131823.96
229,2011-08-18,132024.06
230,2011-08-19,131623.86
231,2011-08-20,130323.28
232,2011-08-21,132124.12
233,2011-08-22,132524.29
234,2011-08-23,132924.46
235,2011-08-24,132724.37
236,2011-08-25,132624.32
237,2011-08-26,132824.4
238,2011-08-27,132424.22
239,2011-08-28,131924.01
240,2011-08-29,131823.96
241,2011-08-30,130423.34
242,2011-08-31,128522.49
243,2011-09-01,129622.98
244,2011-09-02,129923.09
245,2011-09-03,129923.09
246,2011-09-04,129022.68
247,2011-09-05,129422.86
248,2011-09-06,130123.22
249,2011-09-07,128622.5
250,2011-09-08,127421.98
251,2011-09-09,128422.41
252,2011-09-10,128622.53
253,2011-09-11,130123.18
254,2011-09-12,130223.23
255,2011-09-13,130523.4
256,2011-09-14,130423.33
257,2011-09-15,129622.96
258,2011-09-16,129422.9
259,2011-09-17,129022.69
260,2011-09-18,129022.68
261,2011-09-19,129322.83
262,2011-09-20,133124.53
263,2011-09-21,133324.63
264,2011-09-22,132224.16
265,2011-09-23,132824.43
266,2011-09-24,131023.61
267,2011-09-25,128422.44
268,2011-09-26,127922.19
269,2011-09-27,128022.26
270,2011-09-28,129022.68
271,2011-09-29,129723.03
272,2011-09-30,129923.13
273,2011-10-01,130123.19
274,2011-10-02,131523.81
275,2011-10-03,130723.47
276,2011-10-04,130623.41
277,2011-10-05,130723.48
278,2011-10-06,130923.54
279,2011-10-07,131423.8
280,2011-10-08,131523.85
281,2011-10-09,130123.19
282,2011-10-10,130123.18
283,2011-10-11,130823.52
284,2011-10-12,132224.13
285,2011-10-13,132424.24
286,2011-10-14,132624.34
287,2011-10-15,132824.39
288,2011-10-16,131924.03
289,2011-10-17,131023.6
290,2011-10-18,130523.37
291,2011-10-19,129823.07
292,2011-10-20,129622.96
293,2011-10-21,129222.81
294,2011-10-22,130123.21
295,2011-10-23,130623.44
296,2011-10-24,130723.45
297,2011-10-25,131123.67
298,2011-10-26,132624.31
299,2011-10-27,132324.19
300,2011-10-28,132424.21
301,2011-10-29,131723.9
302,2011-10-30,129122.75
303,2011-10-31,130923.54
304,2011-11-01,132124.09
305,2011-11-02,132824.39
306,2011-11-03,131623.86
307,2011-11-04,131723.91
308,2011-11-05,130623.42
309,2011-11-06,130023.17
310,2011-11-07,131223.69
311,2011-11-08,132524.27
312,2011-11-09,131723.93
313,2011-11-10,131423.77
314,2011-11-11,130123.2
315,2011-11-12,127622.04
316,2011-11-13,126621.61
317,2011-11-14,127421.96
318,2011-11-15,130323.31
319,2011-11-16,130323.3
320,2011-11-17,129122.73
321,2011-11-18,129122.74
322,2011-11-19,129122.76
323,2011-11-20,125120.89
324,2011-11-21,124920.82
325,2011-11-22,121419.17
326,2011-11-23,127622.05
327,2011-11-24,131623.89
328,2011-11-25,129222.77
329,2011-11-26,125821.23
330,2011-11-27,131323.75
331,2011-11-28,132124.12
332,2011-11-29,130923.58
333,2011-11-30,130623.44
334,2011-12-01,130323.31
335,2011-12-02,130723.49
336,2011-12-03,130523.39
337,2011-12-04,127822.15
338,2011-12-05,130323.28
339,2011-12-06,131823.96
340,2011-12-07,132224.15
341,2011-12-08,130823.51
342,2011-12-09,129823.07
343,2011-12-10,132324.18
344,2011-12-11,128222.32
345,2011-12-12,130523.38
346,2011-12-13,131423.77
347,2011-12-14,129222.77
348,2011-12-15,127221.88
349,2011-12-16,129122.73
350,2011-12-17,130123.21
351,2011-12-18,124420.58
352,2011-12-19,126721.65
353,2011-12-20,127321.93
354,2011-12-21,127021.79
355,2011-12-22,129222.77
356,2011-12-23,130723.47
357,2011-12-24,126121.37
358,2011-12-25,124220.48
359,2011-12-26,124520.62
360,2011-12-27,123620.19
361,2011-12-28,125321.02
362,2011-12-29,122619.75
363,2011-12-30,124220.51
364,2011-12-31,126221.43
365,2012-01-01,127722.11
366,2012-01-02,128022.22
367,2012-01-03,126821.69
368,2012-01-04,128722.55
369,2012-01-05,131523.83
370,2012-01-06,132924.45
371,2012-01-07,131623.87
372,2012-01-08,128022.22
373,2012-01-09,130323.31
374,2012-01-10,129322.84
375,2012-01-11,131323.75
376,2012-01-12,131823.97
377,2012-01-13,130623.41
378,2012-01-14,129122.73
379,2012-01-15,128822.61
380,2012-01-16,128622.53
381,2012-01-17,126321.46
382,2012-01-18,126321.47
383,2012-01-19,128522.46
384,2012-01-20,131023.62
385,2012-01-21,131523.81
386,2012-01-22,129522.93
387,2012-01-23,129522.93
388,2012-01-24,128822.63
389,2012-01-25,126821.71
390,2012-01-26,128822.61
391,2012-01-27,132024.07
392,2012-01-28,129122.75
393,2012-01-29,126421.5
394,2012-01-30,129222.77
