,datetime,MOSES_LAKE_AT_MOSES_LAKE__WA.
0,2011-01-01,1042.42
1,2011-01-02,1042.41
2,2011-01-03,1042.39
3,2011-01-04,1042.38
4,2011-01-05,1042.37
5,2011-01-06,1042.36
6,2011-01-07,1042.36
7,2011-01-08,1042.35
8,2011-01-09,1042.34
9,2011-01-10,1042.33
10,2011-01-11,1042.32
11,2011-01-12,1042.33
12,2011-01-13,1042.33
13,2011-01-14,1042.32
14,2011-01-15,1042.34
15,2011-01-16,1042.39
16,2011-01-17,1042.4
17,2011-01-18,1042.41
18,2011-01-19,1042.4
19,2011-01-20,1042.4
20,2011-01-21,1042.4
21,2011-01-22,1042.42
22,2011-01-23,1042.44
23,2011-01-24,1042.47
24,2011-01-25,1042.5
25,2011-01-26,1042.53
26,2011-01-27,1042.57
27,2011-01-28,1042.61
28,2011-01-29,1042.64
29,2011-01-30,1042.68
30,2011-01-31,1042.7
31,2011-02-01,1042.74
32,2011-02-02,1042.78
33,2011-02-03,1042.82
34,2011-02-04,1042.86
35,2011-02-05,1042.9
36,2011-02-06,1042.93
37,2011-02-07,1042.98
38,2011-02-08,1043.01
39,2011-02-09,1043.03
40,2011-02-10,1043.07
41,2011-02-11,1043.11
42,2011-02-12,1043.15
43,2011-02-13,1043.2
44,2011-02-14,1043.22
45,2011-02-15,1043.26
46,2011-02-16,1043.3
47,2011-02-17,1043.32
48,2011-02-18,1043.35
49,2011-02-19,1043.37
50,2011-02-20,1043.39
51,2011-02-21,1043.43
52,2011-02-22,1043.48
53,2011-02-23,1043.51
54,2011-02-24,1043.56
55,2011-02-25,1043.54
56,2011-02-26,1043.58
57,2011-02-27,1043.6
58,2011-02-28,1043.66
59,2011-03-01,1043.67
60,2011-03-02,1043.7
61,2011-03-03,1043.74
62,2011-03-04,1043.77
63,2011-03-05,1043.8
64,2011-03-06,1043.82
65,2011-03-07,1043.85
66,2011-03-08,1043.83
67,2011-03-09,1043.78
68,2011-03-10,1043.79
69,2011-03-11,1043.79
70,2011-03-12,1043.74
71,2011-03-13,1043.7
72,2011-03-14,1043.68
73,2011-03-15,1043.66
74,2011-03-16,1043.62
75,2011-03-17,1043.58
76,2011-03-18,1043.54
77,2011-03-19,1043.52
78,2011-03-20,1043.55
79,2011-03-21,1043.46
80,2011-03-22,1043.45
81,2011-03-23,1043.46
82,2011-03-24,1043.47
83,2011-03-25,1043.48
84,2011-03-26,1043.5
85,2011-03-27,1043.51
86,2011-03-28,1043.51
87,2011-03-29,1043.53
88,2011-03-30,1043.61
89,2011-03-31,1043.77
90,2011-04-01,1043.95
91,2011-04-02,1044.16
92,2011-04-03,1044.32
93,2011-04-04,1044.46
94,2011-04-05,1044.67
95,2011-04-06,1044.91
96,2011-04-07,1045.21
97,2011-04-08,1045.51
98,2011-04-09,1045.77
99,2011-04-10,1046.01
100,2011-04-11,1046.22
101,2011-04-12,1046.42
102,2011-04-13,1046.62
103,2011-04-14,1046.69
104,2011-04-15,1046.74
105,2011-04-16,1046.76
106,2011-04-17,1046.77
107,2011-04-18,1046.78
108,2011-04-19,1046.78
109,2011-04-20,1046.75
110,2011-04-21,1046.66
111,2011-04-22,1046.57
112,2011-04-23,1046.56
113,2011-04-24,1046.55
114,2011-04-25,1046.55
115,2011-04-26,1046.6
116,2011-04-27,1046.66
117,2011-04-28,1046.71
118,2011-04-29,1046.7
119,2011-04-30,1046.68
120,2011-05-01,1046.68
121,2011-05-02,1046.67
122,2011-05-03,1046.7
123,2011-05-04,1046.74
124,2011-05-05,1046.78
125,2011-05-06,1046.76
126,2011-05-07,1046.76
127,2011-05-08,1046.71
128,2011-05-09,1046.72
129,2011-05-10,1046.73
130,2011-05-11,1046.73
131,2011-05-12,1046.74
132,2011-05-13,1046.74
133,2011-05-14,1046.77
134,2011-05-15,1046.8
135,2011-05-16,1046.82
136,2011-05-17,1046.79
137,2011-05-18,1046.74
138,2011-05-19,1046.67
139,2011-05-20,1046.64
140,2011-05-21,1046.73
141,2011-05-22,1046.71
142,2011-05-23,1046.68
143,2011-05-24,1046.68
144,2011-05-25,1046.69
145,2011-05-26,1046.7
146,2011-05-27,1046.71
147,2011-05-28,1046.73
148,2011-05-29,1046.7
149,2011-05-30,1046.75
150,2011-05-31,1046.79
151,2011-06-01,1046.76
152,2011-06-02,1046.77
153,2011-06-03,1046.76
154,2011-06-04,1046.76
