,datetime,MUD_MOUNTAIN_LAKE_NEAR_BUCKLEY__WA.tsv
0,2013-01-01,908.28
1,2013-01-02,907.3199999999999
2,2013-01-03,907.22
3,2013-01-04,907.1199999999999
4,2013-01-05,907.2
5,2013-01-06,907.0999999999999
6,2013-01-07,909.5999999999999
7,2013-01-08,965.6
8,2013-01-09,977.1999999999999
9,2013-01-10,970.85
10,2013-01-11,962.7199999999999
11,2013-01-12,956.2399999999999
12,2013-01-13,951.8000000000001
13,2013-01-14,951.8000000000001
14,2013-01-15,950.0
15,2013-01-16,947.98
16,2013-01-17,947.23
17,2013-01-18,947.11
18,2013-01-19,947.35
19,2013-01-20,948.22
20,2013-01-21,951.2399999999999
21,2013-01-22,953.03
22,2013-01-23,952.84
23,2013-01-24,953.06
24,2013-01-25,952.84
25,2013-01-26,954.44
26,2013-01-27,953.06
27,2013-01-28,952.84
28,2013-01-29,962.36
29,2013-01-30,977.8
30,2013-01-31,994.34
31,2013-02-01,995.48
32,2013-02-02,981.7
33,2013-02-03,974.4
34,2013-02-04,968.7
35,2013-02-05,965.12
36,2013-02-06,964.04
37,2013-02-07,961.7600000000001
38,2013-02-08,958.48
39,2013-02-09,955.82
40,2013-02-10,953.93
41,2013-02-11,952.0799999999999
42,2013-02-12,951.0
43,2013-02-13,952.9200000000001
44,2013-02-14,953.24
45,2013-02-15,951.9200000000001
46,2013-02-16,952.96
47,2013-02-17,954.44
48,2013-02-18,952.8000000000001
49,2013-02-19,950.88
50,2013-02-20,948.76
51,2013-02-21,947.65
52,2013-02-22,947.77
53,2013-02-23,949.64
54,2013-02-24,947.44
55,2013-02-25,947.44
56,2013-02-26,946.06
57,2013-02-27,946.0899999999999
58,2013-02-28,946.93
59,2013-03-01,980.0
60,2013-03-02,985.0
61,2013-03-03,977.1
62,2013-03-04,968.75
63,2013-03-05,963.2800000000001
64,2013-03-06,959.7199999999999
65,2013-03-07,958.88
66,2013-03-08,955.49
67,2013-03-09,953.39
68,2013-03-10,951.68
69,2013-03-11,951.1999999999999
70,2013-03-12,952.12
71,2013-03-13,963.52
72,2013-03-14,973.56
73,2013-03-15,981.1
74,2013-03-16,996.32
75,2013-03-17,994.1
76,2013-03-18,979.9000000000001
77,2013-03-19,971.4
78,2013-03-20,969.9
79,2013-03-21,973.7199999999999
80,2013-03-22,967.96
81,2013-03-23,963.8000000000001
82,2013-03-24,961.0
83,2013-03-25,958.7199999999999
84,2013-03-26,957.12
85,2013-03-27,956.2399999999999
86,2013-03-28,956.32
87,2013-03-29,957.2399999999999
88,2013-03-30,958.52
89,2013-03-31,962.56
90,2013-04-01,970.75
91,2013-04-02,976.7600000000001
92,2013-04-03,976.64
93,2013-04-04,975.88
94,2013-04-05,990.15
95,2013-04-06,1008.38
96,2013-04-07,1015.6400000000001
97,2013-04-08,1014.38
98,2013-04-09,1007.4200000000001
99,2013-04-10,996.56
100,2013-04-11,1021.95
101,2013-04-12,1003.34
102,2013-04-13,996.56
103,2013-04-14,986.0
104,2013-04-15,979.45
105,2013-04-16,975.12
106,2013-04-17,970.95
107,2013-04-18,967.7199999999999
108,2013-04-19,985.6
109,2013-04-20,1089.94
110,2013-04-21,1021.46
111,2013-04-22,1004.5400000000001
112,2013-04-23,990.45
113,2013-04-24,981.25
114,2013-04-25,976.88
115,2013-04-26,976.96
116,2013-04-27,981.05
117,2013-04-28,983.25
118,2013-04-29,990.9
119,2013-04-30,928.26
120,2013-05-01,920.9100000000001
121,2013-05-02,916.8599999999999
122,2013-05-03,917.4000000000001
123,2013-05-04,919.02
124,2013-05-05,929.5500000000001
125,2013-05-06,939.2
126,2013-05-07,948.85
127,2013-05-08,958.36
128,2013-05-09,963.56
129,2013-05-10,963.7600000000001
130,2013-05-11,966.8000000000001
131,2013-05-12,975.9200000000001
132,2013-05-13,975.0799999999999
133,2013-05-14,966.0799999999999
134,2013-05-15,946.9
135,2013-05-16,937.79
136,2013-05-17,938.44
137,2013-05-18,934.1
138,2013-05-19,930.8
139,2013-05-20,928.47
140,2013-05-21,931.0
141,2013-05-22,932.69
142,2013-05-23,930.1199999999999
143,2013-05-24,923.4000000000001
144,2013-05-25,921.46
145,2013-05-26,919.38
