,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.tsv
0,2013-01-01,734.0
1,2013-01-02,734.0
2,2013-01-03,733.0
3,2013-01-04,733.0
4,2013-01-05,733.0
5,2013-01-06,734.0
6,2013-01-07,733.0
7,2013-01-08,733.0
8,2013-01-09,735.0
9,2013-01-10,733.0
10,2013-01-11,733.0
11,2013-01-12,732.0
12,2013-01-13,734.0
13,2013-01-14,732.0
14,2013-01-15,732.0
15,2013-01-16,732.0
16,2013-01-17,731.0
17,2013-01-18,731.0
18,2013-01-19,732.0
19,2013-01-20,732.0
20,2013-01-21,732.0
21,2013-01-22,732.0
22,2013-01-23,734.0
23,2013-01-24,737.0
24,2013-01-25,737.0
25,2013-01-26,737.0
26,2013-01-27,736.0
27,2013-01-28,734.0
28,2013-01-29,733.0
29,2013-01-30,734.0
30,2013-01-31,733.0
31,2013-02-01,734.0
32,2013-02-02,733.0
33,2013-02-03,734.0
34,2013-02-04,733.0
35,2013-02-05,733.0
36,2013-02-06,732.0
37,2013-02-07,733.0
38,2013-02-08,733.0
39,2013-02-09,732.0
40,2013-02-10,731.0
41,2013-02-11,731.0
42,2013-02-12,731.0
43,2013-02-13,732.0
44,2013-02-14,732.0
45,2013-02-15,732.0
46,2013-02-16,732.0
47,2013-02-17,731.0
48,2013-02-18,731.0
49,2013-02-19,733.0
50,2013-02-20,732.0
51,2013-02-21,730.0
52,2013-02-22,730.0
53,2013-02-23,729.0
54,2013-02-24,724.0
55,2013-02-25,726.0
56,2013-02-26,726.0
57,2013-02-27,728.0
58,2013-02-28,728.0
59,2013-03-01,729.0
60,2013-03-02,731.0
61,2013-03-03,733.0
62,2013-03-04,732.0
63,2013-03-05,734.0
64,2013-03-06,737.0
65,2013-03-07,733.0
66,2013-03-08,732.0
67,2013-03-09,732.0
68,2013-03-10,731.0
69,2013-03-11,733.0
70,2013-03-12,733.0
71,2013-03-13,734.0
72,2013-03-14,735.0
73,2013-03-15,735.0
74,2013-03-16,736.0
75,2013-03-17,735.0
76,2013-03-18,735.0
77,2013-03-19,739.0
78,2013-03-20,750.0
79,2013-03-21,745.0
80,2013-03-22,741.0
81,2013-03-23,740.0
82,2013-03-24,739.0
83,2013-03-25,741.0
84,2013-03-26,741.0
85,2013-03-27,742.0
86,2013-03-28,742.0
87,2013-03-29,741.0
88,2013-03-30,741.0
89,2013-03-31,750.0
90,2013-04-01,748.0
91,2013-04-02,747.0
92,2013-04-03,745.0
93,2013-04-04,749.0
94,2013-04-05,748.0
95,2013-04-06,753.0
96,2013-04-07,758.0
97,2013-04-08,752.0
98,2013-04-09,749.0
99,2013-04-10,750.0
100,2013-04-11,763.0
101,2013-04-12,785.0
102,2013-04-13,806.0
103,2013-04-14,825.0
104,2013-04-15,844.0
105,2013-04-16,858.0
106,2013-04-17,870.0
107,2013-04-18,883.0
108,2013-04-19,895.0
109,2013-04-20,904.0
110,2013-04-21,916.0
111,2013-04-22,926.0
112,2013-04-23,934.0
113,2013-04-24,943.0
114,2013-04-25,949.0
115,2013-04-26,956.0
116,2013-04-27,963.0
117,2013-04-28,968.0
118,2013-04-29,974.0
119,2013-04-30,978.0
120,2013-05-01,979.0
121,2013-05-02,983.0
122,2013-05-03,987.0
123,2013-05-04,990.0
124,2013-05-05,992.0
125,2013-05-06,999.0
126,2013-05-07,1000.0
127,2013-05-08,1010.0
128,2013-05-09,1010.0
129,2013-05-10,1020.0
130,2013-05-11,1020.0
131,2013-05-12,1020.0
132,2013-05-13,1020.0
133,2013-05-14,1020.0
134,2013-05-15,1020.0
135,2013-05-16,1030.0
136,2013-05-17,1040.0
137,2013-05-18,1040.0
138,2013-05-19,1040.0
139,2013-05-20,1040.0
140,2013-05-21,1040.0
141,2013-05-22,1030.0
142,2013-05-23,1030.0
143,2013-05-24,1030.0
144,2013-05-25,1030.0
145,2013-05-26,1030.0
146,2013-05-27,1040.0
147,2013-05-28,1060.0
148,2013-05-29,1060.0
149,2013-05-30,1060.0
150,2013-05-31,1060.0
151,2013-06-01,1060.0
152,2013-06-02,1060.0
153,2013-06-03,1060.0
154,2013-06-04,1060.0
155,2013-06-05,1050.0
156,2013-06-06,1050.0
157,2013-06-07,1050.0
158,2013-06-08,1040.0
159,2013-06-09,1040.0
160,2013-06-10,1040.0
161,2013-06-11,1030.0
162,2013-06-12,1030.0
163,2013-06-13,1030.0
164,2013-06-14,1020.0
165,2013-06-15,1020.0
166,2013-06-16,1010.0
167,2013-06-17,1010.0
168,2013-06-18,1010.0
169,2013-06-19,1010.0
170,2013-06-20,1000.0
171,2013-06-21,999.0
172,2013-06-22,995.0
173,2013-06-23,992.0
174,2013-06-24,993.0
175,2013-06-25,1020.0
176,2013-06-26,1020.0
177,2013-06-27,1020.0
178,2013-06-28,1020.0
179,2013-06-29,1010.0
180,2013-06-30,1010.0
181,2013-07-01,1010.0
182,2013-07-02,1000.0
183,2013-07-03,1000.0
184,2013-07-04,995.0
185,2013-07-05,992.0
186,2013-07-06,987.0
187,2013-07-07,983.0
188,2013-07-08,978.0
189,2013-07-09,973.0
190,2013-07-10,968.0
191,2013-07-11,964.0
192,2013-07-12,959.0
193,2013-07-13,955.0
194,2013-07-14,951.0
195,2013-07-15,947.0
196,2013-07-16,943.0
197,2013-07-17,938.0
198,2013-07-18,935.0
199,2013-07-19,931.0
200,2013-07-20,926.0
201,2013-07-21,922.0
202,2013-07-22,917.0
203,2013-07-23,913.0
204,2013-07-24,909.0
205,2013-07-25,905.0
206,2013-07-26,901.0
207,2013-07-27,897.0
208,2013-07-28,893.0
209,2013-07-29,888.0
210,2013-07-30,884.0
211,2013-07-31,880.0
212,2013-08-01,876.0
213,2013-08-02,871.0
214,2013-08-03,867.0
215,2013-08-04,863.0
216,2013-08-05,859.0
217,2013-08-06,855.0
218,2013-08-07,851.0
219,2013-08-08,847.0
220,2013-08-09,843.0
221,2013-08-10,840.0
222,2013-08-11,836.0
223,2013-08-12,832.0
224,2013-08-13,828.0
225,2013-08-14,823.0
226,2013-08-15,819.0
227,2013-08-16,814.0
228,2013-08-17,811.0
229,2013-08-18,806.0
230,2013-08-19,802.0
231,2013-08-20,798.0
232,2013-08-21,796.0
233,2013-08-22,792.0
234,2013-08-23,787.0
235,2013-08-24,783.0
236,2013-08-25,778.0
237,2013-08-26,773.0
238,2013-08-27,768.0
239,2013-08-28,764.0
240,2013-08-29,759.0
241,2013-08-30,754.0
242,2013-08-31,750.0
243,2013-09-01,746.0
244,2013-09-02,741.0
245,2013-09-03,737.0
246,2013-09-04,733.0
247,2013-09-05,729.0
248,2013-09-06,724.0
249,2013-09-07,722.0
250,2013-09-08,718.0
251,2013-09-09,714.0
252,2013-09-10,710.0
253,2013-09-11,700.0
254,2013-09-12,687.0
255,2013-09-13,676.0
256,2013-09-14,664.0
257,2013-09-15,652.0
258,2013-09-16,637.0
259,2013-09-17,620.0
260,2013-09-18,602.0
261,2013-09-19,586.0
262,2013-09-20,569.0
263,2013-09-21,560.0
264,2013-09-22,544.0
265,2013-09-23,529.0
266,2013-09-24,513.0
267,2013-09-25,499.0
268,2013-09-26,483.0
269,2013-09-27,468.0
270,2013-09-28,453.0
271,2013-09-29,441.0
272,2013-09-30,435.0
273,2013-10-01,424.0
274,2013-10-02,410.0
275,2013-10-03,396.0
276,2013-10-04,384.0
277,2013-10-05,373.0
278,2013-10-06,363.0
279,2013-10-07,353.0
280,2013-10-08,343.0
281,2013-10-09,333.0
282,2013-10-10,323.0
283,2013-10-11,313.0
284,2013-10-12,305.0
285,2013-10-13,295.0
286,2013-10-14,285.0
287,2013-10-15,275.0
288,2013-10-16,267.0
289,2013-10-17,257.0
290,2013-10-18,248.0
291,2013-10-19,239.0
292,2013-10-20,231.0
293,2013-10-21,222.0
294,2013-10-22,214.0
295,2013-10-23,205.0
296,2013-10-24,197.0
297,2013-10-25,189.0
298,2013-10-26,181.0
299,2013-10-27,173.0
300,2013-10-28,167.0
301,2013-10-29,161.0
302,2013-10-30,154.0
303,2013-10-31,146.0
304,2013-11-01,143.0
305,2013-11-02,144.0
