,datetime,SPADA_LAKE_NEAR_STARTUP__WA.
0,2011-01-01,1423.9
1,2011-01-02,1422.4
2,2011-01-03,1420.8
3,2011-01-04,1419.9
4,2011-01-05,1420.3
5,2011-01-06,1423.1
6,2011-01-07,1426.0
7,2011-01-08,1427.0
8,2011-01-09,1426.8
9,2011-01-10,1425.8
10,2011-01-11,1424.7
11,2011-01-12,1424.5
12,2011-01-13,1428.4
13,2011-01-14,1433.6
14,2011-01-15,1437.8
15,2011-01-16,1445.6
16,2011-01-17,1449.0
17,2011-01-18,1449.3
18,2011-01-19,1448.8
19,2011-01-20,1448.3
20,2011-01-21,1448.8
21,2011-01-22,1448.4
22,2011-01-23,1448.2
23,2011-01-24,1447.9
24,2011-01-25,1447.4
25,2011-01-26,1446.7
26,2011-01-27,1446.0
27,2011-01-28,1446.1
28,2011-01-29,1447.2
29,2011-01-30,1447.1
30,2011-01-31,1446.5
31,2011-02-01,1445.7
32,2011-02-02,1444.8
33,2011-02-03,1444.3
34,2011-02-04,1445.0
35,2011-02-05,1444.6
36,2011-02-06,1444.8
37,2011-02-07,1444.8
38,2011-02-08,1444.1
39,2011-02-09,1443.3
40,2011-02-10,1442.4
41,2011-02-11,1441.5
42,2011-02-12,1440.9
43,2011-02-13,1440.1
44,2011-02-14,1439.6
45,2011-02-15,1438.9
46,2011-02-16,1438.0
47,2011-02-17,1437.0
48,2011-02-18,1435.8
49,2011-02-19,1434.6
50,2011-02-20,1433.3
51,2011-02-21,1432.0
52,2011-02-22,1430.8
53,2011-02-23,1429.5
54,2011-02-24,1428.1
55,2011-02-25,1426.9
56,2011-02-26,1425.8
57,2011-02-27,1424.9
58,2011-02-28,1423.3
59,2011-03-01,1421.8
60,2011-03-02,1421.1
61,2011-03-03,1420.5
62,2011-03-04,1419.8
63,2011-03-05,1419.1
64,2011-03-06,1418.4
65,2011-03-07,1417.6
66,2011-03-08,1417.0
67,2011-03-09,1417.4
68,2011-03-10,1418.3
69,2011-03-11,1418.7
70,2011-03-12,1418.9
71,2011-03-13,1419.5
72,2011-03-14,1420.3
73,2011-03-15,1420.9
74,2011-03-16,1420.7
75,2011-03-17,1420.0
76,2011-03-18,1419.7
77,2011-03-19,1419.3
78,2011-03-20,1418.9
79,2011-03-21,1418.5
80,2011-03-22,1418.4
81,2011-03-23,1418.2
82,2011-03-24,1418.2
83,2011-03-25,1418.1
84,2011-03-26,1418.0
85,2011-03-27,1418.0
86,2011-03-28,1418.0
87,2011-03-29,1419.7
88,2011-03-30,1427.5
89,2011-03-31,1432.6
90,2011-04-01,1434.8
91,2011-04-02,1435.8
92,2011-04-03,1436.0
93,2011-04-04,1436.5
94,2011-04-05,1436.6
95,2011-04-06,1436.3
96,2011-04-07,1435.8
97,2011-04-08,1435.4
98,2011-04-09,1435.2
99,2011-04-10,1435.7
100,2011-04-11,1435.9
101,2011-04-12,1435.8
102,2011-04-13,1435.8
103,2011-04-14,1435.6
104,2011-04-15,1435.4
105,2011-04-16,1435.5
106,2011-04-17,1435.4
107,2011-04-18,1435.2
108,2011-04-19,1434.6
109,2011-04-20,1433.9
110,2011-04-21,1433.1
111,2011-04-22,1432.2
112,2011-04-23,1431.3
113,2011-04-24,1430.6
114,2011-04-25,1430.3
115,2011-04-26,1429.8
116,2011-04-27,1429.5
117,2011-04-28,1429.0
118,2011-04-29,1428.8
119,2011-04-30,1428.5
120,2011-05-01,1428.1
121,2011-05-02,1427.9
122,2011-05-03,1427.7
123,2011-05-04,1427.2
124,2011-05-05,1427.0
125,2011-05-06,1427.4
126,2011-05-07,1428.0
127,2011-05-08,1428.1
128,2011-05-09,1427.8
129,2011-05-10,1427.7
130,2011-05-11,1428.1
131,2011-05-12,1427.9
132,2011-05-13,1427.9
133,2011-05-14,1429.2
134,2011-05-15,1430.6
135,2011-05-16,1431.6
136,2011-05-17,1432.2
137,2011-05-18,1432.9
138,2011-05-19,1433.5
139,2011-05-20,1434.5
140,2011-05-21,1435.3
141,2011-05-22,1435.9
142,2011-05-23,1436.5
143,2011-05-24,1436.7
144,2011-05-25,1437.1
145,2011-05-26,1437.8
146,2011-05-27,1438.7
147,2011-05-28,1439.3
148,2011-05-29,1439.7
149,2011-05-30,1440.1
150,2011-05-31,1440.5
151,2011-06-01,1440.8
152,2011-06-02,1442.0
153,2011-06-03,1442.9
154,2011-06-04,1444.1
155,2011-06-05,1445.3
156,2011-06-06,1446.4
157,2011-06-07,1446.9
158,2011-06-08,1446.7
159,2011-06-09,1446.3
160,2011-06-10,1445.9
161,2011-06-11,1445.5
162,2011-06-12,1445.2
163,2011-06-13,1445.4
164,2011-06-14,1445.3
165,2011-06-15,1445.3
