,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.tsv
0,2013-01-01,3445.71
1,2013-01-02,3445.61
2,2013-01-03,3445.52
3,2013-01-04,3445.46
4,2013-01-05,3445.39
5,2013-01-06,3445.33
6,2013-01-07,3445.34
7,2013-01-08,3445.28
8,2013-01-09,3445.35
9,2013-01-10,3445.29
10,2013-01-11,3445.21
11,2013-01-12,3445.15
12,2013-01-13,3445.08
13,2013-01-14,3445.01
14,2013-01-15,3444.94
15,2013-01-16,3444.87
16,2013-01-17,3444.8
17,2013-01-18,3444.73
18,2013-01-19,3444.67
19,2013-01-20,3444.6
20,2013-01-21,3444.55
21,2013-01-22,3444.49
22,2013-01-23,3444.44
23,2013-01-24,3444.41
24,2013-01-25,3444.36
25,2013-01-26,3444.32
26,2013-01-27,3444.32
27,2013-01-28,3444.46
28,2013-01-29,3444.48
29,2013-01-30,3444.516666666667
30,2013-01-31,3444.5533333333333
31,2013-02-01,3444.59
32,2013-02-02,3444.56
33,2013-02-03,3444.51
34,2013-02-04,3444.45
35,2013-02-05,3444.43
36,2013-02-06,3444.43
37,2013-02-07,3444.41
38,2013-02-08,3444.34
39,2013-02-09,3444.29
40,2013-02-10,3444.24
41,2013-02-11,3444.19
42,2013-02-12,3444.18
43,2013-02-13,3444.15
44,2013-02-14,3444.11
45,2013-02-15,3444.08
46,2013-02-16,3444.08
47,2013-02-17,3444.03
48,2013-02-18,3443.98
49,2013-02-19,3443.95
50,2013-02-20,3443.91
51,2013-02-21,3443.88
52,2013-02-22,3443.93
53,2013-02-23,3443.92
54,2013-02-24,3443.89
55,2013-02-25,3443.9
56,2013-02-26,3443.86
57,2013-02-27,3443.82
58,2013-02-28,3443.9
59,2013-03-01,3443.96
60,2013-03-02,3443.99
61,2013-03-03,3443.99
62,2013-03-04,3443.97
63,2013-03-05,3443.98
64,2013-03-06,3444.0
65,2013-03-07,3443.98
66,2013-03-08,3443.94
67,2013-03-09,3443.9
68,2013-03-10,3443.87
69,2013-03-11,3443.86
70,2013-03-12,3443.87
71,2013-03-13,3443.86
72,2013-03-14,3443.87
73,2013-03-15,3443.91
74,2013-03-16,3444.03
75,2013-03-17,3444.06
76,2013-03-18,3444.05
77,2013-03-19,3444.11
78,2013-03-20,3444.25
79,2013-03-21,3444.33
80,2013-03-22,3444.33
81,2013-03-23,3444.3
82,2013-03-24,3444.25
83,2013-03-25,3444.22
84,2013-03-26,3444.19
85,2013-03-27,3444.17
86,2013-03-28,3444.15
87,2013-03-29,3444.14
88,2013-03-30,3444.14
89,2013-03-31,3444.16
90,2013-04-01,3444.19
91,2013-04-02,3444.24
92,2013-04-03,3444.27
93,2013-04-04,3444.43
94,2013-04-05,3444.74
95,2013-04-06,3445.02
96,2013-04-07,3445.26
97,2013-04-08,3445.34
98,2013-04-09,3445.37
99,2013-04-10,3445.47
100,2013-04-11,3445.51
101,2013-04-12,3445.55
102,2013-04-13,3445.62
103,2013-04-14,3445.63
104,2013-04-15,3445.61
105,2013-04-16,3445.57
106,2013-04-17,3445.54
107,2013-04-18,3445.53
108,2013-04-19,3445.73
109,2013-04-20,3445.81
110,2013-04-21,3445.87
111,2013-04-22,3445.88
112,2013-04-23,3445.9
113,2013-04-24,3445.91
114,2013-04-25,3445.94
115,2013-04-26,3445.98
116,2013-04-27,3446.03
117,2013-04-28,3446.13
118,2013-04-29,3446.28
119,2013-04-30,3446.31
120,2013-05-01,3446.32
121,2013-05-02,3446.31
122,2013-05-03,3446.33
123,2013-05-04,3446.38
124,2013-05-05,3446.47
125,2013-05-06,3446.58
126,2013-05-07,3446.72
127,2013-05-08,3446.85
128,2013-05-09,3446.98
129,2013-05-10,3447.09
130,2013-05-11,3447.19
131,2013-05-12,3447.3
132,2013-05-13,3447.4
133,2013-05-14,3447.43
134,2013-05-15,3447.43
135,2013-05-16,3447.39
136,2013-05-17,3447.38
137,2013-05-18,3447.36
138,2013-05-19,3447.33
139,2013-05-20,3447.29
140,2013-05-21,3447.33
141,2013-05-22,3447.38
142,2013-05-23,3447.36
143,2013-05-24,3447.31
144,2013-05-25,3447.24
145,2013-05-26,3447.18
146,2013-05-27,3447.22
147,2013-05-28,3447.19
148,2013-05-29,3447.29
149,2013-05-30,3447.29
150,2013-05-31,3447.27
151,2013-06-01,3447.23
152,2013-06-02,3447.2
153,2013-06-03,3447.17
154,2013-06-04,3447.14
155,2013-06-05,3447.13
156,2013-06-06,3447.12
157,2013-06-07,3447.09
158,2013-06-08,3447.04
159,2013-06-09,3446.98
160,2013-06-10,3446.92
161,2013-06-11,3446.87
162,2013-06-12,3446.81
163,2013-06-13,3446.76
164,2013-06-14,3446.69
165,2013-06-15,3446.62
166,2013-06-16,3446.55
167,2013-06-17,3446.49
168,2013-06-18,3446.4
169,2013-06-19,3446.34
170,2013-06-20,3446.33
171,2013-06-21,3446.28
172,2013-06-22,3446.22
173,2013-06-23,3446.18
174,2013-06-24,3446.13
175,2013-06-25,3446.11
176,2013-06-26,3446.07
177,2013-06-27,3446.0
178,2013-06-28,3445.95
179,2013-06-29,3445.89
180,2013-06-30,3445.83
181,2013-07-01,3445.77
182,2013-07-02,3445.7
183,2013-07-03,3445.61
184,2013-07-04,3445.52
185,2013-07-05,3445.43
186,2013-07-06,3445.35
187,2013-07-07,3445.26
188,2013-07-08,3445.18
189,2013-07-09,3445.09
190,2013-07-10,3445.0
191,2013-07-11,3444.91
192,2013-07-12,3444.82
193,2013-07-13,3444.72
194,2013-07-14,3444.64
195,2013-07-15,3444.55
196,2013-07-16,3444.47
197,2013-07-17,3444.39
198,2013-07-18,3444.3
199,2013-07-19,3444.22
200,2013-07-20,3444.14
201,2013-07-21,3444.06
202,2013-07-22,3443.98
203,2013-07-23,3443.9
204,2013-07-24,3443.83
205,2013-07-25,3443.75
206,2013-07-26,3443.67
207,2013-07-27,3443.59
208,2013-07-28,3443.51
209,2013-07-29,3443.44
210,2013-07-30,3443.37
211,2013-07-31,3443.31
212,2013-08-01,3443.25
213,2013-08-02,3443.18
214,2013-08-03,3443.12
215,2013-08-04,3443.06
216,2013-08-05,3443.0
217,2013-08-06,3442.95
218,2013-08-07,3442.89
219,2013-08-08,3442.84
220,2013-08-09,3442.8
221,2013-08-10,3442.74
222,2013-08-11,3442.69
223,2013-08-12,3442.64
224,2013-08-13,3442.59
225,2013-08-14,3442.55
226,2013-08-15,3442.5
227,2013-08-16,3442.46
228,2013-08-17,3442.41
229,2013-08-18,3442.36
230,2013-08-19,3442.31
231,2013-08-20,3442.25
232,2013-08-21,3442.21
233,2013-08-22,3442.16
234,2013-08-23,3442.12
235,2013-08-24,3442.08
236,2013-08-25,3442.04
237,2013-08-26,3442.0
238,2013-08-27,3441.96
239,2013-08-28,3441.93
240,2013-08-29,3441.99
241,2013-08-30,3441.95
242,2013-08-31,3441.92
243,2013-09-01,3441.89
244,2013-09-02,3441.85
245,2013-09-03,3441.82
246,2013-09-04,3441.8
247,2013-09-05,3441.86
248,2013-09-06,3442.08
249,2013-09-07,3442.05
250,2013-09-08,3442.01
251,2013-09-09,3441.98
252,2013-09-10,3441.94
253,2013-09-11,3441.91
254,2013-09-12,3441.88
255,2013-09-13,3441.85
256,2013-09-14,3441.81
257,2013-09-15,3441.79
258,2013-09-16,3441.75
259,2013-09-17,3441.71
260,2013-09-18,3441.7
261,2013-09-19,3441.65
262,2013-09-20,3441.62
263,2013-09-21,3441.6
264,2013-09-22,3441.63
265,2013-09-23,3441.65
266,2013-09-24,3441.63
267,2013-09-25,3441.59
268,2013-09-26,3441.58
269,2013-09-27,3441.69
270,2013-09-28,3442.02
271,2013-09-29,3442.44
272,2013-09-30,3442.73
273,2013-10-01,3442.92
274,2013-10-02,3443.03
275,2013-10-03,3443.1
276,2013-10-04,3443.17
277,2013-10-05,3443.23
278,2013-10-06,3443.28
279,2013-10-07,3443.46
280,2013-10-08,3443.63
281,2013-10-09,3443.71
282,2013-10-10,3443.78
283,2013-10-11,3443.84
284,2013-10-12,3443.92
285,2013-10-13,3443.97
286,2013-10-14,3444.03
287,2013-10-15,3444.03
288,2013-10-16,3443.97
289,2013-10-17,3443.93
290,2013-10-18,3443.87
291,2013-10-19,3443.82
292,2013-10-20,3443.76
293,2013-10-21,3443.7
294,2013-10-22,3443.65
295,2013-10-23,3443.59
296,2013-10-24,3443.54
297,2013-10-25,3443.49
298,2013-10-26,3443.45
299,2013-10-27,3443.4
300,2013-10-28,3443.35
301,2013-10-29,3443.29
302,2013-10-30,3443.24
303,2013-10-31,3443.24
304,2013-11-01,3443.2
305,2013-11-02,3443.32
306,2013-11-03,3443.25
307,2013-11-04,3443.21
308,2013-11-05,3443.19
309,2013-11-06,3443.17
310,2013-11-07,3443.35
