,datetime,SWIFT_RESERVOIR_NEAR_COUGAR__WA.tsv
0,2013-01-01,642781.02
1,2013-01-02,642779.85
2,2013-01-03,642778.72
3,2013-01-04,642777.28
4,2013-01-05,642775.46
5,2013-01-06,642773.93
6,2013-01-07,642773.27
7,2013-01-08,642771.84
8,2013-01-09,642771.21
9,2013-01-10,642770.86
10,2013-01-11,642770.8
11,2013-01-12,642770.82
12,2013-01-13,642770.71
13,2013-01-14,642770.08
14,2013-01-15,642769.58
15,2013-01-16,642768.75
16,2013-01-17,642768.22
17,2013-01-18,642767.51
18,2013-01-19,642766.86
19,2013-01-20,642766.34
20,2013-01-21,642765.9
21,2013-01-22,642765.2
22,2013-01-23,642764.54
23,2013-01-24,642763.89
24,2013-01-25,642763.36
25,2013-01-26,642762.91
26,2013-01-27,642762.41
27,2013-01-28,642762.25
28,2013-01-29,642763.06
29,2013-01-30,642762.39
30,2013-01-31,642761.63
31,2013-02-01,642760.67
32,2013-02-02,642759.52
33,2013-02-03,642758.42
34,2013-02-04,642756.84
35,2013-02-05,642755.35
36,2013-02-06,642753.87
37,2013-02-07,642752.17
38,2013-02-08,642750.09
39,2013-02-09,642748.1
40,2013-02-10,642747.71
41,2013-02-11,642747.75
42,2013-02-12,642744.67
43,2013-02-13,642741.24
44,2013-02-14,642737.56
45,2013-02-15,642734.37
46,2013-02-16,642732.27
47,2013-02-17,642730.53
48,2013-02-18,642727.99
49,2013-02-19,642725.59
50,2013-02-20,642723.3
51,2013-02-21,642721.01
52,2013-02-22,642719.88
53,2013-02-23,642720.11
54,2013-02-24,642719.47
55,2013-02-25,642719.39
56,2013-02-26,642718.71
57,2013-02-27,642718.99
58,2013-02-28,642720.84
59,2013-03-01,642723.71
60,2013-03-02,642726.47
61,2013-03-03,642726.91
62,2013-03-04,642728.32
63,2013-03-05,642729.32
64,2013-03-06,642730.63
65,2013-03-07,642732.03
66,2013-03-08,642731.93
67,2013-03-09,642732.98
68,2013-03-10,642733.37
69,2013-03-11,642734.34
70,2013-03-12,642735.73
71,2013-03-13,642736.96
72,2013-03-14,642738.55
73,2013-03-15,642740.08
74,2013-03-16,642742.21
75,2013-03-17,642744.22
76,2013-03-18,642745.88
77,2013-03-19,642747.1
78,2013-03-20,642749.22
79,2013-03-21,642750.74
80,2013-03-22,642753.0
81,2013-03-23,642754.77
82,2013-03-24,642755.95
83,2013-03-25,642756.96
84,2013-03-26,642757.88
85,2013-03-27,642758.78
86,2013-03-28,642759.72
87,2013-03-29,642761.16
88,2013-03-30,642762.33
89,2013-03-31,642763.93
90,2013-04-01,642765.93
91,2013-04-02,642768.0
92,2013-04-03,642769.92
93,2013-04-04,642771.87
94,2013-04-05,642775.66
95,2013-04-06,642781.07
96,2013-04-07,642786.0
97,2013-04-08,642788.95
98,2013-04-09,642791.27
99,2013-04-10,642793.06
100,2013-04-11,642794.43
101,2013-04-12,642795.55
102,2013-04-13,642795.8
103,2013-04-14,642795.05
104,2013-04-15,642794.42
105,2013-04-16,642795.04
106,2013-04-17,642795.2
107,2013-04-18,642796.03
108,2013-04-19,642796.55
109,2013-04-20,642797.09
110,2013-04-21,642796.99
111,2013-04-22,642796.24
112,2013-04-23,642795.64
113,2013-04-24,642795.1
114,2013-04-25,642794.78
115,2013-04-26,642794.81
116,2013-04-27,642795.34
117,2013-04-28,642796.86
118,2013-04-29,642797.55
119,2013-04-30,642797.48
120,2013-05-01,642796.91
121,2013-05-02,642796.43
122,2013-05-03,642796.07
123,2013-05-04,642795.9
124,2013-05-05,642795.63
125,2013-05-06,642795.54
126,2013-05-07,642796.45
127,2013-05-08,642797.04
128,2013-05-09,642797.98
129,2013-05-10,642798.67
130,2013-05-11,642799.36
131,2013-05-12,642799.18
132,2013-05-13,642799.23
133,2013-05-14,642799.08
