,datetime,UPPER_BLUE_LAKE_NR_MARKLEEVILLE_CA.tsv
0,2013-04-16,2940.0
1,2013-04-17,2960.0
2,2013-04-18,2970.0
3,2013-04-19,2990.0
4,2013-04-20,3010.0
5,2013-04-21,3030.0
6,2013-04-22,3070.0
7,2013-04-23,3120.0
8,2013-04-24,3150.0
9,2013-04-25,3190.0
10,2013-04-26,3230.0
11,2013-04-27,3240.0
12,2013-04-28,3290.0
13,2013-04-29,3360.0
14,2013-04-30,3460.0
15,2013-05-01,3510.0
16,2013-05-02,3560.0
17,2013-05-03,3610.0
18,2013-05-04,3650.0
19,2013-05-05,3700.0
20,2013-05-06,3760.0
21,2013-05-07,3790.0
22,2013-05-08,3820.0
23,2013-05-09,3850.0
24,2013-05-10,3900.0
25,2013-05-11,3960.0
26,2013-05-12,4020.0
27,2013-05-13,4100.0
28,2013-05-14,4160.0
29,2013-05-15,4210.0
30,2013-05-16,4270.0
31,2013-05-17,4320.0
32,2013-05-18,4360.0
33,2013-05-19,4390.0
34,2013-05-20,4430.0
35,2013-05-21,4470.0
36,2013-05-22,4500.0
37,2013-05-23,4520.0
38,2013-05-24,4530.0
39,2013-05-25,4550.0
40,2013-05-26,4580.0
41,2013-05-27,4620.0
42,2013-05-28,4620.0
43,2013-05-29,4680.0
44,2013-05-30,4670.0
45,2013-05-31,4690.0
46,2013-06-01,4760.0
47,2013-06-02,4770.0
48,2013-06-03,4790.0
49,2013-06-04,4800.0
50,2013-06-05,4820.0
51,2013-06-06,4830.0
52,2013-06-07,4830.0
53,2013-06-08,4840.0
54,2013-06-09,4850.0
55,2013-06-10,4850.0
56,2013-06-11,4840.0
57,2013-06-12,4850.0
58,2013-06-13,4840.0
59,2013-06-14,4840.0
60,2013-06-15,4830.0
61,2013-06-16,4830.0
62,2013-06-17,4820.0
63,2013-06-18,4820.0
64,2013-06-19,4800.0
65,2013-06-20,4800.0
66,2013-06-21,4790.0
67,2013-06-22,4790.0
68,2013-06-23,4780.0
69,2013-06-24,4810.0
70,2013-06-25,4830.0
71,2013-06-26,4840.0
72,2013-06-27,4830.0
73,2013-06-28,4830.0
74,2013-06-29,4830.0
75,2013-06-30,4820.0
76,2013-07-01,4820.0
77,2013-07-02,4800.0
78,2013-07-03,4800.0
79,2013-07-04,4790.0
80,2013-07-05,4780.0
81,2013-07-06,4750.0
82,2013-07-07,4750.0
83,2013-07-08,4740.0
84,2013-07-09,4730.0
85,2013-07-10,4720.0
86,2013-07-11,4700.0
87,2013-07-12,4700.0
88,2013-07-13,4680.0
89,2013-07-14,4660.0
90,2013-07-15,4660.0
91,2013-07-16,4640.0
92,2013-07-17,4620.0
93,2013-07-18,4620.0
94,2013-07-19,4600.0
95,2013-07-20,4590.0
96,2013-07-21,4580.0
97,2013-07-22,4560.0
98,2013-07-23,4550.0
99,2013-07-24,4540.0
100,2013-07-25,4540.0
101,2013-07-26,4530.0
102,2013-07-27,4520.0
103,2013-07-28,4500.0
104,2013-07-29,4490.0
105,2013-07-30,4470.0
106,2013-07-31,4450.0
107,2013-08-01,4440.0
108,2013-08-02,4420.0
109,2013-08-03,4320.0
110,2013-08-04,4310.0
111,2013-08-05,4310.0
112,2013-08-06,4290.0
113,2013-08-07,4280.0
114,2013-08-08,4260.0
115,2013-08-09,4310.0
116,2013-08-10,4290.0
117,2013-08-11,4250.0
118,2013-08-12,4250.0
119,2013-08-13,4240.0
120,2013-08-14,4220.0
121,2013-08-15,4210.0
122,2013-08-16,4190.0
123,2013-08-17,4180.0
124,2013-08-18,4160.0
125,2013-08-19,4100.0
126,2013-08-20,4110.0
127,2013-08-21,4090.0
128,2013-08-22,4090.0
129,2013-08-23,4050.0
130,2013-08-24,4040.0
131,2013-08-25,4030.0
132,2013-08-26,4010.0
133,2013-08-27,4000.0
134,2013-08-28,3920.0
135,2013-08-29,3920.0
136,2013-08-30,3870.0
137,2013-08-31,3820.0
138,2013-09-01,3770.0
139,2013-09-02,3740.0
