,datetime,UPPER_KLAMATH_LAKE_AT_RATTLESNAKE_POINT__OR.tsv
0,2013-01-01,4139.76
1,2013-01-02,4139.78
2,2013-01-03,4139.79
3,2013-01-04,4139.81
4,2013-01-05,4139.82
5,2013-01-06,4139.86
6,2013-01-07,4139.87
7,2013-01-08,4139.9
8,2013-01-09,4139.92
9,2013-01-10,4139.94
10,2013-01-11,4139.96
11,2013-01-12,4139.97
12,2013-01-13,4139.98
13,2013-01-14,4139.99
14,2013-01-15,4140.0
15,2013-01-16,4140.0
16,2013-01-17,4140.02
17,2013-01-18,4140.04
18,2013-01-19,4140.04
19,2013-01-20,4140.05
20,2013-01-21,4140.05
21,2013-01-22,4140.05
22,2013-01-23,4140.09
23,2013-01-24,4140.14
24,2013-01-25,4140.18
25,2013-01-26,4140.23
26,2013-01-27,4140.24
27,2013-01-28,4140.27
28,2013-01-29,4140.3
29,2013-01-30,4140.34
30,2013-01-31,4140.37
31,2013-02-01,4140.42
32,2013-02-02,4140.44
33,2013-02-03,4140.48
34,2013-02-04,4140.51
35,2013-02-05,4140.54
36,2013-02-06,4140.57
37,2013-02-07,4140.6
38,2013-02-08,4140.63
39,2013-02-09,4140.66
40,2013-02-10,4140.7
41,2013-02-11,4140.73
42,2013-02-12,4140.75
43,2013-02-13,4140.77
44,2013-02-14,4140.8
45,2013-02-15,4140.83
46,2013-02-16,4140.86
47,2013-02-17,4140.89
48,2013-02-18,4140.91
49,2013-02-19,4140.95
50,2013-02-20,4140.98
51,2013-02-21,4141.0
52,2013-02-22,4141.04
53,2013-02-23,4141.08
54,2013-02-24,4141.11
55,2013-02-25,4141.15
56,2013-02-26,4141.17
57,2013-02-27,4141.2
58,2013-02-28,4141.23
59,2013-03-01,4141.25
60,2013-03-02,4141.25
61,2013-03-03,4141.28
62,2013-03-04,4141.3
63,2013-03-05,4141.31
64,2013-03-06,4141.33
65,2013-03-07,4141.38
66,2013-03-08,4141.43
67,2013-03-09,4141.43
68,2013-03-10,4141.43
69,2013-03-11,4141.46
70,2013-03-12,4141.48
71,2013-03-13,4141.49
72,2013-03-14,4141.51
73,2013-03-15,4141.54
74,2013-03-16,4141.58
75,2013-03-17,4141.65
76,2013-03-18,4141.6
77,2013-03-19,4141.59
78,2013-03-20,4141.66
79,2013-03-21,4141.74
80,2013-03-22,4141.77
81,2013-03-23,4141.73
82,2013-03-24,4141.76
83,2013-03-25,4141.78
84,2013-03-26,4141.8
85,2013-03-27,4141.8
86,2013-03-28,4141.84
87,2013-03-29,4141.86
88,2013-03-30,4141.88
89,2013-03-31,4141.88
90,2013-04-01,4141.95
91,2013-04-02,4141.96
92,2013-04-03,4142.01
93,2013-04-04,4141.98
94,2013-04-05,4142.04
95,2013-04-06,4142.09
96,2013-04-07,4142.2
97,2013-04-08,4142.35
98,2013-04-09,4142.27
99,2013-04-10,4142.3
100,2013-04-11,4142.32
101,2013-04-12,4142.36
102,2013-04-13,4142.44
103,2013-04-14,4142.38
104,2013-04-15,4142.42
105,2013-04-16,4142.41
106,2013-04-17,4142.41
107,2013-04-18,4142.4
108,2013-04-19,4142.44
109,2013-04-20,4142.41
110,2013-04-21,4142.43
111,2013-04-22,4142.44
112,2013-04-23,4142.44
113,2013-04-24,4142.44
114,2013-04-25,4142.43
115,2013-04-26,4142.43
116,2013-04-27,4142.44
117,2013-04-28,4142.45
118,2013-04-29,4142.46
119,2013-04-30,4142.42
120,2013-05-01,4142.36
121,2013-05-02,4142.34
122,2013-05-03,4142.37
123,2013-05-04,4142.28
124,2013-05-05,4142.27
125,2013-05-06,4142.24
126,2013-05-07,4142.24
127,2013-05-08,4142.23
128,2013-05-09,4142.26
129,2013-05-10,4142.26
130,2013-05-11,4142.25
131,2013-05-12,4142.25
132,2013-05-13,4142.26
133,2013-05-14,4142.25
134,2013-05-15,4142.24
135,2013-05-16,4142.19
136,2013-05-17,4142.2
137,2013-05-18,4142.15
138,2013-05-19,4142.13
139,2013-05-20,4142.12
140,2013-05-21,4142.17
141,2013-05-22,4142.1
142,2013-05-23,4142.08
143,2013-05-24,4142.08
144,2013-05-25,4142.04
145,2013-05-26,4142.05
146,2013-05-27,4141.96
147,2013-05-28,4142.05
148,2013-05-29,4142.1
149,2013-05-30,4142.05
150,2013-05-31,4142.01
151,2013-06-01,4142.02
152,2013-06-02,4142.0
153,2013-06-03,4141.98
154,2013-06-04,4141.95
155,2013-06-05,4141.92
156,2013-06-06,4141.88
157,2013-06-07,4141.87
158,2013-06-08,4141.82
159,2013-06-09,4141.8
160,2013-06-10,4141.78
161,2013-06-11,4141.73
162,2013-06-12,4141.67
163,2013-06-13,4141.59
164,2013-06-14,4141.5
165,2013-06-15,4141.48
166,2013-06-16,4141.44
167,2013-06-17,4141.4
168,2013-06-18,4141.39
169,2013-06-19,4141.33
170,2013-06-20,4141.26
171,2013-06-21,4141.23
172,2013-06-22,4141.19
173,2013-06-23,4141.15
174,2013-06-24,4141.08
175,2013-06-25,4141.05
176,2013-06-26,4141.1
177,2013-06-27,4141.13
178,2013-06-28,4141.16
179,2013-06-29,4141.15
180,2013-06-30,4141.14
181,2013-07-01,4141.11
182,2013-07-02,4141.08
183,2013-07-03,4141.06
184,2013-07-04,4141.03
185,2013-07-05,4141.01
186,2013-07-06,4140.94
187,2013-07-07,4140.88
188,2013-07-08,4140.82
189,2013-07-09,4140.77
190,2013-07-10,4140.75
191,2013-07-11,4140.73
192,2013-07-12,4140.69
193,2013-07-13,4140.63
194,2013-07-14,4140.58
195,2013-07-15,4140.54
196,2013-07-16,4140.5
197,2013-07-17,4140.46
198,2013-07-18,4140.45
199,2013-07-19,4140.43
200,2013-07-20,4140.38
201,2013-07-21,4140.33
202,2013-07-22,4140.28
203,2013-07-23,4140.26
204,2013-07-24,4140.19
205,2013-07-25,4140.16
206,2013-07-26,4140.11
207,2013-07-27,4140.1
208,2013-07-28,4140.06
209,2013-07-29,4140.01
210,2013-07-30,4139.94
211,2013-07-31,4139.92
212,2013-08-01,4139.92
213,2013-08-02,4139.84
214,2013-08-03,4139.81
215,2013-08-04,4139.79
216,2013-08-05,4139.75
217,2013-08-06,4139.74
218,2013-08-07,4139.7
219,2013-08-08,4139.63
220,2013-08-09,4139.63
221,2013-08-10,4139.61
222,2013-08-11,4139.6
223,2013-08-12,4139.59
224,2013-08-13,4139.57
225,2013-08-14,4139.54
226,2013-08-15,4139.52
227,2013-08-16,4139.5
228,2013-08-17,4139.48
229,2013-08-18,4139.45
230,2013-08-19,4139.43
231,2013-08-20,4139.39
232,2013-08-21,4139.31
233,2013-08-22,4139.3
234,2013-08-23,4139.3
235,2013-08-24,4139.27
236,2013-08-25,4139.24
237,2013-08-26,4139.26
238,2013-08-27,4139.25
239,2013-08-28,4139.22
240,2013-08-29,4139.2
241,2013-08-30,4139.2
242,2013-08-31,4139.17
243,2013-09-01,4139.1
244,2013-09-02,4139.1
245,2013-09-03,4139.09
246,2013-09-04,4139.08
247,2013-09-05,4139.08
248,2013-09-06,4139.0
249,2013-09-07,4138.99
250,2013-09-08,4139.0
251,2013-09-09,4138.96
252,2013-09-10,4138.93
253,2013-09-11,4138.9
254,2013-09-12,4138.89
255,2013-09-13,4138.88
256,2013-09-14,4138.84
257,2013-09-15,4138.8
258,2013-09-16,4138.81
259,2013-09-17,4138.86
260,2013-09-18,4138.76
261,2013-09-19,4138.74
262,2013-09-20,4138.75
263,2013-09-21,4138.73
264,2013-09-22,4138.69
265,2013-09-23,4138.73
266,2013-09-24,4138.77
267,2013-09-25,4138.8
268,2013-09-26,4138.76
269,2013-09-27,4138.73
270,2013-09-28,4138.64
271,2013-09-29,4138.68
272,2013-09-30,4138.89
273,2013-10-01,4138.87
274,2013-10-02,4138.9
275,2013-10-03,4138.88
276,2013-10-04,4138.85
277,2013-10-05,4138.84
278,2013-10-06,4138.85
279,2013-10-07,4138.89
280,2013-10-08,4138.88
281,2013-10-09,4138.91
282,2013-10-10,4138.88
283,2013-10-11,4138.85
284,2013-10-12,4138.86
285,2013-10-13,4138.88
286,2013-10-14,4138.88
287,2013-10-15,4138.88
288,2013-10-16,4138.86
289,2013-10-17,4138.87
290,2013-10-18,4138.88
291,2013-10-19,4138.89
292,2013-10-20,4138.9
293,2013-10-21,4138.92
294,2013-10-22,4138.92
295,2013-10-23,4138.93
296,2013-10-24,4138.94
297,2013-10-25,4138.94
298,2013-10-26,4138.95
299,2013-10-27,4139.01
300,2013-10-28,4139.06
301,2013-10-29,4138.97
302,2013-10-30,4138.96
303,2013-10-31,4138.97
304,2013-11-01,4138.97
305,2013-11-02,4139.04
306,2013-11-03,4139.0
307,2013-11-04,4139.0
308,2013-11-05,4138.95
309,2013-11-06,4139.01
310,2013-11-07,4139.03
311,2013-11-08,4139.04
312,2013-11-09,4139.04
313,2013-11-10,4139.06
314,2013-11-11,4139.06
315,2013-11-12,4139.07
316,2013-11-13,4139.09
317,2013-11-14,4139.13
318,2013-11-15,4139.14
319,2013-11-16,4139.16
320,2013-11-17,4139.1
321,2013-11-18,4139.08
322,2013-11-19,4139.07
323,2013-11-20,4139.26
324,2013-11-21,4139.3
325,2013-11-22,4139.22
326,2013-11-23,4139.22
327,2013-11-24,4139.16
328,2013-11-25,4139.16
329,2013-11-26,4139.16
330,2013-11-27,4139.18
331,2013-11-28,4139.19
332,2013-11-29,4139.19
333,2013-11-30,4139.21
334,2013-12-01,4139.22
335,2013-12-02,4139.33
336,2013-12-03,4139.33
337,2013-12-04,4139.32
338,2013-12-05,4139.3133333333335
339,2013-12-06,4139.306666666666
340,2013-12-07,4139.3
341,2013-12-08,4139.3
342,2013-12-09,4139.28
343,2013-12-10,4139.28
344,2013-12-11,4139.28
345,2013-12-12,4139.29
346,2013-12-13,4139.3
347,2013-12-14,4139.31
348,2013-12-15,4139.32
349,2013-12-16,4139.33
350,2013-12-17,4139.35
351,2013-12-18,4139.36
352,2013-12-19,4139.37
353,2013-12-20,4139.39
354,2013-12-21,4139.41
355,2013-12-22,4139.42
356,2013-12-23,4139.44
357,2013-12-24,4139.46
358,2013-12-25,4139.48
359,2013-12-26,4139.51
360,2013-12-27,4139.54
361,2013-12-28,4139.56
362,2013-12-29,4139.58
363,2013-12-30,4139.6
364,2013-12-31,4139.62
365,2014-01-01,4139.63
366,2014-01-02,4139.65
367,2014-01-03,4139.68
368,2014-01-04,4139.71
369,2014-01-05,4139.72
370,2014-01-06,4139.74
371,2014-01-07,4139.77
372,2014-01-08,4139.78
373,2014-01-09,4139.8
374,2014-01-10,4139.82
375,2014-01-11,4139.86
376,2014-01-12,4139.9
377,2014-01-13,4139.93
378,2014-01-14,4139.955
379,2014-01-15,4139.98
380,2014-01-16,4140.0
381,2014-01-17,4140.03
382,2014-01-18,4140.05
383,2014-01-19,4140.08
384,2014-01-20,4140.1
385,2014-01-21,4140.12
386,2014-01-22,4140.14
387,2014-01-23,4140.16
388,2014-01-24,4140.17
389,2014-01-25,4140.19
390,2014-01-26,4140.21
391,2014-01-27,4140.22
392,2014-01-28,4140.25
393,2014-01-29,4140.3
394,2014-01-30,4140.33
395,2014-01-31,4140.35
396,2014-02-01,4140.37
397,2014-02-02,4140.4
398,2014-02-03,4140.43
399,2014-02-04,4140.43
400,2014-02-05,4140.44
401,2014-02-06,4140.43
402,2014-02-07,4140.43
403,2014-02-08,4140.48
404,2014-02-09,4140.56
405,2014-02-10,4140.59
406,2014-02-11,4140.59
407,2014-02-12,4140.63
408,2014-02-13,4140.77
409,2014-02-14,4140.87
410,2014-02-15,4140.95
