,datetime,UPPER_KLAMATH_LAKE_AT_ROCKY_POINT__OR.
0,2011-01-01,4140.83
1,2011-01-02,4140.85
2,2011-01-03,4140.87
3,2011-01-04,4140.88
4,2011-01-05,4140.9
5,2011-01-06,4140.92
6,2011-01-07,4140.94
7,2011-01-08,4140.96
8,2011-01-09,4140.97
9,2011-01-10,4140.99
10,2011-01-11,4141.01
11,2011-01-12,4141.04
12,2011-01-13,4141.09
13,2011-01-14,4141.13
14,2011-01-15,4141.16
15,2011-01-16,4141.24
16,2011-01-17,4141.3
17,2011-01-18,4141.4
18,2011-01-19,4141.48
19,2011-01-20,4141.56
20,2011-01-21,4141.62
21,2011-01-22,4141.68
22,2011-01-23,4141.73
23,2011-01-24,4141.76
24,2011-01-25,4141.79
25,2011-01-26,4141.82
26,2011-01-27,4141.84
27,2011-01-28,4141.87
28,2011-01-29,4141.9
29,2011-01-30,4141.91
30,2011-01-31,4141.92
31,2011-02-01,4141.92
32,2011-02-02,4141.93
33,2011-02-03,4141.94
34,2011-02-04,4141.92
35,2011-02-05,4141.89
36,2011-02-06,4141.94
37,2011-02-07,4141.84
38,2011-02-08,4141.91
39,2011-02-09,4141.88
40,2011-02-10,4141.86
41,2011-02-11,4141.84
42,2011-02-12,4141.83
43,2011-02-13,4141.8
44,2011-02-14,4141.83
45,2011-02-15,4141.84
46,2011-02-16,4141.84
47,2011-02-17,4141.94
48,2011-02-18,4141.93
49,2011-02-19,4141.92
50,2011-02-20,4141.93
51,2011-02-21,4142.01
52,2011-02-22,4141.95
53,2011-02-23,4141.99
54,2011-02-24,4142.03
55,2011-02-25,4142.04
56,2011-02-26,4142.08
57,2011-02-27,4142.1
58,2011-02-28,4142.15
59,2011-03-01,4142.2
60,2011-03-02,4142.14
61,2011-03-03,4142.13
62,2011-03-04,4142.14
63,2011-03-05,4142.14
64,2011-03-06,4142.15
65,2011-03-07,4142.12
66,2011-03-08,4142.22
67,2011-03-09,4142.28
68,2011-03-10,4142.26
69,2011-03-11,4142.34
70,2011-03-12,4142.39
71,2011-03-13,4142.49
72,2011-03-14,4142.5
73,2011-03-15,4142.58
74,2011-03-16,4142.59
75,2011-03-17,4142.74
76,2011-03-18,4142.84
77,2011-03-19,4142.88
78,2011-03-20,4142.98
79,2011-03-21,4142.9
80,2011-03-22,4143.0
81,2011-03-23,4143.05
82,2011-03-24,4143.1
83,2011-03-25,4143.07
84,2011-03-26,4143.09
85,2011-03-27,4143.08
86,2011-03-28,4143.09
87,2011-03-29,4143.08
88,2011-03-30,4143.09
89,2011-03-31,4143.09
90,2011-04-01,4143.07
91,2011-04-02,4142.97
92,2011-04-03,4143.02
93,2011-04-04,4143.02
94,2011-04-05,4142.94
95,2011-04-06,4142.96
96,2011-04-07,4143.01
97,2011-04-08,4143.01
98,2011-04-09,4142.99
99,2011-04-10,4143.04
100,2011-04-11,4142.98
101,2011-04-12,4143.0
102,2011-04-13,4142.94
103,2011-04-14,4142.98
104,2011-04-15,4143.03
105,2011-04-16,4143.03
106,2011-04-17,4143.01
107,2011-04-18,4142.99
108,2011-04-19,4143.07
109,2011-04-20,4143.07
110,2011-04-21,4143.04
111,2011-04-22,4143.1
112,2011-04-23,4143.11
113,2011-04-24,4143.1
114,2011-04-25,4143.0
115,2011-04-26,4143.1
116,2011-04-27,4143.13
117,2011-04-28,4143.02
118,2011-04-29,4143.04
119,2011-04-30,4143.08
120,2011-05-01,4143.09
121,2011-05-02,4143.03
122,2011-05-03,4143.05
123,2011-05-04,4143.04
124,2011-05-05,4143.01
125,2011-05-06,4143.01
126,2011-05-07,4142.99
127,2011-05-08,4142.93
128,2011-05-09,4142.94
129,2011-05-10,4142.93
130,2011-05-11,4142.92
131,2011-05-12,4142.85
132,2011-05-13,4142.9
133,2011-05-14,4142.9
134,2011-05-15,4142.84
135,2011-05-16,4142.85
136,2011-05-17,4142.88
137,2011-05-18,4142.85
138,2011-05-19,4142.85
139,2011-05-20,4142.83
140,2011-05-21,4142.83
141,2011-05-22,4142.81
142,2011-05-23,4142.79
143,2011-05-24,4142.81
144,2011-05-25,4142.87
145,2011-05-26,4142.81
146,2011-05-27,4142.79
147,2011-05-28,4142.79
148,2011-05-29,4142.75
149,2011-05-30,4142.77
150,2011-05-31,4142.83
151,2011-06-01,4142.8
152,2011-06-02,4142.78
153,2011-06-03,4142.82
154,2011-06-04,4142.81
155,2011-06-05,4142.79
156,2011-06-06,4142.71
157,2011-06-07,4142.7
158,2011-06-08,4142.66
159,2011-06-09,4142.65
160,2011-06-10,4142.6
161,2011-06-11,4142.56
162,2011-06-12,4142.56
163,2011-06-13,4142.52
164,2011-06-14,4142.52
165,2011-06-15,4142.46
166,2011-06-16,4142.46
167,2011-06-17,4142.44
168,2011-06-18,4142.35
169,2011-06-19,4142.35
170,2011-06-20,4142.35
171,2011-06-21,4142.34
172,2011-06-22,4142.33
173,2011-06-23,4142.21
174,2011-06-24,4142.22
175,2011-06-25,4142.21
176,2011-06-26,4142.21
177,2011-06-27,4142.18
178,2011-06-28,4142.22
179,2011-06-29,4142.12
180,2011-06-30,4142.12
181,2011-07-01,4142.13
182,2011-07-02,4142.08
183,2011-07-03,4142.08
184,2011-07-04,4142.05
185,2011-07-05,4142.02
186,2011-07-06,4141.97
187,2011-07-07,4141.9
188,2011-07-08,4141.88
189,2011-07-09,4141.8
190,2011-07-10,4141.77
191,2011-07-11,4141.71
192,2011-07-12,4141.64
193,2011-07-13,4141.6
194,2011-07-14,4141.6
195,2011-07-15,4141.56
196,2011-07-16,4141.53
197,2011-07-17,4141.54
198,2011-07-18,4141.48
199,2011-07-19,4141.46
200,2011-07-20,4141.45
201,2011-07-21,4141.42
202,2011-07-22,4141.42
203,2011-07-23,4141.41
204,2011-07-24,4141.39
205,2011-07-25,4141.33
206,2011-07-26,4141.3
207,2011-07-27,4141.26
208,2011-07-28,4141.23
209,2011-07-29,4141.19
210,2011-07-30,4141.14
211,2011-07-31,4141.11
212,2011-08-01,4141.09
213,2011-08-02,4141.03
214,2011-08-03,4140.98
215,2011-08-04,4140.94
216,2011-08-05,4140.91
217,2011-08-06,4140.88
218,2011-08-07,4140.86
219,2011-08-08,4140.83
220,2011-08-09,4140.77
221,2011-08-10,4140.73
222,2011-08-11,4140.7
223,2011-08-12,4140.65
224,2011-08-13,4140.61
225,2011-08-14,4140.54
226,2011-08-15,4140.54
227,2011-08-16,4140.48
228,2011-08-17,4140.45
229,2011-08-18,4140.4
230,2011-08-19,4140.36
231,2011-08-20,4140.32
232,2011-08-21,4140.27
233,2011-08-22,4140.24
234,2011-08-23,4140.21
235,2011-08-24,4140.16
236,2011-08-25,4140.13
237,2011-08-26,4140.09
238,2011-08-27,4140.04
239,2011-08-28,4140.01
240,2011-08-29,4139.97
241,2011-08-30,4139.9
242,2011-08-31,4139.85
243,2011-09-01,4139.82
244,2011-09-02,4139.8
245,2011-09-03,4139.77
246,2011-09-04,4139.74
247,2011-09-05,4139.73
248,2011-09-06,4139.68
249,2011-09-07,4139.65
250,2011-09-08,4139.64
251,2011-09-09,4139.59
252,2011-09-10,4139.56
253,2011-09-11,4139.54
254,2011-09-12,4139.54
255,2011-09-13,4139.51
256,2011-09-14,4139.46
257,2011-09-15,4139.38
258,2011-09-16,4139.38
259,2011-09-17,4139.38
260,2011-09-18,4139.36
261,2011-09-19,4139.34
262,2011-09-20,4139.32
263,2011-09-21,4139.3
264,2011-09-22,4139.29
265,2011-09-23,4139.28
266,2011-09-24,4139.28
267,2011-09-25,4139.21
268,2011-09-26,4139.25
269,2011-09-27,4139.19
270,2011-09-28,4139.2
271,2011-09-29,4139.2
272,2011-09-30,4139.22
273,2011-10-01,4139.22
274,2011-10-02,4139.23
275,2011-10-03,4139.2
276,2011-10-04,4139.21
277,2011-10-05,4139.17
278,2011-10-06,4139.14
279,2011-10-07,4139.15
280,2011-10-08,4139.2
281,2011-10-09,4139.21
282,2011-10-10,4139.26
283,2011-10-11,4139.15
284,2011-10-12,4139.25
285,2011-10-13,4139.27
286,2011-10-14,4139.29
287,2011-10-15,4139.32
288,2011-10-16,4139.3
289,2011-10-17,4139.33
290,2011-10-18,4139.34
291,2011-10-19,4139.34
292,2011-10-20,4139.37
293,2011-10-21,4139.38
294,2011-10-22,4139.4
295,2011-10-23,4139.41
296,2011-10-24,4139.41
297,2011-10-25,4139.42
298,2011-10-26,4139.44
299,2011-10-27,4139.44
300,2011-10-28,4139.44
301,2011-10-29,4139.46
302,2011-10-30,4139.48
303,2011-10-31,4139.45
304,2011-11-01,4139.47
305,2011-11-02,4139.49
306,2011-11-03,4139.45
307,2011-11-04,4139.44
308,2011-11-05,4139.54
309,2011-11-06,4139.52
310,2011-11-07,4139.52
311,2011-11-08,4139.52
312,2011-11-09,4139.5
313,2011-11-10,4139.5
314,2011-11-11,4139.51
315,2011-11-12,4139.46
316,2011-11-13,4139.49
317,2011-11-14,4139.48
318,2011-11-15,4139.54
319,2011-11-16,4139.57
320,2011-11-17,4139.48
321,2011-11-18,4139.52
322,2011-11-19,4139.68
323,2011-11-20,4139.63
324,2011-11-21,4139.69
325,2011-11-22,4139.77
326,2011-11-23,4139.71
327,2011-11-24,4139.67
328,2011-11-25,4139.62
329,2011-11-26,4139.67
330,2011-11-27,4139.68
331,2011-11-28,4139.69
332,2011-11-29,4139.66
333,2011-11-30,4139.67
334,2011-12-01,4139.67
335,2011-12-02,4139.7
336,2011-12-03,4139.7
337,2011-12-04,4139.71
338,2011-12-05,4139.73
339,2011-12-06,4139.74
340,2011-12-07,4139.75
341,2011-12-08,4139.74
342,2011-12-09,4139.76
343,2011-12-10,4139.78
344,2011-12-11,4139.77
345,2011-12-12,4139.75
346,2011-12-13,4139.8
347,2011-12-14,4139.82
348,2011-12-15,4139.83
349,2011-12-16,4139.84
350,2011-12-17,4139.85
351,2011-12-18,4139.87
352,2011-12-19,4139.88
353,2011-12-20,4139.9
354,2011-12-21,4139.92
355,2011-12-22,4139.94
356,2011-12-23,4139.96
357,2011-12-24,4139.96
358,2011-12-25,4139.98
359,2011-12-26,4140.0
360,2011-12-27,4140.03
361,2011-12-28,4140.09
362,2011-12-29,4140.13
363,2011-12-30,4140.09
364,2011-12-31,4140.2
365,2012-01-01,4140.21
366,2012-01-02,4140.24
367,2012-01-03,4140.25
368,2012-01-04,4140.26
369,2012-01-05,4140.22
370,2012-01-06,4140.23
371,2012-01-07,4140.27
372,2012-01-08,4140.28
373,2012-01-09,4140.29
374,2012-01-10,4140.3
375,2012-01-11,4140.29
376,2012-01-12,4140.3
377,2012-01-13,4140.33
378,2012-01-14,4140.3
379,2012-01-15,4140.22
380,2012-01-16,4140.32
381,2012-01-17,4140.41
382,2012-01-18,4140.49
383,2012-01-19,4140.58
384,2012-01-20,4140.61
385,2012-01-21,4140.6
386,2012-01-22,4140.77
387,2012-01-23,4140.73
388,2012-01-24,4140.77
389,2012-01-25,4140.82
390,2012-01-26,4140.83
391,2012-01-27,4140.91
392,2012-01-28,4140.95
393,2012-01-29,4140.98
394,2012-01-30,4141.0
395,2012-01-31,4141.04
396,2012-02-01,4141.04
397,2012-02-02,4141.08
398,2012-02-03,4141.11
399,2012-02-04,4141.12
400,2012-02-05,4141.14
401,2012-02-06,4141.17
402,2012-02-07,4141.19
403,2012-02-08,4141.21
404,2012-02-09,4141.23
405,2012-02-10,4141.26
406,2012-02-11,4141.27
407,2012-02-12,4141.32
408,2012-02-13,4141.31
409,2012-02-14,4141.32
410,2012-02-15,4141.38
411,2012-02-16,4141.42
412,2012-02-17,4141.42
413,2012-02-18,4141.37
414,2012-02-19,4141.48
415,2012-02-20,4141.52
416,2012-02-21,4141.53
417,2012-02-22,4141.49
418,2012-02-23,4141.58
419,2012-02-24,4141.55
420,2012-02-25,4141.47
421,2012-02-26,4141.67
422,2012-02-27,4141.69
423,2012-02-28,4141.78
424,2012-02-29,4141.73
425,2012-03-01,4141.77
426,2012-03-02,4141.86
427,2012-03-03,4141.89
428,2012-03-04,4141.92
429,2012-03-05,4141.9
430,2012-03-06,4141.84
431,2012-03-07,4141.97
432,2012-03-08,4141.99
433,2012-03-09,4142.02
434,2012-03-10,4142.02
435,2012-03-11,4142.02
436,2012-03-12,4142.2
437,2012-03-13,4142.08
438,2012-03-14,4142.2
439,2012-03-15,4142.23
440,2012-03-16,4142.3
441,2012-03-17,4142.32
442,2012-03-18,4142.29
443,2012-03-19,4142.43
444,2012-03-20,4142.55
445,2012-03-21,4142.6
446,2012-03-22,4142.57
447,2012-03-23,4142.72
448,2012-03-24,4142.75
449,2012-03-25,4142.74
450,2012-03-26,4142.84
451,2012-03-27,4142.95
452,2012-03-28,4142.89
453,2012-03-29,4142.96
454,2012-03-30,4143.0
455,2012-03-31,4143.12
456,2012-04-01,4142.99
457,2012-04-02,4143.11
458,2012-04-03,4143.11
459,2012-04-04,4143.13
460,2012-04-05,4143.16
461,2012-04-06,4143.2
462,2012-04-07,4143.21
463,2012-04-08,4143.21
464,2012-04-09,4143.2
465,2012-04-10,4143.19
466,2012-04-11,4143.17
467,2012-04-12,4143.21
468,2012-04-13,4143.14
469,2012-04-14,4143.09
470,2012-04-15,4143.1
