,datetime,UPPER_KLAMATH_LAKE_NR_K.FALLS(WEIGHT-MEAN_ELEV)_OR.tsv
0,2013-01-01,8281.72
1,2013-01-02,8281.75
2,2013-01-03,8281.77
3,2013-01-04,8281.81
4,2013-01-05,8281.84
5,2013-01-06,8281.89
6,2013-01-07,8281.93
7,2013-01-08,8281.98
8,2013-01-09,8282.03
9,2013-01-10,8282.07
10,2013-01-11,8282.11
11,2013-01-12,8282.130000000001
12,2013-01-13,8282.15
13,2013-01-14,8282.17
14,2013-01-15,8282.16
15,2013-01-16,8282.17
16,2013-01-17,8282.18
17,2013-01-18,8282.21
18,2013-01-19,8282.23
19,2013-01-20,8282.24
20,2013-01-21,8282.25
21,2013-01-22,8282.27
22,2013-01-23,8282.33
23,2013-01-24,8282.41
24,2013-01-25,8282.47
25,2013-01-26,8282.57
26,2013-01-27,8282.619999999999
27,2013-01-28,8282.67
28,2013-01-29,8282.75
29,2013-01-30,8282.81
30,2013-01-31,8282.89
31,2013-02-01,8282.96
32,2013-02-02,8283.01
33,2013-02-03,8283.07
34,2013-02-04,8283.130000000001
35,2013-02-05,8283.2
36,2013-02-06,8283.25
37,2013-02-07,8283.31
38,2013-02-08,8283.369999999999
39,2013-02-09,8283.43
40,2013-02-10,8283.49
41,2013-02-11,8283.55
42,2013-02-12,8283.59
43,2013-02-13,8283.630000000001
44,2013-02-14,8283.69
45,2013-02-15,8283.75
46,2013-02-16,8283.81
47,2013-02-17,8283.86
48,2013-02-18,8283.91
49,2013-02-19,8283.99
50,2013-02-20,8284.05
51,2013-02-21,8284.11
52,2013-02-22,8284.17
53,2013-02-23,8284.25
54,2013-02-24,8284.31
55,2013-02-25,8284.380000000001
56,2013-02-26,8284.43
57,2013-02-27,8284.49
58,2013-02-28,8284.55
59,2013-03-01,8284.6
60,2013-03-02,8284.630000000001
61,2013-03-03,8284.67
62,2013-03-04,8284.71
63,2013-03-05,8284.73
64,2013-03-06,8284.77
65,2013-03-07,8284.85
66,2013-03-08,8284.93
67,2013-03-09,8284.95
68,2013-03-10,8284.97
69,2013-03-11,8285.01
70,2013-03-12,8285.05
71,2013-03-13,8285.09
72,2013-03-14,8285.12
73,2013-03-15,8285.17
