,datetime,YALE_RESERVOIR_NEAR_YALE__WA.tsv
0,2013-01-01,373086.79
1,2013-01-02,373086.91
2,2013-01-03,373085.92
3,2013-01-04,373085.72
4,2013-01-05,373084.97
5,2013-01-06,373084.24
6,2013-01-07,373084.55
7,2013-01-08,373085.33
8,2013-01-09,373086.36
9,2013-01-10,373086.27
10,2013-01-11,373086.8
11,2013-01-12,373085.19
12,2013-01-13,373083.77
13,2013-01-14,373082.97
14,2013-01-15,373081.99
15,2013-01-16,373080.96
16,2013-01-17,373080.27
17,2013-01-18,373079.03
18,2013-01-19,373077.45
19,2013-01-20,373075.76
20,2013-01-21,373074.9
21,2013-01-22,373073.44
22,2013-01-23,373071.97
23,2013-01-24,373072.62
24,2013-01-25,373073.82
25,2013-01-26,373075.04
26,2013-01-27,373076.36
27,2013-01-28,373078.14
28,2013-01-29,373078.55
29,2013-01-30,373080.72
30,2013-01-31,373082.25
31,2013-02-01,373083.38
32,2013-02-02,373083.56
33,2013-02-03,373085.14
34,2013-02-04,373086.82
35,2013-02-05,373087.19
36,2013-02-06,373086.74
37,2013-02-07,373086.82
38,2013-02-08,373086.51
39,2013-02-09,373085.17
40,2013-02-10,373082.64
41,2013-02-11,373079.95
42,2013-02-12,373081.26
43,2013-02-13,373082.95
44,2013-02-14,373085.02
45,2013-02-15,373087.34
46,2013-02-16,373087.8
47,2013-02-17,373087.3
48,2013-02-18,373086.45
49,2013-02-19,373086.93
50,2013-02-20,373087.23
51,2013-02-21,373087.4
52,2013-02-22,373086.89
53,2013-02-23,373085.3
54,2013-02-24,373085.61
55,2013-02-25,373086.18
56,2013-02-26,373086.51
57,2013-02-27,373085.69
58,2013-02-28,373083.98
59,2013-03-01,373083.46
60,2013-03-02,373084.38
61,2013-03-03,373084.07
62,2013-03-04,373084.78
63,2013-03-05,373084.4
64,2013-03-06,373084.54
65,2013-03-07,373083.13
66,2013-03-08,373084.14
67,2013-03-09,373084.83
68,2013-03-10,373085.09
69,2013-03-11,373084.6
70,2013-03-12,373085.07
71,2013-03-13,373085.17
72,2013-03-14,373084.5
73,2013-03-15,373083.71
74,2013-03-16,373083.19
75,2013-03-17,373083.42
76,2013-03-18,373083.43
77,2013-03-19,373083.83
78,2013-03-20,373084.72
79,2013-03-21,373086.38
80,2013-03-22,373085.66
81,2013-03-23,373085.31
82,2013-03-24,373085.07
83,2013-03-25,373084.93
84,2013-03-26,373084.88
85,2013-03-27,373085.79
86,2013-03-28,373085.87
87,2013-03-29,373085.4
88,2013-03-30,373085.9
89,2013-03-31,373086.5
90,2013-04-01,373086.2
91,2013-04-02,373086.24
92,2013-04-03,373085.94
93,2013-04-04,373085.06
94,2013-04-05,373084.23
95,2013-04-06,373083.9
96,2013-04-07,373084.33
97,2013-04-08,373085.03
98,2013-04-09,373084.91
99,2013-04-10,373085.89
100,2013-04-11,373085.14
101,2013-04-12,373085.43
102,2013-04-13,373086.74
103,2013-04-14,373087.9
104,2013-04-15,373088.68
105,2013-04-16,373087.45
106,2013-04-17,373086.41
107,2013-04-18,373086.17
108,2013-04-19,373085.17
109,2013-04-20,373085.35
110,2013-04-21,373086.43
111,2013-04-22,373088.47
112,2013-04-23,373087.91
113,2013-04-24,373086.95
114,2013-04-25,373086.61
115,2013-04-26,373086.27
116,2013-04-27,373085.9
117,2013-04-28,373086.1
118,2013-04-29,373085.48
119,2013-04-30,373085.8
120,2013-05-01,373086.52
121,2013-05-02,373086.39
122,2013-05-03,373085.2
123,2013-05-04,373084.17
124,2013-05-05,373085.92
125,2013-05-06,373086.68
126,2013-05-07,373085.68
127,2013-05-08,373084.96
128,2013-05-09,373086.47
129,2013-05-10,373086.55
130,2013-05-11,373086.79
131,2013-05-12,373087.88
132,2013-05-13,373088.97
133,2013-05-14,373088.83
134,2013-05-15,373088.36
135,2013-05-16,373088.0
136,2013-05-17,373088.38
137,2013-05-18,373088.17
138,2013-05-19,373088.05
139,2013-05-20,373088.9
140,2013-05-21,373088.48
141,2013-05-22,373088.76
142,2013-05-23,373088.46
143,2013-05-24,373088.03
144,2013-05-25,373087.67
145,2013-05-26,373087.53
146,2013-05-27,373088.35
147,2013-05-28,373088.92
148,2013-05-29,373089.0
149,2013-05-30,373088.99
150,2013-05-31,373089.31
151,2013-06-01,373087.44
152,2013-06-02,373086.74
153,2013-06-03,373085.8
154,2013-06-04,373086.28
155,2013-06-05,373086.16
156,2013-06-06,373085.49
157,2013-06-07,373085.8
158,2013-06-08,373086.17
159,2013-06-09,373086.0266666667
160,2013-06-10,373085.88333333336
161,2013-06-11,373085.74
162,2013-06-12,373086.98
163,2013-06-13,373086.69
164,2013-06-14,373087.24
165,2013-06-15,373087.56
166,2013-06-16,373087.39
167,2013-06-17,373087.66
168,2013-06-18,373087.96
169,2013-06-19,373088.15
170,2013-06-20,373087.31
171,2013-06-21,373086.6
172,2013-06-22,373086.52
173,2013-06-23,373086.96
174,2013-06-24,373087.45
175,2013-06-25,373087.39
176,2013-06-26,373086.92
177,2013-06-27,373087.06
178,2013-06-28,373087.06
179,2013-06-29,373087.32
180,2013-06-30,373087.51
181,2013-07-01,373087.48
182,2013-07-02,373087.89
183,2013-07-03,373088.08
184,2013-07-04,373087.88
185,2013-07-05,373087.7
186,2013-07-06,373086.97
187,2013-07-07,373086.37
188,2013-07-08,373085.63
189,2013-07-09,373085.01
190,2013-07-10,373084.13
191,2013-07-11,373083.61
192,2013-07-12,373083.17
193,2013-07-13,373083.26
194,2013-07-14,373083.6
195,2013-07-15,373082.56
196,2013-07-16,373082.56
197,2013-07-17,373082.02
