agency_cd	site_no	datetime	148982_62614_30800	148982_62614_30800_cd
USGS	12115900	2011-01-01	1549.61	A
USGS	12115900	2011-01-02	1549.32	A
USGS	12115900	2011-01-03	1549.06	A
USGS	12115900	2011-01-04	1548.81	A
USGS	12115900	2011-01-05	1548.64	A
USGS	12115900	2011-01-06	1548.76	A
USGS	12115900	2011-01-07	1549.52	A
USGS	12115900	2011-01-08	1550.85	A
USGS	12115900	2011-01-09	1551.54	A
USGS	12115900	2011-01-10	1551.95	A
USGS	12115900	2011-01-11	1551.85	A
USGS	12115900	2011-01-12	1551.61	A
USGS	12115900	2011-01-13	1552.09	A
USGS	12115900	2011-01-14	1554.22	A
USGS	12115900	2011-01-15	1556.94	A
USGS	12115900	2011-01-16	1559.50	A
USGS	12115900	2011-01-17	1565.27	A
USGS	12115900	2011-01-18	1566.16	A
USGS	12115900	2011-01-19	1564.59	A
USGS	12115900	2011-01-20	1562.55	A
USGS	12115900	2011-01-21	1561.01	A
USGS	12115900	2011-01-22	1560.77	A
USGS	12115900	2011-01-23	1559.49	A
USGS	12115900	2011-01-24	1557.75	A
USGS	12115900	2011-01-25	1555.77	A
USGS	12115900	2011-01-26	1554.87	A
USGS	12115900	2011-01-27	1554.43	A
USGS	12115900	2011-01-28	1554.00	A
USGS	12115900	2011-01-29	1553.77	A
USGS	12115900	2011-01-30	1554.05	A
USGS	12115900	2011-01-31	1554.04	A
USGS	12115900	2011-02-01	1553.76	A
USGS	12115900	2011-02-02	1553.23	A
USGS	12115900	2011-02-03	1552.57	A
USGS	12115900	2011-02-04	1552.19	A
USGS	12115900	2011-02-05	1552.64	A
USGS	12115900	2011-02-06	1552.99	A
USGS	12115900	2011-02-07	1553.71	A
USGS	12115900	2011-02-08	1554.20	A
USGS	12115900	2011-02-09	1553.87	A
USGS	12115900	2011-02-10	1553.23	A
USGS	12115900	2011-02-11	1552.60	A
USGS	12115900	2011-02-12	1552.08	A
USGS	12115900	2011-02-13	1551.88	A
USGS	12115900	2011-02-14	1551.57	A
USGS	12115900	2011-02-15	1551.42	A
USGS	12115900	2011-02-16	1551.45	A
USGS	12115900	2011-02-17	1551.53	A
USGS	12115900	2011-02-18	1551.66	A
USGS	12115900	2011-02-19	1551.78	A
USGS	12115900	2011-02-20	1551.89	A
USGS	12115900	2011-02-21	1551.95	A
USGS	12115900	2011-02-22	1552.05	A
USGS	12115900	2011-02-23	1552.17	A
USGS	12115900	2011-02-24	1552.22	A
USGS	12115900	2011-02-25	1552.20	A
USGS	12115900	2011-02-26	1552.13	A
USGS	12115900	2011-02-27	1552.13	A
USGS	12115900	2011-02-28	1552.23	A
USGS	12115900	2011-03-01	1552.23	A
USGS	12115900	2011-03-02	1552.19	A
USGS	12115900	2011-03-03	1552.17	A
USGS	12115900	2011-03-04	1552.16	A
USGS	12115900	2011-03-05	1552.09	A
USGS	12115900	2011-03-06	1552.03	A
USGS	12115900	2011-03-07	1551.95	A
USGS	12115900	2011-03-08	1551.91	A
USGS	12115900	2011-03-09	1551.86	A
USGS	12115900	2011-03-10	1552.22	A
USGS	12115900	2011-03-11	1552.80	A
USGS	12115900	2011-03-12	1553.01	A
USGS	12115900	2011-03-13	1553.04	A
USGS	12115900	2011-03-14	1553.11	A
USGS	12115900	2011-03-15	1553.17	A
USGS	12115900	2011-03-16	1553.38	A
USGS	12115900	2011-03-17	1553.50	A
USGS	12115900	2011-03-18	1553.53	A
