agency_cd	site_no	datetime	113642_62614_32400	113642_62614_32400_cd
USGS	14149500	2013-07-31	693.30	A
USGS	14149500	2013-08-01	693.27	A
USGS	14149500	2013-08-02	693.11	A
USGS	14149500	2013-08-03	693.14	A
USGS	14149500	2013-08-04	693.02	A
USGS	14149500	2013-08-05	693.34	A
USGS	14149500	2013-08-06	693.14	A
USGS	14149500	2013-08-07	693.16	A
USGS	14149500	2013-08-08	693.22	A
USGS	14149500	2013-08-09	693.27	A
USGS	14149500	2013-08-10	693.25	A
USGS	14149500	2013-08-11	693.26	A
USGS	14149500	2013-08-12	693.28	A
USGS	14149500	2013-08-13	693.34	A
USGS	14149500	2013-08-14	693.44	A
USGS	14149500	2013-08-15	692.43	A
USGS	14149500	2013-08-16	691.36	A
USGS	14149500	2013-08-17	691.46	A
USGS	14149500	2013-08-18	691.47	A
USGS	14149500	2013-08-19	692.74	A
USGS	14149500	2013-08-20	693.63	A
USGS	14149500	2013-08-21	693.87	A
USGS	14149500	2013-08-22	693.55	A
USGS	14149500	2013-08-23	693.35	A
USGS	14149500	2013-08-24	693.63	A
USGS	14149500	2013-08-25	693.51	A
USGS	14149500	2013-08-26	693.11	A
USGS	14149500	2013-08-27	693.51	A
USGS	14149500	2013-08-28	693.32	A
USGS	14149500	2013-08-29	694.39	A
USGS	14149500	2013-08-30	694.28	A
USGS	14149500	2013-08-31	694.10	A
USGS	14149500	2013-09-01	693.94	A
USGS	14149500	2013-09-02	693.68	A
USGS	14149500	2013-09-03	693.53	A
USGS	14149500	2013-09-04	693.39	A
USGS	14149500	2013-09-05	693.31	A
USGS	14149500	2013-09-06	693.59	A
USGS	14149500	2013-09-07	693.64	A
USGS	14149500	2013-09-08	693.78	A
USGS	14149500	2013-09-09	693.72	A
USGS	14149500	2013-09-10	693.75	A
USGS	14149500	2013-09-11	693.60	A
USGS	14149500	2013-09-12	693.46	A
USGS	14149500	2013-09-13	693.38	A
USGS	14149500	2013-09-14	693.49	A
USGS	14149500	2013-09-15	693.47	A
USGS	14149500	2013-09-16	693.79	A
USGS	14149500	2013-09-17	693.56	A
USGS	14149500	2013-09-18	693.88	A
USGS	14149500	2013-09-19	693.98	A
USGS	14149500	2013-09-20	694.13	A
USGS	14149500	2013-09-21	694.43	A
USGS	14149500	2013-09-22	694.45	A
USGS	14149500	2013-09-23	694.37	A
USGS	14149500	2013-09-24	694.17	A
USGS	14149500	2013-09-25	693.93	A
USGS	14149500	2013-09-26	694.42	A
USGS	14149500	2013-09-27	694.23	A
USGS	14149500	2013-09-28	694.05	A
USGS	14149500	2013-09-29	694.02	A
USGS	14149500	2013-09-30	694.02	A
USGS	14149500	2013-10-01	693.97	A
USGS	14149500	2013-10-02	693.98	A
USGS	14149500	2013-10-03	693.95	A
USGS	14149500	2013-10-04	694.37	A
USGS	14149500	2013-10-05	694.21	A
USGS	14149500	2013-10-06	694.19	A
USGS	14149500	2013-10-07	694.14	A
USGS	14149500	2013-10-08	694.15	A
USGS	14149500	2013-10-09	694.04	A
USGS	14149500	2013-10-10	694.05	A
USGS	14149500	2013-10-11	694.09	A
USGS	14149500	2013-10-12	694.03	A
USGS	14149500	2013-10-13	693.07	A
USGS	14149500	2013-10-14	694.09	A
USGS	14149500	2013-10-15	693.96	A
USGS	14149500	2013-10-16	693.75	A
USGS	14149500	2013-10-17	693.67	A
USGS	14149500	2013-10-18	693.65	A
USGS	14149500	2013-10-19	693.76	A
USGS	14149500	2013-10-20	693.68	A
USGS	14149500	2013-10-21	693.64	A
USGS	14149500	2013-10-22	693.54	A
USGS	14149500	2013-10-23	693.44	A
USGS	14149500	2013-10-24	694.41	A
USGS	14149500	2013-10-25	694.41	A
USGS	14149500	2013-10-26	694.37	A
USGS	14149500	2013-10-27	694.04	A
USGS	14149500	2013-10-28	694.01	A
USGS	14149500	2013-10-29	693.94	A
USGS	14149500	2013-10-30	693.98	A
USGS	14149500	2013-10-31	694.03	A
USGS	14149500	2013-11-01	694.11	A
USGS	14149500	2013-11-02	694.21	A
USGS	14149500	2013-11-03	693.76	A
USGS	14149500	2013-11-04	693.47	A
USGS	14149500	2013-11-05	693.19	A
USGS	14149500	2013-11-06	693.68	A
USGS	14149500	2013-11-07	693.18	A
USGS	14149500	2013-11-08	691.69	A
USGS	14149500	2013-11-09	691.46	A
USGS	14149500	2013-11-10	691.41	A
USGS	14149500	2013-11-11	691.51	A
USGS	14149500	2013-11-12	691.69	A
USGS	14149500	2013-11-13	691.72	A
