agency_cd	site_no	datetime	113676_62614_32400	113676_62614_32400_cd
USGS	14150900	2013-08-01	822.55	A
USGS	14150900	2013-08-02	822.34	A
USGS	14150900	2013-08-03	822.19	A
USGS	14150900	2013-08-04	821.92	A
USGS	14150900	2013-08-05	821.75	A
USGS	14150900	2013-08-06	821.45	A
USGS	14150900	2013-08-07	821.23	A
USGS	14150900	2013-08-08	821.10	A
USGS	14150900	2013-08-09	820.83	A
USGS	14150900	2013-08-10	820.66	A
USGS	14150900	2013-08-11	820.39	A
USGS	14150900	2013-08-12	820.21	A
USGS	14150900	2013-08-13	819.95	A
USGS	14150900	2013-08-14	819.72	A
USGS	14150900	2013-08-15	819.50	A
USGS	14150900	2013-08-16	819.18	A
USGS	14150900	2013-08-17	818.94	A
USGS	14150900	2013-08-18	818.81	A
USGS	14150900	2013-08-19	818.56	A
USGS	14150900	2013-08-20	818.34	A
USGS	14150900	2013-08-21	818.09	A
USGS	14150900	2013-08-22	817.80	A
USGS	14150900	2013-08-23	817.65	A
USGS	14150900	2013-08-24	817.40	A
USGS	14150900	2013-08-25	817.14	A
USGS	14150900	2013-08-26	817.01	A
USGS	14150900	2013-08-27	816.72	A
USGS	14150900	2013-08-28	816.50	A
USGS	14150900	2013-08-29	816.27	A
USGS	14150900	2013-08-30	816.08	A
USGS	14150900	2013-08-31	815.76	A
USGS	14150900	2013-09-01	815.58	A
USGS	14150900	2013-09-02	815.33	A
USGS	14150900	2013-09-03	815.07	A
USGS	14150900	2013-09-04	814.84	A
USGS	14150900	2013-09-05	814.70	A
USGS	14150900	2013-09-06	814.62	A
USGS	14150900	2013-09-07	814.45	A
USGS	14150900	2013-09-08	814.22	A
USGS	14150900	2013-09-09	813.98	A
USGS	14150900	2013-09-10	813.74	A
USGS	14150900	2013-09-11	813.51	A
USGS	14150900	2013-09-12	813.19	A
USGS	14150900	2013-09-13	813.00	A
USGS	14150900	2013-09-14	812.75	A
USGS	14150900	2013-09-15	812.46	A
USGS	14150900	2013-09-16	812.25	A
USGS	14150900	2013-09-17	812.09	A
USGS	14150900	2013-09-18	811.84	A
USGS	14150900	2013-09-19	811.62	A
USGS	14150900	2013-09-20	811.42	A
USGS	14150900	2013-09-21	811.32	A
USGS	14150900	2013-09-22	811.12	A
USGS	14150900	2013-09-23	810.90	A
USGS	14150900	2013-09-24	810.75	A
USGS	14150900	2013-09-25	810.63	A
USGS	14150900	2013-09-26	809.62	A
USGS	14150900	2013-09-27	808.24	A
USGS	14150900	2013-09-28	807.25	A
USGS	14150900	2013-09-29	807.45	A
USGS	14150900	2013-09-30	808.56	A
USGS	14150900	2013-10-01	807.60	A
USGS	14150900	2013-10-02	805.78	A
USGS	14150900	2013-10-03	803.71	A
USGS	14150900	2013-10-04	801.29	A
USGS	14150900	2013-10-05	798.71	A
USGS	14150900	2013-10-06	796.02	A
USGS	14150900	2013-10-07	793.60	A
USGS	14150900	2013-10-08	791.51	A
USGS	14150900	2013-10-09	790.12	A
USGS	14150900	2013-10-10	788.82	A
USGS	14150900	2013-10-11	787.47	A
USGS	14150900	2013-10-12	785.99	A
USGS	14150900	2013-10-13	784.49	A
USGS	14150900	2013-10-14	782.79	A
USGS	14150900	2013-10-15	781.20	A
USGS	14150900	2013-10-16	779.56	A
USGS	14150900	2013-10-17	777.85	A
USGS	14150900	2013-10-18	775.99	A
USGS	14150900	2013-10-19	774.19	A
USGS	14150900	2013-10-20	772.36	A
USGS	14150900	2013-10-21	770.47	A
USGS	14150900	2013-10-22	768.69	A
USGS	14150900	2013-10-23	766.89	A
USGS	14150900	2013-10-24	765.02	A
USGS	14150900	2013-10-25	763.10	A
USGS	14150900	2013-10-26	761.18	A
USGS	14150900	2013-10-27	759.25	A
USGS	14150900	2013-10-28	757.38	A
USGS	14150900	2013-10-29	755.39	A
