agency_cd	site_no	datetime	114059_62614_32400	114059_62614_32400_cd
USGS	14186600	2013-08-01	635.10	A
USGS	14186600	2013-08-02	635.16	A
USGS	14186600	2013-08-03	635.19	A
USGS	14186600	2013-08-04	635.16	A
USGS	14186600	2013-08-05	635.16	A
USGS	14186600	2013-08-06	635.16	A
USGS	14186600	2013-08-07	635.19	A
USGS	14186600	2013-08-08	635.22	A
USGS	14186600	2013-08-09	635.22	A
USGS	14186600	2013-08-10	635.22	A
USGS	14186600	2013-08-11	635.25	A
USGS	14186600	2013-08-12	635.28	A
USGS	14186600	2013-08-13	635.31	A
USGS	14186600	2013-08-14	635.31	A
USGS	14186600	2013-08-15	635.34	A
USGS	14186600	2013-08-16	635.31	A
USGS	14186600	2013-08-17	635.22	A
USGS	14186600	2013-08-18	635.25	A
USGS	14186600	2013-08-19	635.19	A
USGS	14186600	2013-08-20	635.22	A
USGS	14186600	2013-08-21	635.16	A
USGS	14186600	2013-08-22	635.22	A
USGS	14186600	2013-08-23	635.31	A
USGS	14186600	2013-08-24	635.31	A
USGS	14186600	2013-08-25	635.34	A
USGS	14186600	2013-08-26	635.34	A
USGS	14186600	2013-08-27	635.34	A
USGS	14186600	2013-08-28	635.43	A
USGS	14186600	2013-08-29	635.46	A
USGS	14186600	2013-08-30	635.54	A
USGS	14186600	2013-08-31	635.60	A
USGS	14186600	2013-09-01	635.36	A
USGS	14186600	2013-09-02	635.33	A
USGS	14186600	2013-09-03	635.58	A
USGS	14186600	2013-09-04	635.65	A
USGS	14186600	2013-09-05	635.60	A
USGS	14186600	2013-09-06	635.98	A
USGS	14186600	2013-09-07	635.84	A
USGS	14186600	2013-09-08	635.85	A
USGS	14186600	2013-09-09	635.58	A
USGS	14186600	2013-09-10	635.45	A
USGS	14186600	2013-09-11	635.38	A
USGS	14186600	2013-09-12	635.38	A
USGS	14186600	2013-09-13	635.40	A
USGS	14186600	2013-09-14	635.43	A
USGS	14186600	2013-09-15	635.57	A
USGS	14186600	2013-09-16	635.70	A
USGS	14186600	2013-09-17	635.70	A
USGS	14186600	2013-09-18	635.51	A
USGS	14186600	2013-09-19	635.52	A
USGS	14186600	2013-09-20	635.53	A
USGS	14186600	2013-09-21	635.59	A
USGS	14186600	2013-09-22	635.73	A
USGS	14186600	2013-09-23	635.91	A
USGS	14186600	2013-09-24	635.49	A
USGS	14186600	2013-09-25	635.47	A
USGS	14186600	2013-09-26	635.63	A
USGS	14186600	2013-09-27	634.50	A
USGS	14186600	2013-09-28	631.31	A
USGS	14186600	2013-09-29	632.26	A
USGS	14186600	2013-09-30	634.94	A
USGS	14186600	2013-10-01	634.96	A
USGS	14186600	2013-10-02	634.48	A
USGS	14186600	2013-10-03	633.86	A
USGS	14186600	2013-10-04	630.65	A
USGS	14186600	2013-10-05	626.87	A
USGS	14186600	2013-10-06	622.61	A
USGS	14186600	2013-10-07	622.13	A
USGS	14186600	2013-10-08	622.35	A
USGS	14186600	2013-10-09	623.03	A
USGS	14186600	2013-10-10	623.41	A
USGS	14186600	2013-10-11	622.63	A
USGS	14186600	2013-10-12	620.76	A
USGS	14186600	2013-10-13	617.88	A
USGS	14186600	2013-10-14	617.51	A
USGS	14186600	2013-10-15	616.93	A
USGS	14186600	2013-10-16	616.57	A
USGS	14186600	2013-10-17	616.50	A
USGS	14186600	2013-10-18	616.42	A
USGS	14186600	2013-10-19	616.39	A
USGS	14186600	2013-10-20	616.39	A
USGS	14186600	2013-10-21	616.37	A
USGS	14186600	2013-10-22	616.24	A
