agency_cd	site_no	datetime	213925_00054_32400	213925_00054_32400_cd
USGS	11426170	2011-01-01	5100	A
USGS	11426170	2011-01-02	5050	A
USGS	11426170	2011-01-03	5010	A
USGS	11426170	2011-01-04	4960	A
USGS	11426170	2011-01-05	4910	A
USGS	11426170	2011-01-06	4860	A
USGS	11426170	2011-01-07	4820	A
USGS	11426170	2011-01-08	4770	A
USGS	11426170	2011-01-09	4720	A
USGS	11426170	2011-01-10	4670	A
USGS	11426170	2011-01-11	4620	A
USGS	11426170	2011-01-12	4570	A
USGS	11426170	2011-01-13	4530	A
USGS	11426170	2011-01-14	4490	A
USGS	11426170	2011-01-15	4450	A
USGS	11426170	2011-01-16	4410	A
USGS	11426170	2011-01-17	4380	A
USGS	11426170	2011-01-18	4350	A
USGS	11426170	2011-01-19	4310	A
USGS	11426170	2011-01-20	4270	A
USGS	11426170	2011-01-21	4230	A
USGS	11426170	2011-01-22	4190	A
USGS	11426170	2011-01-23	4150	A
USGS	11426170	2011-01-24	4110	A
USGS	11426170	2011-01-25	4060	A
USGS	11426170	2011-01-26	4020	A
USGS	11426170	2011-01-27	3970	A
USGS	11426170	2011-01-28	3930	A
USGS	11426170	2011-01-29	3880	A
USGS	11426170	2011-01-30	3860	A
USGS	11426170	2011-01-31	3810	A
USGS	11426170	2011-02-01	3760	A
USGS	11426170	2011-02-02	3710	A
USGS	11426170	2011-02-03	3650	A
USGS	11426170	2011-02-04	3600	A
USGS	11426170	2011-02-05	3550	A
USGS	11426170	2011-02-06	3500	A
USGS	11426170	2011-02-07	3460	A
USGS	11426170	2011-02-08	3410	A
USGS	11426170	2011-02-09	3350	A
USGS	11426170	2011-02-10	3300	A
USGS	11426170	2011-02-11	3250	A
USGS	11426170	2011-02-12	3200	A
USGS	11426170	2011-02-13	3150	A
USGS	11426170	2011-02-14	3130	A
USGS	11426170	2011-02-15	3130	A
USGS	11426170	2011-02-16	3130	A
USGS	11426170	2011-02-17	3120	A
USGS	11426170	2011-02-18	3100	A
USGS	11426170	2011-02-19	3070	A
USGS	11426170	2011-02-20	3020	A
USGS	11426170	2011-02-21	2980	A
USGS	11426170	2011-02-22	2940	A
USGS	11426170	2011-02-23	2900	A
USGS	11426170	2011-02-24	2880	A
USGS	11426170	2011-02-25	2860	A
USGS	11426170	2011-02-26	2820	A
USGS	11426170	2011-02-27	2770	A
USGS	11426170	2011-02-28	2730	A
USGS	11426170	2011-03-01	2680	A
USGS	11426170	2011-03-02	2670	A
USGS	11426170	2011-03-03	2650	A
USGS	11426170	2011-03-04	2610	A
USGS	11426170	2011-03-05	2580	A
USGS	11426170	2011-03-06	2560	A
USGS	11426170	2011-03-07	2530	A
USGS	11426170	2011-03-08	2490	A
USGS	11426170	2011-03-09	2450	A
USGS	11426170	2011-03-10	2420	A
USGS	11426170	2011-03-11	2390	A
USGS	11426170	2011-03-12	2350	A
USGS	11426170	2011-03-13	2350	A
USGS	11426170	2011-03-14	2400	A
USGS	11426170	2011-03-15	2560	A
USGS	11426170	2011-03-16	2650	A
USGS	11426170	2011-03-17	2650	A
USGS	11426170	2011-03-18	2660	A
USGS	11426170	2011-03-19	2670	A
USGS	11426170	2011-03-20	2670	A
USGS	11426170	2011-03-21	2660	A
USGS	11426170	2011-03-22	2630	A
USGS	11426170	2011-03-23	2620	A
USGS	11426170	2011-03-24	2620	A
USGS	11426170	2011-03-25	2600	A
USGS	11426170	2011-03-26	2580	A
USGS	11426170	2011-03-27	2550	A
USGS	11426170	2011-03-28	2510	A
USGS	11426170	2011-03-29	2470	A
USGS	11426170	2011-03-30	2450	A:e
USGS	11426170	2011-03-31	2440	A:e
USGS	11426170	2011-04-01	2440	A
USGS	11426170	2011-04-02	2470	A
USGS	11426170	2011-04-03	2500	A
USGS	11426170	2011-04-04	2510	A
USGS	11426170	2011-04-05	2530	A
USGS	11426170	2011-04-06	2550	A
USGS	11426170	2011-04-07	2570	A
USGS	11426170	2011-04-08	2560	A
USGS	11426170	2011-04-09	2540	A
USGS	11426170	2011-04-10	2520	A
USGS	11426170	2011-04-11	2500	A
USGS	11426170	2011-04-12	2490	A
USGS	11426170	2011-04-13	2490	A
USGS	11426170	2011-04-14	2460	A
USGS	11426170	2011-04-15	2440	A
USGS	11426170	2011-04-16	2440	A
USGS	11426170	2011-04-17	2490	A
USGS	11426170	2011-04-18	2640	A
USGS	11426170	2011-04-19	2760	A
USGS	11426170	2011-04-20	2860	A
USGS	11426170	2011-04-21	3030	A
USGS	11426170	2011-04-22	3090	A
USGS	11426170	2011-04-23	3130	A
USGS	11426170	2011-04-24	3210	A
USGS	11426170	2011-04-25	3280	A
USGS	11426170	2011-04-26	3320	A
USGS	11426170	2011-04-27	3360	A
USGS	11426170	2011-04-28	3410	A
USGS	11426170	2011-04-29	3450	A
USGS	11426170	2011-04-30	3490	A
USGS	11426170	2011-05-01	3520	A
USGS	11426170	2011-05-02	3570	A
USGS	11426170	2011-05-03	3650	A
USGS	11426170	2011-05-04	3760	A
USGS	11426170	2011-05-05	3900	A
USGS	11426170	2011-05-06	4060	A
USGS	11426170	2011-05-07	4210	A
USGS	11426170	2011-05-08	4320	A
USGS	11426170	2011-05-09	4380	A
USGS	11426170	2011-05-10	4420	A
USGS	11426170	2011-05-11	4500	A
USGS	11426170	2011-05-12	4600	A
USGS	11426170	2011-05-13	4720	A
USGS	11426170	2011-05-14	4810	A
USGS	11426170	2011-05-15	4890	A
USGS	11426170	2011-05-16	4910	A
USGS	11426170	2011-05-17	4940	A
USGS	11426170	2011-05-18	4940	A
USGS	11426170	2011-05-19	4930	A
USGS	11426170	2011-05-20	4950	A
USGS	11426170	2011-05-21	5000	A
USGS	11426170	2011-05-22	5050	A
USGS	11426170	2011-05-23	5110	A
USGS	11426170	2011-05-24	5180	A
USGS	11426170	2011-05-25	5250	A
USGS	11426170	2011-05-26	5260	A
USGS	11426170	2011-05-27	5280	A
USGS	11426170	2011-05-28	5290	A
USGS	11426170	2011-05-29	5290	A
USGS	11426170	2011-05-30	5290	A
USGS	11426170	2011-05-31	5290	A
USGS	11426170	2011-06-01	5320	A
USGS	11426170	2011-06-02	5320	A
USGS	11426170	2011-06-03	5310	A
USGS	11426170	2011-06-04	5350	A
USGS	11426170	2011-06-05	5450	A
USGS	11426170	2011-06-06	5670	A
USGS	11426170	2011-06-07	5780	A
USGS	11426170	2011-06-08	5920	A
USGS	11426170	2011-06-09	6070	A
USGS	11426170	2011-06-10	6230	A
USGS	11426170	2011-06-11	6390	A
USGS	11426170	2011-06-12	6530	A
USGS	11426170	2011-06-13	6670	A
USGS	11426170	2011-06-14	6860	A
USGS	11426170	2011-06-15	7050	A
USGS	11426170	2011-06-16	7260	A
USGS	11426170	2011-06-17	7390	A
USGS	11426170	2011-06-18	7460	A
USGS	11426170	2011-06-19	7450	A
USGS	11426170	2011-06-20	7460	A
USGS	11426170	2011-06-21	7490	A
USGS	11426170	2011-06-22	7490	A
USGS	11426170	2011-06-23	7470	A
USGS	11426170	2011-06-24	7430	A
USGS	11426170	2011-06-25	7400	A
USGS	11426170	2011-06-26	7380	A
USGS	11426170	2011-06-27	7420	A
USGS	11426170	2011-06-28	7520	A
USGS	11426170	2011-06-29	7690	A
USGS	11426170	2011-06-30	7750	A
USGS	11426170	2011-07-01	7810	A
USGS	11426170	2011-07-02	7850	A
USGS	11426170	2011-07-03	7890	A
USGS	11426170	2011-07-04	7920	A
USGS	11426170	2011-07-05	7950	A
USGS	11426170	2011-07-06	7970	A
USGS	11426170	2011-07-07	7980	A
USGS	11426170	2011-07-08	7970	A
USGS	11426170	2011-07-09	7960	A
USGS	11426170	2011-07-10	7940	A
