agency_cd	site_no	datetime	102485_00062_00011	102485_00062_00011_cd	226905_00054_00011	226905_00054_00011_cd
USGS	10290300	2011-02-01	7207.41	A	2200	A
USGS	10290300	2011-02-02				
USGS	10290300	2011-02-03				
USGS	10290300	2011-02-04				
USGS	10290300	2011-02-05				
USGS	10290300	2011-02-06				
USGS	10290300	2011-02-07				
USGS	10290300	2011-02-08				
USGS	10290300	2011-02-09				
USGS	10290300	2011-02-10				
USGS	10290300	2011-02-11				
USGS	10290300	2011-02-12				
USGS	10290300	2011-02-13				
USGS	10290300	2011-02-14				
USGS	10290300	2011-02-15				
USGS	10290300	2011-02-16				
USGS	10290300	2011-02-17				
USGS	10290300	2011-02-18				
USGS	10290300	2011-02-19				
USGS	10290300	2011-02-20				
USGS	10290300	2011-02-21				
USGS	10290300	2011-02-22				
USGS	10290300	2011-02-23				
USGS	10290300	2011-02-24				
USGS	10290300	2011-02-25				
USGS	10290300	2011-02-26				
USGS	10290300	2011-02-27				
USGS	10290300	2011-02-28				
USGS	10290300	2011-03-01	7207.38	A	2190	A
USGS	10290300	2011-03-02				
USGS	10290300	2011-03-03				
USGS	10290300	2011-03-04				
USGS	10290300	2011-03-05				
USGS	10290300	2011-03-06				
USGS	10290300	2011-03-07				
USGS	10290300	2011-03-08				
USGS	10290300	2011-03-09				
USGS	10290300	2011-03-10				
USGS	10290300	2011-03-11				
USGS	10290300	2011-03-12				
USGS	10290300	2011-03-13				
USGS	10290300	2011-03-14				
USGS	10290300	2011-03-15				
USGS	10290300	2011-03-16				
USGS	10290300	2011-03-17				
USGS	10290300	2011-03-18				
USGS	10290300	2011-03-19				
USGS	10290300	2011-03-20				
USGS	10290300	2011-03-21				
USGS	10290300	2011-03-22				
USGS	10290300	2011-03-23				
USGS	10290300	2011-03-24				
USGS	10290300	2011-03-25				
USGS	10290300	2011-03-26				
USGS	10290300	2011-03-27				
USGS	10290300	2011-03-28				
USGS	10290300	2011-03-29				
USGS	10290300	2011-03-30				
USGS	10290300	2011-03-31				
USGS	10290300	2011-04-01				
USGS	10290300	2011-04-02				
USGS	10290300	2011-04-03	7207.34	A	2180	A
USGS	10290300	2011-04-04				
USGS	10290300	2011-04-05				
USGS	10290300	2011-04-06				
USGS	10290300	2011-04-07				
USGS	10290300	2011-04-08				
USGS	10290300	2011-04-09				
USGS	10290300	2011-04-10				
USGS	10290300	2011-04-11				
USGS	10290300	2011-04-12				
USGS	10290300	2011-04-13				
USGS	10290300	2011-04-14				
USGS	10290300	2011-04-15				
USGS	10290300	2011-04-16				
USGS	10290300	2011-04-17				
USGS	10290300	2011-04-18				
USGS	10290300	2011-04-19				
USGS	10290300	2011-04-20				
USGS	10290300	2011-04-21				
USGS	10290300	2011-04-22				
USGS	10290300	2011-04-23				
USGS	10290300	2011-04-24				
USGS	10290300	2011-04-25				
USGS	10290300	2011-04-26				
