agency_cd	site_no	datetime	150395_00054_32400	150395_00054_32400_cd	150396_62614_32400	150396_62614_32400_cd
USGS	14218500	2011-01-01			480.00	A
USGS	14218500	2011-01-02			480.19	A
USGS	14218500	2011-01-03			479.91	A
USGS	14218500	2011-01-04			480.23	A
USGS	14218500	2011-01-05			480.52	A
USGS	14218500	2011-01-06			481.15	A
USGS	14218500	2011-01-07			481.30	A
USGS	14218500	2011-01-08			482.50	A
USGS	14218500	2011-01-09			482.00	A
USGS	14218500	2011-01-10			482.25	A
USGS	14218500	2011-01-11			480.89	A
USGS	14218500	2011-01-12			479.54	A
USGS	14218500	2011-01-13			480.90	A
USGS	14218500	2011-01-14			482.45	A
USGS	14218500	2011-01-15			483.71	A
USGS	14218500	2011-01-16			488.42	A
USGS	14218500	2011-01-17			489.00	A
USGS	14218500	2011-01-18			487.76	A
USGS	14218500	2011-01-19			488.14	A
USGS	14218500	2011-01-20			488.46	A
USGS	14218500	2011-01-21			488.76	A
USGS	14218500	2011-01-22			488.27	A
USGS	14218500	2011-01-23			487.73	A
USGS	14218500	2011-01-24			486.78	A
USGS	14218500	2011-01-25			485.55	A
USGS	14218500	2011-01-26			483.55	A
USGS	14218500	2011-01-27			481.76	A
USGS	14218500	2011-01-28			480.40	A
USGS	14218500	2011-01-29			480.20	A
USGS	14218500	2011-01-30			480.18	A
USGS	14218500	2011-01-31			480.20	A
USGS	14218500	2011-02-01			480.60	A
USGS	14218500	2011-02-02				
USGS	14218500	2011-02-03			479.70	A
USGS	14218500	2011-02-04			479.24	A
USGS	14218500	2011-02-05			478.43	A
USGS	14218500	2011-02-06			478.04	A
USGS	14218500	2011-02-07			478.01	A
USGS	14218500	2011-02-08			477.38	A
USGS	14218500	2011-02-09			476.37	A
USGS	14218500	2011-02-10			475.40	A
USGS	14218500	2011-02-11			473.46	A
USGS	14218500	2011-02-12			472.96	A
USGS	14218500	2011-02-13			472.53	A
USGS	14218500	2011-02-14			472.58	A
USGS	14218500	2011-02-15			472.50	A
USGS	14218500	2011-02-16			472.66	A
USGS	14218500	2011-02-17			473.18	A
USGS	14218500	2011-02-18			474.25	A
USGS	14218500	2011-02-19			476.57	A
