,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.
0,2011-01-01,54370
1,2011-01-02,54660
2,2011-01-03,54700
3,2011-01-04,55100
4,2011-01-05,55180
5,2011-01-06,55500
6,2011-01-07,55920
7,2011-01-08,55650
8,2011-01-09,55510
9,2011-01-10,55600
10,2011-01-11,55910
11,2011-01-12,56070
12,2011-01-13,56390
13,2011-01-14,56460
14,2011-01-15,56220
15,2011-01-16,56160
16,2011-01-17,56210
17,2011-01-18,56030
18,2011-01-19,56090
19,2011-01-20,56280
20,2011-01-21,56320
21,2011-01-22,56230
22,2011-01-23,55800
23,2011-01-24,56000
24,2011-01-25,56240
25,2011-01-26,56390
26,2011-01-27,56560
27,2011-01-28,56350
28,2011-01-29,56440
29,2011-01-30,56230
30,2011-01-31,56000
31,2011-02-01,56340
32,2011-02-02,56370
33,2011-02-03,56380
34,2011-02-04,56430
35,2011-02-05,56240
36,2011-02-06,55760
37,2011-02-07,55460
38,2011-02-08,55430
39,2011-02-09,55350
40,2011-02-10,55590
41,2011-02-11,55080
42,2011-02-12,55080
43,2011-02-13,54780
44,2011-02-14,54240
45,2011-02-15,53920
46,2011-02-16,54080
47,2011-02-17,54100
48,2011-02-18,54010
49,2011-02-19,53880
50,2011-02-20,53210
51,2011-02-21,52970
52,2011-02-22,52890
53,2011-02-23,52620
54,2011-02-24,52380
55,2011-02-25,52630
56,2011-02-26,52750
57,2011-02-27,52610
58,2011-02-28,52590
59,2011-03-01,52490
60,2011-03-02,52290
61,2011-03-03,51980
62,2011-03-04,52080
63,2011-03-05,51860
64,2011-03-06,52140
65,2011-03-07,52720
66,2011-03-08,53230
67,2011-03-09,53500
68,2011-03-10,53670
69,2011-03-11,53880
70,2011-03-12,53840
71,2011-03-13,54050
72,2011-03-14,54570
73,2011-03-15,55280
74,2011-03-16,58750
75,2011-03-17,60400
76,2011-03-18,61350
77,2011-03-19,62320
78,2011-03-20,63300
79,2011-03-21,63300
80,2011-03-22,63100
81,2011-03-23,64080
82,2011-03-24,64900
83,2011-03-25,65380
84,2011-03-26,66080
85,2011-03-27,66450
86,2011-03-28,66900
87,2011-03-29,67250
88,2011-03-30,67580
89,2011-03-31,68250
90,2011-04-01,69110
91,2011-04-02,70490
92,2011-04-03,71690
93,2011-04-04,72910
94,2011-04-05,74260
95,2011-04-06,75640
96,2011-04-07,76870
97,2011-04-08,77800
98,2011-04-09,78700
99,2011-04-10,78820
100,2011-04-11,78890
101,2011-04-12,78700
102,2011-04-13,78760
103,2011-04-14,78720
104,2011-04-15,78800
105,2011-04-16,79060
106,2011-04-17,79270
107,2011-04-18,79410
108,2011-04-19,79530
109,2011-04-20,79580
110,2011-04-21,79720
111,2011-04-22,79720
112,2011-04-23,79690
113,2011-04-24,79510
114,2011-04-25,79370
115,2011-04-26,79260
116,2011-04-27,79220
117,2011-04-28,79270
118,2011-04-29,79360
119,2011-04-30,79350
120,2011-05-01,79080
121,2011-05-02,78840
122,2011-05-03,79720
123,2011-05-04,81150
124,2011-05-05,82090
125,2011-05-06,82810
126,2011-05-07,83110
127,2011-05-08,83190
128,2011-05-09,82420
129,2011-05-10,81630
130,2011-05-11,81450
131,2011-05-12,81770
132,2011-05-13,82360
133,2011-05-14,82810
134,2011-05-15,82640
135,2011-05-16,81950
136,2011-05-17,81350
137,2011-05-18,80940
138,2011-05-19,80650
139,2011-05-20,80540
140,2011-05-21,80810
141,2011-05-22,81250
142,2011-05-23,81520
143,2011-05-24,81550
144,2011-05-25,81590
145,2011-05-26,81470
146,2011-05-27,81350
147,2011-05-28,81390
148,2011-05-29,81120
149,2011-05-30,80860
150,2011-05-31,80700
151,2011-06-01,80710
152,2011-06-02,80410
153,2011-06-03,80330
154,2011-06-04,80290
155,2011-06-05,80650
156,2011-06-06,81570
157,2011-06-07,81310
158,2011-06-08,81390
159,2011-06-09,81870
160,2011-06-10,82520
161,2011-06-11,82970
162,2011-06-12,83020
163,2011-06-13,83340
164,2011-06-14,83610
165,2011-06-15,83970
166,2011-06-16,84200
167,2011-06-17,83870
168,2011-06-18,83520
169,2011-06-19,83480
170,2011-06-20,83420
171,2011-06-21,83560
172,2011-06-22,84510
173,2011-06-23,85520
174,2011-06-24,85930
175,2011-06-25,85960
176,2011-06-26,86400
177,2011-06-27,87770
178,2011-06-28,89660
179,2011-06-29,93040
180,2011-06-30,93160
181,2011-07-01,93120
182,2011-07-02,93650
183,2011-07-03,94640
184,2011-07-04,95510
185,2011-07-05,96130
186,2011-07-06,96260
187,2011-07-07,96640
188,2011-07-08,96770
189,2011-07-09,96340
190,2011-07-10,95660
191,2011-07-11,95120
192,2011-07-12,95690
193,2011-07-13,96530
194,2011-07-14,97170
195,2011-07-15,97450
196,2011-07-16,97450
197,2011-07-17,97450
198,2011-07-18,97260
199,2011-07-19,97240
200,2011-07-20,97360
201,2011-07-21,97330
202,2011-07-22,97350
203,2011-07-23,97380
204,2011-07-24,97380
205,2011-07-25,97430
206,2011-07-26,97520
207,2011-07-27,97420
208,2011-07-28,97290
209,2011-07-29,97210
210,2011-07-30,97110
211,2011-07-31,97310
212,2011-08-01,97610
213,2011-08-02,97530
214,2011-08-03,97520
215,2011-08-04,97430
216,2011-08-05,97130
217,2011-08-06,96980
218,2011-08-07,96790
219,2011-08-08,96670
220,2011-08-09,96610
221,2011-08-10,96590
222,2011-08-11,96370
223,2011-08-12,96030
224,2011-08-13,95610
225,2011-08-14,95150
226,2011-08-15,94580
227,2011-08-16,94410
228,2011-08-17,93770
229,2011-08-18,93100
230,2011-08-19,92390
231,2011-08-20,91750
232,2011-08-21,91230
233,2011-08-22,90600
234,2011-08-23,89920
235,2011-08-24,89290
236,2011-08-25,88960
237,2011-08-26,88610
238,2011-08-27,88160
239,2011-08-28,87660
240,2011-08-29,87000
241,2011-08-30,86450
242,2011-08-31,86050
243,2011-09-01,85590
244,2011-09-02,85260
245,2011-09-03,85030
246,2011-09-04,84410
247,2011-09-05,83820
248,2011-09-06,83640
249,2011-09-07,83080
250,2011-09-08,82600
251,2011-09-09,81930
252,2011-09-10,81200
253,2011-09-11,80160
254,2011-09-12,79540
255,2011-09-13,78670
256,2011-09-14,77290
257,2011-09-15,75930
258,2011-09-16,74700
259,2011-09-17,74090
260,2011-09-18,73410
261,2011-09-19,72930
262,2011-09-20,72210
263,2011-09-21,71570
264,2011-09-22,70820
265,2011-09-23,70120
266,2011-09-24,69180
267,2011-09-25,68150
268,2011-09-26,67070
269,2011-09-27,66370
270,2011-09-28,65570
271,2011-09-29,64670
272,2011-09-30,63580
273,2011-10-01,62880
274,2011-10-02,61900
275,2011-10-03,61320
276,2011-10-04,60460
277,2011-10-05,59500
278,2011-10-06,58870
279,2011-10-07,58430
280,2011-10-08,57840
281,2011-10-09,57060
282,2011-10-10,56710
283,2011-10-11,56560
284,2011-10-12,56160
285,2011-10-13,55520
286,2011-10-14,55070
287,2011-10-15,54840
288,2011-10-16,54530
289,2011-10-17,54170
290,2011-10-18,53910
291,2011-10-19,53140
292,2011-10-20,52400
293,2011-10-21,52940
294,2011-10-22,53880
295,2011-10-23,54980
296,2011-10-24,55800
297,2011-10-25,56600
298,2011-10-26,57440
299,2011-10-27,57960
300,2011-10-28,58440
301,2011-10-29,58720
302,2011-10-30,59040
303,2011-10-31,59600
304,2011-11-01,60100
305,2011-11-02,60450
306,2011-11-03,60070
307,2011-11-04,59380
308,2011-11-05,58960
