,datetime,DIABLO_RESERVOIR_NEAR_NEWHALEM__WA.
0,2011-01-01,1201.19
1,2011-01-02,1202.78
2,2011-01-03,1201.09
3,2011-01-04,1201.91
4,2011-01-05,1200.72
5,2011-01-06,1201.04
6,2011-01-07,1201.39
7,2011-01-08,1201.28
8,2011-01-09,1200.84
9,2011-01-10,1200.24
10,2011-01-11,1202.09
11,2011-01-12,1202.42
12,2011-01-13,1200.87
13,2011-01-14,1202.01
14,2011-01-15,1200.9
15,2011-01-16,1203.6
16,2011-01-17,1201.51
17,2011-01-18,1202.63
18,2011-01-19,1201.76
19,2011-01-20,1200.08
20,2011-01-21,1201.16
21,2011-01-22,1201.27
22,2011-01-23,1201.85
23,2011-01-24,1202.02
24,2011-01-25,1201.41
25,2011-01-26,1200.57
26,2011-01-27,1202.25
27,2011-01-28,1202.08
28,2011-01-29,1202.38
29,2011-01-30,1202.88
30,2011-01-31,1202.77
31,2011-02-01,1201.47
32,2011-02-02,1201.16
33,2011-02-03,1201.32
34,2011-02-04,1201.6
35,2011-02-05,1202.53
36,2011-02-06,1201.73
37,2011-02-07,1202.18
38,2011-02-08,1201.67
39,2011-02-09,1202.05
40,2011-02-10,1202.01
41,2011-02-11,1201.48
42,2011-02-12,1202.33
43,2011-02-13,1201.61
44,2011-02-14,1202.2
45,2011-02-15,1202.14
46,2011-02-16,1201.49
47,2011-02-17,1201.0
48,2011-02-18,1200.98
49,2011-02-19,1201.41
50,2011-02-20,1201.08
51,2011-02-21,1201.07
52,2011-02-22,1201.75
53,2011-02-23,1201.96
54,2011-02-24,1200.82
55,2011-02-25,1201.89
56,2011-02-26,1201.32
57,2011-02-27,1201.55
58,2011-02-28,1201.61
59,2011-03-01,1201.52
60,2011-03-02,1201.44
61,2011-03-03,1201.75
62,2011-03-04,1202.21
63,2011-03-05,1200.89
64,2011-03-06,1201.94
65,2011-03-07,1201.99
66,2011-03-08,1201.35
67,2011-03-09,1201.92
68,2011-03-10,1202.05
69,2011-03-11,1201.27
70,2011-03-12,1203.35
71,2011-03-13,1202.58
72,2011-03-14,1201.7
73,2011-03-15,1203.16
74,2011-03-16,1202.14
75,2011-03-17,1202.07
76,2011-03-18,1201.83
77,2011-03-19,1201.46
78,2011-03-20,1202.19
79,2011-03-21,1201.07
80,2011-03-22,1201.05
81,2011-03-23,1201.19
82,2011-03-24,1202.24
83,2011-03-25,1202.58
84,2011-03-26,1202.14
85,2011-03-27,1201.62
86,2011-03-28,1201.11
87,2011-03-29,1200.7
88,2011-03-30,1200.68
89,2011-03-31,1199.1
90,2011-04-01,1199.64
91,2011-04-02,1200.6
92,2011-04-03,1201.09
93,2011-04-04,1199.25
94,2011-04-05,1200.29
95,2011-04-06,1199.88
96,2011-04-07,1200.73
97,2011-04-08,1199.39
98,2011-04-09,1198.89
99,2011-04-10,1201.21
100,2011-04-11,1201.67
101,2011-04-12,1201.17
102,2011-04-13,1201.79
103,2011-04-14,1202.04
104,2011-04-15,1201.96
105,2011-04-16,1202.58
106,2011-04-17,1201.82
107,2011-04-18,1201.84
108,2011-04-19,1200.58
109,2011-04-20,1200.25
110,2011-04-21,1201.33
111,2011-04-22,1201.02
112,2011-04-23,1201.89
113,2011-04-24,1201.35
114,2011-04-25,1201.76
115,2011-04-26,1201.1
116,2011-04-27,1200.84
117,2011-04-28,1200.56
118,2011-04-29,1201.02
119,2011-04-30,1200.81
120,2011-05-01,1201.15
121,2011-05-02,1203.09
122,2011-05-03,1202.12
123,2011-05-04,1202.04
124,2011-05-05,1202.79
125,2011-05-06,1201.92
126,2011-05-07,1200.85
127,2011-05-08,1200.19
128,2011-05-09,1199.5
129,2011-05-10,1198.69
130,2011-05-11,1202.76
131,2011-05-12,1202.52
132,2011-05-13,1201.0
133,2011-05-14,1200.89
134,2011-05-15,1201.18
135,2011-05-16,1202.54
136,2011-05-17,1201.38
137,2011-05-18,1201.46
138,2011-05-19,1200.83
139,2011-05-20,1201.73
140,2011-05-21,1202.5
141,2011-05-22,1201.21
142,2011-05-23,1200.74
143,2011-05-24,1202.24
144,2011-05-25,1201.44
145,2011-05-26,1201.26
146,2011-05-27,1201.82
147,2011-05-28,1201.0
148,2011-05-29,1200.92
149,2011-05-30,1201.8
150,2011-05-31,1203.41
151,2011-06-01,1201.92
152,2011-06-02,1201.4
153,2011-06-03,1202.38
154,2011-06-04,1202.32
155,2011-06-05,1201.85
156,2011-06-06,1202.63
157,2011-06-07,1202.01
158,2011-06-08,1200.88
159,2011-06-09,1200.49
160,2011-06-10,1200.36
161,2011-06-11,1200.86
162,2011-06-12,1202.89
163,2011-06-13,1202.56
164,2011-06-14,1202.9
165,2011-06-15,1201.87
166,2011-06-16,1200.6
167,2011-06-17,1200.1
168,2011-06-18,1200.79
169,2011-06-19,1201.01
170,2011-06-20,1201.19
171,2011-06-21,1201.71
172,2011-06-22,1202.55
173,2011-06-23,1201.68
174,2011-06-24,1200.9
175,2011-06-25,1200.64
176,2011-06-26,1200.59
177,2011-06-27,1201.3
178,2011-06-28,1201.28
179,2011-06-29,1201.79
180,2011-06-30,1202.62
181,2011-07-01,1201.46
182,2011-07-02,1202.02
183,2011-07-03,1202.12
184,2011-07-04,1201.01
185,2011-07-05,1201.57
186,2011-07-06,1202.53
187,2011-07-07,1201.46
188,2011-07-08,1201.16
189,2011-07-09,1201.4
190,2011-07-10,1202.6
191,2011-07-11,1202.55
192,2011-07-12,1203.68
193,2011-07-13,1203.56
194,2011-07-14,1203.79
195,2011-07-15,1204.39
196,2011-07-16,1202.73
197,2011-07-17,1203.5
198,2011-07-18,1203.43
199,2011-07-19,1202.34
200,2011-07-20,1202.46
201,2011-07-21,1201.32
202,2011-07-22,1201.14
203,2011-07-23,1200.27
204,2011-07-24,1201.49
205,2011-07-25,1202.57
206,2011-07-26,1203.09
207,2011-07-27,1203.09
208,2011-07-28,1203.01
209,2011-07-29,1202.18
210,2011-07-30,1203.88
211,2011-07-31,1203.31
212,2011-08-01,1201.31
213,2011-08-02,1201.31
214,2011-08-03,1201.54
215,2011-08-04,1200.91
216,2011-08-05,1200.15
217,2011-08-06,1198.58
218,2011-08-07,1198.09
219,2011-08-08,1202.85
220,2011-08-09,1202.18
221,2011-08-10,1202.64
222,2011-08-11,1202.67
223,2011-08-12,1202.3
224,2011-08-13,1201.33
225,2011-08-14,1201.67
226,2011-08-15,1201.09
227,2011-08-16,1201.6
228,2011-08-17,1201.94
229,2011-08-18,1201.84
230,2011-08-19,1201.91
231,2011-08-20,1202.12
232,2011-08-21,1203.25
233,2011-08-22,1202.87
234,2011-08-23,1202.7
235,2011-08-24,1202.38
236,2011-08-25,1202.72
237,2011-08-26,1202.85
238,2011-08-27,1203.15
239,2011-08-28,1202.82
240,2011-08-29,1202.99
241,2011-08-30,1201.97
242,2011-08-31,1201.23
243,2011-09-01,1200.74
244,2011-09-02,1200.57
245,2011-09-03,1200.68
246,2011-09-04,1200.28
247,2011-09-05,1200.44
248,2011-09-06,1200.71
