,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.
0,2011-01-01,83560.0
1,2011-01-02,83800.0
2,2011-01-03,84200.0
3,2011-01-04,84490.0
4,2011-01-05,84700.0
5,2011-01-06,84870.0
6,2011-01-07,85020.0
7,2011-01-08,85180.0
8,2011-01-09,85300.0
9,2011-01-10,85430.0
10,2011-01-11,85550.0
11,2011-01-12,85650.0
12,2011-01-13,85750.0
13,2011-01-14,85850.0
14,2011-01-15,85940.0
15,2011-01-16,86030.0
16,2011-01-17,86120.0
17,2011-01-18,86193.33333333333
18,2011-01-19,86266.66666666667
19,2011-01-20,86340.0
20,2011-01-21,86400.0
21,2011-01-22,86470.0
22,2011-01-23,86510.0
23,2011-01-24,86570.0
24,2011-01-25,86640.0
25,2011-01-26,86660.0
26,2011-01-27,86730.0
27,2011-01-28,86770.0
28,2011-01-29,86810.0
29,2011-01-30,86870.0
30,2011-01-31,86960.0
31,2011-02-01,87040.0
32,2011-02-02,87060.0
33,2011-02-03,87110.0
34,2011-02-04,87160.0
35,2011-02-05,87210.0
36,2011-02-06,87270.0
37,2011-02-07,87290.0
38,2011-02-08,87340.0
39,2011-02-09,87400.0
40,2011-02-10,87420.0
41,2011-02-11,87450.0
42,2011-02-12,87490.0
43,2011-02-13,87530.0
44,2011-02-14,87580.0
45,2011-02-15,87610.0
46,2011-02-16,87730.0
47,2011-02-17,87820.0
48,2011-02-18,88070.0
49,2011-02-19,89420.0
50,2011-02-20,90180.0
51,2011-02-21,90560.0
52,2011-02-22,90850.0
53,2011-02-23,91070.0
54,2011-02-24,91260.0
55,2011-02-25,91440.0
56,2011-02-26,92710.0
57,2011-02-27,93360.0
58,2011-02-28,93860.0
59,2011-03-01,94370.0
60,2011-03-02,94850.0
61,2011-03-03,95350.0
62,2011-03-04,95770.0
63,2011-03-05,96120.0
64,2011-03-06,96430.0
65,2011-03-07,96890.0
66,2011-03-08,97230.0
67,2011-03-09,97540.0
68,2011-03-10,97810.0
69,2011-03-11,98040.0
70,2011-03-12,98300.0
71,2011-03-13,98510.0
72,2011-03-14,98740.0
73,2011-03-15,98940.0
74,2011-03-16,99150.0
75,2011-03-17,99330.0
76,2011-03-18,99490.0
77,2011-03-19,99670.0
78,2011-03-20,99930.0
79,2011-03-21,100700.0
80,2011-03-22,101100.0
81,2011-03-23,101400.0
82,2011-03-24,101800.0
83,2011-03-25,102200.0
84,2011-03-26,102600.0
85,2011-03-27,102900.0
86,2011-03-28,103200.0
87,2011-03-29,103500.0
88,2011-03-30,103700.0
89,2011-03-31,103900.0
90,2011-04-01,104200.0
91,2011-04-02,104300.0
92,2011-04-03,104600.0
93,2011-04-04,104800.0
94,2011-04-05,105000.0
95,2011-04-06,105100.0
96,2011-04-07,105300.0
97,2011-04-08,105600.0
98,2011-04-09,105900.0
99,2011-04-10,106100.0
100,2011-04-11,106300.0
101,2011-04-12,106400.0
102,2011-04-13,106600.0
103,2011-04-14,106800.0
104,2011-04-15,106900.0
105,2011-04-16,106900.0
106,2011-04-17,107000.0
107,2011-04-18,107100.0
108,2011-04-19,107200.0
109,2011-04-20,107300.0
110,2011-04-21,107300.0
111,2011-04-22,107400.0
112,2011-04-23,107400.0
113,2011-04-24,107500.0
114,2011-04-25,107600.0
115,2011-04-26,107700.0
116,2011-04-27,107800.0
117,2011-04-28,107800.0
118,2011-04-29,107900.0
119,2011-04-30,107900.0
120,2011-05-01,107900.0
121,2011-05-02,107900.0
122,2011-05-03,108000.0
123,2011-05-04,108000.0
124,2011-05-05,107900.0
125,2011-05-06,107800.0
126,2011-05-07,107700.0
127,2011-05-08,107600.0
128,2011-05-09,107500.0
129,2011-05-10,107400.0
130,2011-05-11,107300.0
131,2011-05-12,107100.0
132,2011-05-13,107000.0
133,2011-05-14,106900.0
134,2011-05-15,106800.0
135,2011-05-16,106700.0
136,2011-05-17,106600.0
137,2011-05-18,106700.0
138,2011-05-19,106700.0
139,2011-05-20,106700.0
140,2011-05-21,106700.0
141,2011-05-22,106700.0
142,2011-05-23,106700.0
143,2011-05-24,106600.0
144,2011-05-25,106500.0
145,2011-05-26,106400.0
146,2011-05-27,106300.0
147,2011-05-28,106100.0
148,2011-05-29,106100.0
149,2011-05-30,105900.0
150,2011-05-31,105800.0
151,2011-06-01,105600.0
152,2011-06-02,105500.0
153,2011-06-03,105300.0
154,2011-06-04,105200.0
155,2011-06-05,105000.0
156,2011-06-06,104800.0
157,2011-06-07,104700.0
158,2011-06-08,104500.0
159,2011-06-09,104300.0
160,2011-06-10,104100.0
161,2011-06-11,103900.0
162,2011-06-12,103700.0
163,2011-06-13,103500.0
164,2011-06-14,103300.0
165,2011-06-15,103100.0
166,2011-06-16,103000.0
167,2011-06-17,102800.0
168,2011-06-18,102600.0
169,2011-06-19,102400.0
170,2011-06-20,102200.0
171,2011-06-21,102100.0
172,2011-06-22,101900.0
173,2011-06-23,101700.0
174,2011-06-24,101500.0
175,2011-06-25,101300.0
176,2011-06-26,101200.0
177,2011-06-27,101000.0
178,2011-06-28,100800.0
179,2011-06-29,100500.0
180,2011-06-30,100300.0
181,2011-07-01,100100.0
182,2011-07-02,99930.0
183,2011-07-03,99710.0
184,2011-07-04,99520.0
185,2011-07-05,99320.0
186,2011-07-06,99120.0
187,2011-07-07,98820.0
188,2011-07-08,98710.0
189,2011-07-09,98530.0
190,2011-07-10,98270.0
191,2011-07-11,98050.0
192,2011-07-12,97830.0
193,2011-07-13,97610.0
194,2011-07-14,97400.0
195,2011-07-15,97240.0
196,2011-07-16,97060.0
197,2011-07-17,96930.0
198,2011-07-18,96790.0
199,2011-07-19,96660.0
200,2011-07-20,96480.0
201,2011-07-21,96340.0
202,2011-07-22,96200.0
203,2011-07-23,96100.0
204,2011-07-24,95930.0
205,2011-07-25,95770.0
206,2011-07-26,95620.0
207,2011-07-27,95480.0
208,2011-07-28,95340.0
209,2011-07-29,95190.0
210,2011-07-30,95050.0
211,2011-07-31,94920.0
212,2011-08-01,94800.0
213,2011-08-02,94630.0
214,2011-08-03,94460.0
215,2011-08-04,94290.0
216,2011-08-05,94120.0
217,2011-08-06,93943.5
218,2011-08-07,93767.0
219,2011-08-08,93590.5
220,2011-08-09,93414.0
221,2011-08-10,93237.5
222,2011-08-11,93061.0
223,2011-08-12,92884.5
224,2011-08-13,92708.0
225,2011-08-14,92531.5
226,2011-08-15,92355.0
227,2011-08-16,92178.5
228,2011-08-17,92002.0
229,2011-08-18,91825.5
230,2011-08-19,91649.0
231,2011-08-20,91472.5
232,2011-08-21,91296.0
233,2011-08-22,91119.5
234,2011-08-23,90943.0
235,2011-08-24,90766.5
236,2011-08-25,90590.0
237,2011-08-26,90510.0
238,2011-08-27,90370.0
239,2011-08-28,90250.0
240,2011-08-29,90100.0
241,2011-08-30,89970.0
242,2011-08-31,89850.0
243,2011-09-01,89710.0
244,2011-09-02,89580.0
245,2011-09-03,89460.0
246,2011-09-04,89310.0
247,2011-09-05,89200.0
248,2011-09-06,89110.0
249,2011-09-07,89030.0
250,2011-09-08,88960.0
251,2011-09-09,88930.0
252,2011-09-10,88910.0
253,2011-09-11,88870.0
254,2011-09-12,88840.0
255,2011-09-13,88790.0
256,2011-09-14,88770.0
257,2011-09-15,88730.0
258,2011-09-16,88690.0
259,2011-09-17,88650.0
260,2011-09-18,88610.0
261,2011-09-19,88570.0
262,2011-09-20,88490.0
263,2011-09-21,88430.0
264,2011-09-22,88380.0
265,2011-09-23,88310.0
266,2011-09-24,88260.0
267,2011-09-25,88200.0
268,2011-09-26,88140.0
269,2011-09-27,88080.0
270,2011-09-28,88030.0
271,2011-09-29,87990.0
272,2011-09-30,87900.0
273,2011-10-01,87770.0
274,2011-10-02,87630.0
275,2011-10-03,87630.0
276,2011-10-04,87500.0
277,2011-10-05,87500.0
278,2011-10-06,87370.0
279,2011-10-07,87370.0
280,2011-10-08,87370.0
281,2011-10-09,87240.0
282,2011-10-10,87110.0
283,2011-10-11,86980.0
284,2011-10-12,86980.0
285,2011-10-13,86850.0
286,2011-10-14,86720.0
287,2011-10-15,86720.0
288,2011-10-16,86590.0
289,2011-10-17,86460.0
290,2011-10-18,86330.0
291,2011-10-19,86330.0
292,2011-10-20,86200.0
293,2011-10-21,86200.0
294,2011-10-22,86070.0
295,2011-10-23,86070.0
296,2011-10-24,86070.0
297,2011-10-25,86070.0
298,2011-10-26,86070.0
299,2011-10-27,86070.0
300,2011-10-28,86070.0
301,2011-10-29,86070.0
302,2011-10-30,86070.0
303,2011-10-31,86070.0
304,2011-11-01,85940.0
305,2011-11-02,85940.0
306,2011-11-03,85940.0
307,2011-11-04,86070.0
308,2011-11-05,86070.0
309,2011-11-06,86200.0
310,2011-11-07,86200.0
311,2011-11-08,86200.0
312,2011-11-09,86200.0
313,2011-11-10,86200.0
314,2011-11-11,86200.0
315,2011-11-12,86330.0
316,2011-11-13,86330.0
317,2011-11-14,86330.0
318,2011-11-15,86330.0
319,2011-11-16,86330.0
320,2011-11-17,86330.0
321,2011-11-18,86330.0
