,datetime,FERN_RIDGE_LAKE_NEAR_ELMIRA__OR.
0,2013-08-01,368.51
1,2013-08-02,368.47
2,2013-08-03,368.45
3,2013-08-04,368.41
4,2013-08-05,368.38
5,2013-08-06,368.36
6,2013-08-07,368.33
7,2013-08-08,368.3
8,2013-08-09,368.28
9,2013-08-10,368.24
10,2013-08-11,368.21
11,2013-08-12,368.18
12,2013-08-13,368.16
13,2013-08-14,368.13
14,2013-08-15,368.1
15,2013-08-16,368.07
16,2013-08-17,368.04
17,2013-08-18,368.02
18,2013-08-19,367.98
19,2013-08-20,367.93
20,2013-08-21,367.91
21,2013-08-22,367.89
22,2013-08-23,367.85
23,2013-08-24,367.82
24,2013-08-25,367.81
25,2013-08-26,367.78
26,2013-08-27,367.76
27,2013-08-28,367.74
28,2013-08-29,367.71
29,2013-08-30,367.69
30,2013-08-31,367.67
31,2013-09-01,367.63
32,2013-09-02,367.59
33,2013-09-03,367.56
34,2013-09-04,367.54
35,2013-09-05,367.56
36,2013-09-06,367.54
37,2013-09-07,367.52
38,2013-09-08,367.49
39,2013-09-09,367.46
40,2013-09-10,367.44
41,2013-09-11,367.41
42,2013-09-12,367.38
43,2013-09-13,367.36
44,2013-09-14,367.34
45,2013-09-15,367.3
46,2013-09-16,367.27
47,2013-09-17,367.3
48,2013-09-18,367.28
49,2013-09-19,367.26
50,2013-09-20,367.26
51,2013-09-21,367.27
52,2013-09-22,367.27
53,2013-09-23,367.25
54,2013-09-24,367.28
55,2013-09-25,367.3
56,2013-09-26,367.28
57,2013-09-27,367.29
58,2013-09-28,367.36
59,2013-09-29,367.67
60,2013-09-30,367.99
61,2013-10-01,368.16
62,2013-10-02,368.25
63,2013-10-03,368.25
64,2013-10-04,368.22
65,2013-10-05,368.19
66,2013-10-06,368.14
67,2013-10-07,368.09
68,2013-10-08,368.03
69,2013-10-09,367.98
70,2013-10-10,367.91
71,2013-10-11,367.85
72,2013-10-12,367.79
73,2013-10-13,367.72
74,2013-10-14,367.64
75,2013-10-15,367.57
76,2013-10-16,367.45
77,2013-10-17,367.25
78,2013-10-18,366.99
79,2013-10-19,366.7
80,2013-10-20,366.41
81,2013-10-21,366.12
82,2013-10-22,365.82
83,2013-10-23,365.51
84,2013-10-24,365.21
85,2013-10-25,364.9
86,2013-10-26,364.59
87,2013-10-27,364.26
88,2013-10-28,363.93
89,2013-10-29,363.58
90,2013-10-30,363.23
91,2013-10-31,362.85
92,2013-11-01,362.45
93,2013-11-02,362.07
94,2013-11-03,361.58
95,2013-11-04,361.07
96,2013-11-05,360.54
97,2013-11-06,359.99
98,2013-11-07,359.49
99,2013-11-08,358.9
100,2013-11-09,358.28
101,2013-11-10,357.63
102,2013-11-11,356.9
103,2013-11-12,356.15
104,2013-11-13,355.25
105,2013-11-14,354.36
106,2013-11-15,353.78
107,2013-11-16,353.48
108,2013-11-17,353.38
109,2013-11-18,353.36
110,2013-11-19,353.47
111,2013-11-20,353.62
112,2013-11-21,353.69
113,2013-11-22,353.6
114,2013-11-23,353.5
115,2013-11-24,353.37
116,2013-11-25,353.37
117,2013-11-26,353.37
118,2013-11-27,353.35
119,2013-11-28,353.31
120,2013-11-29,353.25
121,2013-11-30,353.19
122,2013-12-01,353.16
123,2013-12-02,353.37
124,2013-12-03,353.59
125,2013-12-04,353.64
126,2013-12-05,353.56
127,2013-12-06,353.42
128,2013-12-07,353.36
129,2013-12-08,353.28
130,2013-12-09,353.3
131,2013-12-10,353.29
132,2013-12-11,353.27
133,2013-12-12,353.3
134,2013-12-13,353.59
135,2013-12-14,353.87
136,2013-12-15,354.06
137,2013-12-16,354.19
138,2013-12-17,354.24
139,2013-12-18,354.27
140,2013-12-19,354.3
141,2013-12-20,354.31
142,2013-12-21,354.31
143,2013-12-22,354.27
144,2013-12-23,354.13
145,2013-12-24,353.94
