,datetime,FRANKLIN_ROOSEVELT_LAKE_AT_GRAND_COULEE_DAM__WA.
0,2011-01-01,1284.66
1,2011-01-02,1284.34
2,2011-01-03,1283.74
3,2011-01-04,1282.87
4,2011-01-05,1282.22
5,2011-01-06,1281.64
6,2011-01-07,1281.33
7,2011-01-08,1282.05
8,2011-01-09,1282.21
9,2011-01-10,1281.76
10,2011-01-11,1280.85
11,2011-01-12,1280.43
12,2011-01-13,1280.38
13,2011-01-14,1281.28
14,2011-01-15,1282.16
15,2011-01-16,1283.74
16,2011-01-17,1285.3
17,2011-01-18,1285.79
18,2011-01-19,1286.43
19,2011-01-20,1286.71
20,2011-01-21,1287.06
21,2011-01-22,1287.52
22,2011-01-23,1287.7
23,2011-01-24,1287.32
24,2011-01-25,1286.95
25,2011-01-26,1286.17
26,2011-01-27,1285.35
27,2011-01-28,1284.63
28,2011-01-29,1283.84
29,2011-01-30,1282.99
30,2011-01-31,1282.1
31,2011-02-01,1281.1
32,2011-02-02,1279.94
33,2011-02-03,1279.25
34,2011-02-04,1279.62
35,2011-02-05,1279.71
36,2011-02-06,1279.92
37,2011-02-07,1279.88
38,2011-02-08,1278.96
39,2011-02-09,1277.65
40,2011-02-10,1276.48
41,2011-02-11,1275.45
42,2011-02-12,1274.32
43,2011-02-13,1273.52
44,2011-02-14,1272.74
45,2011-02-15,1272.15
46,2011-02-16,1271.76
47,2011-02-17,1271.26
48,2011-02-18,1271.01
49,2011-02-19,1270.48
50,2011-02-20,1269.84
51,2011-02-21,1269.05
52,2011-02-22,1268.25
53,2011-02-23,1267.47
54,2011-02-24,1266.56
55,2011-02-25,1265.55
56,2011-02-26,1264.48
57,2011-02-27,1263.43
58,2011-02-28,1262.92
59,2011-03-01,1262.67
60,2011-03-02,1261.8
61,2011-03-03,1261.14
62,2011-03-04,1260.45
63,2011-03-05,1260.12
64,2011-03-06,1259.16
65,2011-03-07,1258.57
66,2011-03-08,1257.56
67,2011-03-09,1256.54
68,2011-03-10,1255.3
69,2011-03-11,1254.76
70,2011-03-12,1253.78
71,2011-03-13,1252.83
72,2011-03-14,1252.25
73,2011-03-15,1251.79
74,2011-03-16,1251.69
75,2011-03-17,1252.37
76,2011-03-18,1252.84
77,2011-03-19,1253.26
78,2011-03-20,1254.1
79,2011-03-21,1253.74
80,2011-03-22,1253.45
81,2011-03-23,1253.14
82,2011-03-24,1253.06
83,2011-03-25,1252.54
84,2011-03-26,1252.44
85,2011-03-27,1252.83
86,2011-03-28,1252.51
87,2011-03-29,1251.7
88,2011-03-30,1250.73
89,2011-03-31,1250.1
90,2011-04-01,1248.94
91,2011-04-02,1247.75
92,2011-04-03,1246.65
93,2011-04-04,1245.71
94,2011-04-05,1244.94
95,2011-04-06,1243.44
96,2011-04-07,1242.46
97,2011-04-08,1241.1
98,2011-04-09,1239.8
99,2011-04-10,1238.48
100,2011-04-11,1237.53
101,2011-04-12,1236.05
102,2011-04-13,1234.87
103,2011-04-14,1233.86
104,2011-04-15,1232.61
105,2011-04-16,1232.1
106,2011-04-17,1231.72
107,2011-04-18,1231.22
108,2011-04-19,1230.05
109,2011-04-20,1228.82
110,2011-04-21,1227.8
111,2011-04-22,1226.58
112,2011-04-23,1225.69
113,2011-04-24,1224.74
114,2011-04-25,1223.59
115,2011-04-26,1222.63
116,2011-04-27,1222.13
117,2011-04-28,1221.22
118,2011-04-29,1220.49
119,2011-04-30,1220.06
120,2011-05-01,1219.14
121,2011-05-02,1218.16
122,2011-05-03,1218.37
123,2011-05-04,1218.1
124,2011-05-05,1218.15
125,2011-05-06,1217.69
126,2011-05-07,1217.78
127,2011-05-08,1218.56
128,2011-05-09,1218.59
129,2011-05-10,1218.21
130,2011-05-11,1217.84
131,2011-05-12,1217.84
132,2011-05-13,1217.97
133,2011-05-14,1218.42
134,2011-05-15,1219.37
135,2011-05-16,1221.83
136,2011-05-17,1224.0
137,2011-05-18,1224.8
138,2011-05-19,1225.54
139,2011-05-20,1225.87
140,2011-05-21,1225.89
141,2011-05-22,1225.99
142,2011-05-23,1227.62
143,2011-05-24,1229.68
144,2011-05-25,1231.76
145,2011-05-26,1233.6
146,2011-05-27,1234.54
147,2011-05-28,1234.7
148,2011-05-29,1234.77
149,2011-05-30,1234.67
150,2011-05-31,1234.68
151,2011-06-01,1234.79
152,2011-06-02,1234.89
153,2011-06-03,1235.04
154,2011-06-04,1235.07
155,2011-06-05,1235.01
156,2011-06-06,1235.58
157,2011-06-07,1237.26
158,2011-06-08,1239.62
159,2011-06-09,1242.39
160,2011-06-10,1244.3
161,2011-06-11,1246.04
162,2011-06-12,1248.18
163,2011-06-13,1250.21
164,2011-06-14,1251.88
165,2011-06-15,1253.58
166,2011-06-16,1255.22
167,2011-06-17,1256.79
168,2011-06-18,1258.32
169,2011-06-19,1259.98
170,2011-06-20,1261.86
171,2011-06-21,1263.74
172,2011-06-22,1265.48
173,2011-06-23,1267.16
174,2011-06-24,1269.38
175,2011-06-25,1271.45
176,2011-06-26,1273.31
177,2011-06-27,1275.01
178,2011-06-28,1276.71
179,2011-06-29,1278.45
180,2011-06-30,1280.21
181,2011-07-01,1281.45
182,2011-07-02,1282.16
183,2011-07-03,1283.24
184,2011-07-04,1284.64
185,2011-07-05,1285.35
186,2011-07-06,1286.07
187,2011-07-07,1286.72
188,2011-07-08,1287.68
189,2011-07-09,1288.83
190,2011-07-10,1289.62
191,2011-07-11,1289.68
192,2011-07-12,1289.81
193,2011-07-13,1289.84
194,2011-07-14,1289.74
195,2011-07-15,1289.77
196,2011-07-16,1289.66
197,2011-07-17,1289.78
198,2011-07-18,1289.85
199,2011-07-19,1289.71
200,2011-07-20,1289.96
201,2011-07-21,1289.86
202,2011-07-22,1289.87
203,2011-07-23,1289.68
204,2011-07-24,1289.52
205,2011-07-25,1289.41
206,2011-07-26,1289.67
207,2011-07-27,1289.69
208,2011-07-28,1289.75
209,2011-07-29,1289.72
210,2011-07-30,1289.83
211,2011-07-31,1289.81
212,2011-08-01,1290.0
213,2011-08-02,1289.88
214,2011-08-03,1289.78
215,2011-08-04,1289.67
216,2011-08-05,1289.65
217,2011-08-06,1289.51
218,2011-08-07,1289.71
219,2011-08-08,1289.71
220,2011-08-09,1289.5
221,2011-08-10,1289.27
222,2011-08-11,1288.77
223,2011-08-12,1288.47
224,2011-08-13,1288.38
225,2011-08-14,1288.25
226,2011-08-15,1287.96
227,2011-08-16,1287.37
228,2011-08-17,1286.88
229,2011-08-18,1286.31
230,2011-08-19,1285.82
231,2011-08-20,1285.27
232,2011-08-21,1284.74
233,2011-08-22,1283.98
234,2011-08-23,1283.22
235,2011-08-24,1282.55
236,2011-08-25,1282.17
237,2011-08-26,1281.38
238,2011-08-27,1281.03
239,2011-08-28,1280.71
240,2011-08-29,1280.69
241,2011-08-30,1280.3
242,2011-08-31,1279.89
243,2011-09-01,1280.19
244,2011-09-02,1280.25
245,2011-09-03,1280.65
246,2011-09-04,1281.1
247,2011-09-05,1281.58
248,2011-09-06,1281.4
249,2011-09-07,1281.1
250,2011-09-08,1281.25
251,2011-09-09,1281.29
252,2011-09-10,1281.53
253,2011-09-11,1281.65
254,2011-09-12,1281.81
255,2011-09-13,1281.99
256,2011-09-14,1282.18
257,2011-09-15,1282.58
258,2011-09-16,1282.99
259,2011-09-17,1283.28
260,2011-09-18,1283.76
261,2011-09-19,1283.91
262,2011-09-20,1284.23
263,2011-09-21,1284.02
264,2011-09-22,1283.83
265,2011-09-23,1283.24
266,2011-09-24,1283.27
267,2011-09-25,1283.58
268,2011-09-26,1283.12
269,2011-09-27,1283.5
270,2011-09-28,1283.68
271,2011-09-29,1283.69
272,2011-09-30,1283.58
273,2011-10-01,1284.14
274,2011-10-02,1284.85
275,2011-10-03,1284.68
276,2011-10-04,1285.08
277,2011-10-05,1285.55
278,2011-10-06,1285.86
279,2011-10-07,1286.06
280,2011-10-08,1286.29
281,2011-10-09,1286.58
282,2011-10-10,1286.59
283,2011-10-11,1286.45
284,2011-10-12,1286.08
285,2011-10-13,1285.83
286,2011-10-14,1285.71
287,2011-10-15,1286.25
288,2011-10-16,1286.77
289,2011-10-17,1286.21
290,2011-10-18,1285.93
291,2011-10-19,1286.18
292,2011-10-20,1286.4
293,2011-10-21,1286.67
294,2011-10-22,1287.42
295,2011-10-23,1287.93
296,2011-10-24,1287.73
297,2011-10-25,1287.22
298,2011-10-26,1287.06
299,2011-10-27,1287.08
300,2011-10-28,1287.15
301,2011-10-29,1287.82
302,2011-10-30,1288.59
303,2011-10-31,1288.71
304,2011-11-01,1288.37
305,2011-11-02,1288.71
306,2011-11-03,1288.8
307,2011-11-04,1289.06
308,2011-11-05,1288.86
309,2011-11-06,1289.13
310,2011-11-07,1289.03
311,2011-11-08,1288.87
312,2011-11-09,1288.45
313,2011-11-10,1288.1
314,2011-11-11,1287.78
315,2011-11-12,1287.71
316,2011-11-13,1287.59
317,2011-11-14,1287.44
318,2011-11-15,1287.05
319,2011-11-16,1286.73
320,2011-11-17,1286.65
321,2011-11-18,1286.52
322,2011-11-19,1286.14
323,2011-11-20,1285.7
324,2011-11-21,1285.5
325,2011-11-22,1285.82
326,2011-11-23,1285.93
327,2011-11-24,1286.02
328,2011-11-25,1286.11
329,2011-11-26,1285.74
330,2011-11-27,1285.28
331,2011-11-28,1284.82
332,2011-11-29,1284.44
333,2011-11-30,1284.34
334,2011-12-01,1283.98
335,2011-12-02,1283.62
336,2011-12-03,1283.37
337,2011-12-04,1282.8
338,2011-12-05,1282.24
339,2011-12-06,1281.59
340,2011-12-07,1281.33
341,2011-12-08,1280.86
342,2011-12-09,1280.6
343,2011-12-10,1280.27
344,2011-12-11,1280.18
345,2011-12-12,1279.73
346,2011-12-13,1279.76
347,2011-12-14,1279.92
348,2011-12-15,1280.51
349,2011-12-16,1280.73
350,2011-12-17,1280.72
351,2011-12-18,1281.39
352,2011-12-19,1281.4
353,2011-12-20,1281.12
354,2011-12-21,1280.99
355,2011-12-22,1280.5
356,2011-12-23,1279.72
357,2011-12-24,1279.6
358,2011-12-25,1279.3
359,2011-12-26,1279.45
360,2011-12-27,1279.28
361,2011-12-28,1279.59
362,2011-12-29,1279.97
363,2011-12-30,1280.51
364,2011-12-31,1281.04
365,2012-01-01,1281.6
366,2012-01-02,1281.4
367,2012-01-03,1281.56
368,2012-01-04,1281.7
369,2012-01-05,1281.81
370,2012-01-06,1281.65
371,2012-01-07,1281.56
372,2012-01-08,1281.77
373,2012-01-09,1281.37
374,2012-01-10,1281.37
375,2012-01-11,1280.96
376,2012-01-12,1280.58
377,2012-01-13,1280.15
378,2012-01-14,1279.94
379,2012-01-15,1280.0
380,2012-01-16,1279.78
381,2012-01-17,1279.52
382,2012-01-18,1279.64
383,2012-01-19,1279.54
384,2012-01-20,1279.71
385,2012-01-21,1280.29
386,2012-01-22,1280.49
387,2012-01-23,1280.23
388,2012-01-24,1279.92
389,2012-01-25,1280.04
390,2012-01-26,1279.75
391,2012-01-27,1279.64
392,2012-01-28,1280.28
393,2012-01-29,1280.72
394,2012-01-30,1280.76
395,2012-01-31,1280.26
396,2012-02-01,1280.04
397,2012-02-02,1280.27
398,2012-02-03,1280.22
399,2012-02-04,1280.71
400,2012-02-05,1281.1
401,2012-02-06,1280.7
402,2012-02-07,1280.01
403,2012-02-08,1279.53
404,2012-02-09,1279.0
405,2012-02-10,1278.3
406,2012-02-11,1278.35
407,2012-02-12,1278.49
408,2012-02-13,1277.64
409,2012-02-14,1277.73
410,2012-02-15,1277.16
411,2012-02-16,1276.79
412,2012-02-17,1276.26
413,2012-02-18,1276.49
414,2012-02-19,1276.91
415,2012-02-20,1276.52
416,2012-02-21,1275.95
417,2012-02-22,1276.14
418,2012-02-23,1276.54
419,2012-02-24,1276.75
420,2012-02-25,1277.12
421,2012-02-26,1277.79
422,2012-02-27,1277.5
423,2012-02-28,1277.15
424,2012-02-29,1276.55
425,2012-03-01,1276.31
426,2012-03-02,1275.72
427,2012-03-03,1276.04
428,2012-03-04,1276.4
429,2012-03-05,1275.87
430,2012-03-06,1274.91
431,2012-03-07,1274.15
432,2012-03-08,1273.14
433,2012-03-09,1272.23
434,2012-03-10,1271.94
435,2012-03-11,1271.44
436,2012-03-12,1270.77
437,2012-03-13,1270.47
438,2012-03-14,1269.78
439,2012-03-15,1268.89
440,2012-03-16,1268.61
441,2012-03-17,1268.76
442,2012-03-18,1269.1
443,2012-03-19,1268.69
444,2012-03-20,1267.63
