,datetime,GALESVILLE_RESERVOIR_NEAR_AZALEA__OR.
0,2011-01-01,1844.52
1,2011-01-02,1844.13
2,2011-01-03,1843.99
3,2011-01-04,1843.78
4,2011-01-05,1843.58
5,2011-01-06,1843.38
6,2011-01-07,1843.17
7,2011-01-08,1842.99
8,2011-01-09,1842.79
9,2011-01-10,1842.74
10,2011-01-11,1842.81
11,2011-01-12,1842.84
12,2011-01-13,1843.28
13,2011-01-14,1843.89
14,2011-01-15,1844.43
15,2011-01-16,1844.95
16,2011-01-17,1844.76
17,2011-01-18,1844.7
18,2011-01-19,1845.18
19,2011-01-20,1845.53
20,2011-01-21,1845.69
21,2011-01-22,1845.74
22,2011-01-23,1845.69
23,2011-01-24,1845.56
24,2011-01-25,1845.54
25,2011-01-26,1845.6
26,2011-01-27,1845.69
27,2011-01-28,1845.72
28,2011-01-29,1845.63
29,2011-01-30,1845.51
30,2011-01-31,1845.43
31,2011-02-01,1845.27
32,2011-02-02,1845.23
33,2011-02-03,1845.29
34,2011-02-04,1845.32
35,2011-02-05,1845.36
36,2011-02-06,1845.38
37,2011-02-07,1845.41
38,2011-02-08,1845.43
39,2011-02-09,1845.43
40,2011-02-10,1845.43
41,2011-02-11,1845.42
42,2011-02-12,1845.39
43,2011-02-13,1845.36
44,2011-02-14,1845.47
45,2011-02-15,1848.24
46,2011-02-16,1849.72
47,2011-02-17,1850.47
48,2011-02-18,1850.98
49,2011-02-19,1851.38
50,2011-02-20,1851.66
51,2011-02-21,1851.95
52,2011-02-22,1852.18
53,2011-02-23,1852.46
54,2011-02-24,1852.66
55,2011-02-25,1852.82
56,2011-02-26,1852.94
57,2011-02-27,1852.99
58,2011-02-28,1853.19
59,2011-03-01,1853.79
60,2011-03-02,1854.8
61,2011-03-03,1855.66
62,2011-03-04,1856.32
63,2011-03-05,1858.0
64,2011-03-06,1859.91
65,2011-03-07,1861.28
66,2011-03-08,1862.56
67,2011-03-09,1863.81
68,2011-03-10,1866.05
69,2011-03-11,1867.49
70,2011-03-12,1868.22
71,2011-03-13,1868.95
72,2011-03-14,1869.83
73,2011-03-15,1871.0
74,2011-03-16,1872.76
75,2011-03-17,1873.62
76,2011-03-18,1873.97
77,2011-03-19,1874.01
78,2011-03-20,1874.08
79,2011-03-21,1873.99
80,2011-03-22,1874.04
81,2011-03-23,1874.11
82,2011-03-24,1874.22
83,2011-03-25,1874.4
84,2011-03-26,1874.51
85,2011-03-27,1874.68
86,2011-03-28,1874.8
87,2011-03-29,1875.05
88,2011-03-30,1875.58
89,2011-03-31,1876.07
90,2011-04-01,1876.51
91,2011-04-02,1877.02
92,2011-04-03,1877.29
93,2011-04-04,1877.5
94,2011-04-05,1878.3
95,2011-04-06,1878.67
96,2011-04-07,1878.71
97,2011-04-08,1878.75
98,2011-04-09,1878.78
99,2011-04-10,1878.69
100,2011-04-11,1878.59
101,2011-04-12,1878.5
102,2011-04-13,1878.42
103,2011-04-14,1878.32
104,2011-04-15,1878.25
105,2011-04-16,1878.33
106,2011-04-17,1878.81
107,2011-04-18,1879.03
108,2011-04-19,1879.17
109,2011-04-20,1879.34
110,2011-04-21,1879.4
111,2011-04-22,1879.37
112,2011-04-23,1879.31
113,2011-04-24,1879.28
114,2011-04-25,1879.26
115,2011-04-26,1879.2
116,2011-04-27,1879.1
117,2011-04-28,1879.14
118,2011-04-29,1879.22
119,2011-04-30,1879.25
120,2011-05-01,1879.24
121,2011-05-02,1879.24
122,2011-05-03,1879.21
123,2011-05-04,1879.19
124,2011-05-05,1879.18
125,2011-05-06,1879.17
126,2011-05-07,1879.15
127,2011-05-08,1879.18
128,2011-05-09,1879.22
129,2011-05-10,1879.19
130,2011-05-11,1879.12
131,2011-05-12,1879.04
132,2011-05-13,1878.96
133,2011-05-14,1878.88
134,2011-05-15,1878.94
135,2011-05-16,1878.97
136,2011-05-17,1878.98
137,2011-05-18,1878.99
138,2011-05-19,1878.96
139,2011-05-20,1878.89
140,2011-05-21,1878.81
141,2011-05-22,1878.71
142,2011-05-23,1878.6
143,2011-05-24,1878.52
144,2011-05-25,1878.55
145,2011-05-26,1878.53
146,2011-05-27,1878.54
147,2011-05-28,1878.55
148,2011-05-29,1878.57
149,2011-05-30,1878.59
150,2011-05-31,1878.7
151,2011-06-01,1878.87
152,2011-06-02,1878.95
153,2011-06-03,1878.95
154,2011-06-04,1878.92
155,2011-06-05,1878.88
156,2011-06-06,1878.87
157,2011-06-07,1878.84
158,2011-06-08,1878.8
159,2011-06-09,1878.76
160,2011-06-10,1878.69
161,2011-06-11,1878.62
162,2011-06-12,1878.56
163,2011-06-13,1878.49
164,2011-06-14,1878.4
165,2011-06-15,1878.31
166,2011-06-16,1878.24
167,2011-06-17,1878.15
168,2011-06-18,1878.06
169,2011-06-19,1877.97
170,2011-06-20,1877.87
171,2011-06-21,1877.76
172,2011-06-22,1877.63
173,2011-06-23,1877.5
174,2011-06-24,1877.36
175,2011-06-25,1877.23
176,2011-06-26,1877.09
177,2011-06-27,1876.95
178,2011-06-28,1876.9
179,2011-06-29,1876.79
180,2011-06-30,1876.64
181,2011-07-01,1876.48
182,2011-07-02,1876.3
183,2011-07-03,1876.12
184,2011-07-04,1875.94
185,2011-07-05,1875.76
186,2011-07-06,1875.57
187,2011-07-07,1875.37
188,2011-07-08,1875.17
189,2011-07-09,1874.97
190,2011-07-10,1874.76
191,2011-07-11,1874.56
192,2011-07-12,1874.37
193,2011-07-13,1874.18
194,2011-07-14,1873.99
195,2011-07-15,1873.77
196,2011-07-16,1873.57
197,2011-07-17,1873.4
198,2011-07-18,1873.28
199,2011-07-19,1873.28
200,2011-07-20,1873.13
201,2011-07-21,1872.94
202,2011-07-22,1872.75
203,2011-07-23,1872.55
204,2011-07-24,1872.34
205,2011-07-25,1872.13
206,2011-07-26,1871.91
207,2011-07-27,1871.69
208,2011-07-28,1871.42
209,2011-07-29,1871.19
210,2011-07-30,1870.95
211,2011-07-31,1870.72
212,2011-08-01,1870.49
213,2011-08-02,1870.24
214,2011-08-03,1870.01
215,2011-08-04,1869.76
216,2011-08-05,1869.52
217,2011-08-06,1869.27
218,2011-08-07,1869.02
219,2011-08-08,1868.77
220,2011-08-09,1868.52
221,2011-08-10,1868.27
222,2011-08-11,1868.02
223,2011-08-12,1867.76
224,2011-08-13,1867.51
225,2011-08-14,1867.26
226,2011-08-15,1867.0
227,2011-08-16,1866.74
228,2011-08-17,1866.48
229,2011-08-18,1866.21
230,2011-08-19,1865.9
231,2011-08-20,1865.63
232,2011-08-21,1865.35
233,2011-08-22,1865.06
234,2011-08-23,1864.78
235,2011-08-24,1864.5
236,2011-08-25,1864.21
237,2011-08-26,1863.93
238,2011-08-27,1863.63
239,2011-08-28,1863.33
240,2011-08-29,1863.03
241,2011-08-30,1862.73
242,2011-08-31,1862.42
243,2011-09-01,1862.12
244,2011-09-02,1861.83
245,2011-09-03,1861.54
246,2011-09-04,1861.24
247,2011-09-05,1860.95
248,2011-09-06,1860.65
249,2011-09-07,1860.3
250,2011-09-08,1860.0
251,2011-09-09,1859.7
