,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.
0,2011-01-01,871.33
1,2011-01-02,871.61
2,2011-01-03,872.09
3,2011-01-04,871.7
4,2011-01-05,871.87
5,2011-01-06,872.33
6,2011-01-07,872.2
7,2011-01-08,872.18
8,2011-01-09,873.08
9,2011-01-10,871.06
10,2011-01-11,872.32
11,2011-01-12,870.5
12,2011-01-13,871.95
13,2011-01-14,869.65
14,2011-01-15,869.97
15,2011-01-16,873.47
16,2011-01-17,873.04
17,2011-01-18,869.65
18,2011-01-19,869.78
19,2011-01-20,868.25
20,2011-01-21,868.23
21,2011-01-22,869.96
22,2011-01-23,871.89
23,2011-01-24,872.04
24,2011-01-25,871.78
25,2011-01-26,871.76
26,2011-01-27,870.98
27,2011-01-28,872.66
28,2011-01-29,870.14
29,2011-01-30,870.25
30,2011-01-31,871.89
31,2011-02-01,871.72
32,2011-02-02,870.79
33,2011-02-03,871.96
34,2011-02-04,873.42
35,2011-02-05,871.88
36,2011-02-06,872.64
37,2011-02-07,872.56
38,2011-02-08,873.41
39,2011-02-09,871.6
40,2011-02-10,872.42
41,2011-02-11,870.73
42,2011-02-12,871.02
43,2011-02-13,872.15
44,2011-02-14,872.5
45,2011-02-15,872.54
46,2011-02-16,870.77
47,2011-02-17,870.93
48,2011-02-18,871.1
49,2011-02-19,871.31
50,2011-02-20,871.09
51,2011-02-21,871.64
52,2011-02-22,871.47
53,2011-02-23,871.26
54,2011-02-24,871.37
55,2011-02-25,871.47
56,2011-02-26,871.62
57,2011-02-27,870.92
58,2011-02-28,870.92
59,2011-03-01,872.29
60,2011-03-02,871.52
61,2011-03-03,871.26
62,2011-03-04,873.12
63,2011-03-05,870.68
64,2011-03-06,871.39
65,2011-03-07,871.92
66,2011-03-08,871.64
67,2011-03-09,871.87
68,2011-03-10,872.38
69,2011-03-11,873.93
70,2011-03-12,872.82
71,2011-03-13,871.36
72,2011-03-14,872.73
73,2011-03-15,872.78
74,2011-03-16,872.02
