,datetime,GREEN_PETER_LAKE_NEAR_FOSTER__OR.
0,2013-10-01,974.39
1,2013-10-02,976.47
2,2013-10-03,977.84
3,2013-10-04,978.8
4,2013-10-05,979.53
5,2013-10-06,980.11
6,2013-10-07,980.04
7,2013-10-08,980.14
8,2013-10-09,980.4
9,2013-10-10,980.41
10,2013-10-11,980.63
11,2013-10-12,981.09
12,2013-10-13,981.48
13,2013-10-14,980.94
14,2013-10-15,980.28
15,2013-10-16,979.6
16,2013-10-17,978.91
17,2013-10-18,978.25
18,2013-10-19,977.52
19,2013-10-20,976.72
20,2013-10-21,975.93
21,2013-10-22,975.12
22,2013-10-23,974.25
23,2013-10-24,973.4
24,2013-10-25,972.01
25,2013-10-26,970.64
26,2013-10-27,969.31
27,2013-10-28,967.96
28,2013-10-29,966.53
29,2013-10-30,965.04
30,2013-10-31,963.34
31,2013-11-01,961.05
32,2013-11-02,959.04
33,2013-11-03,957.0
34,2013-11-04,955.05
35,2013-11-05,953.58
36,2013-11-06,952.29
37,2013-11-07,951.12
38,2013-11-08,949.92
39,2013-11-09,948.29
40,2013-11-10,946.37
41,2013-11-11,944.22
42,2013-11-12,941.92
43,2013-11-13,939.38
44,2013-11-14,936.71
45,2013-11-15,934.0
46,2013-11-16,932.14
47,2013-11-17,930.25
48,2013-11-18,928.35
49,2013-11-19,928.76
50,2013-11-20,928.72
51,2013-11-21,929.4
52,2013-11-22,930.01
53,2013-11-23,930.74
54,2013-11-24,931.26
55,2013-11-25,931.63
56,2013-11-26,931.5
57,2013-11-27,931.3
58,2013-11-28,931.03
59,2013-11-29,930.7
60,2013-11-30,930.34
61,2013-12-01,931.05
62,2013-12-02,937.23
63,2013-12-03,938.99
64,2013-12-04,939.74
65,2013-12-05,939.45
66,2013-12-06,939.23
67,2013-12-07,938.69
68,2013-12-08,938.13
69,2013-12-09,937.46
70,2013-12-10,936.73
71,2013-12-11,935.96
72,2013-12-12,935.08
73,2013-12-13,934.32
74,2013-12-14,933.52
75,2013-12-15,932.59
76,2013-12-16,931.7
77,2013-12-17,930.77
78,2013-12-18,929.82
79,2013-12-19,928.86
80,2013-12-20,928.11
81,2013-12-21,927.9
82,2013-12-22,927.84
83,2013-12-23,927.71
84,2013-12-24,927.75
85,2013-12-25,927.51
86,2013-12-26,927.18
87,2013-12-27,926.71
88,2013-12-28,926.58
89,2013-12-29,926.27
90,2013-12-30,925.93
91,2013-12-31,925.56
92,2014-01-01,925.14
93,2014-01-02,924.71
94,2014-01-03,924.31
95,2014-01-04,923.85
96,2014-01-05,923.35
97,2014-01-06,922.86
98,2014-01-07,922.38
99,2014-01-08,922.62
100,2014-01-09,924.42
101,2014-01-10,926.8
102,2014-01-11,929.06
103,2014-01-12,932.71
104,2014-01-13,936.64
105,2014-01-14,938.79
106,2014-01-15,940.11
107,2014-01-16,941.0
108,2014-01-17,942.38
109,2014-01-18,943.56
110,2014-01-19,944.59
111,2014-01-20,945.48
112,2014-01-21,946.26
