,datetime,LAKE_SABRINA_NR_BISHOP_CA.
0,2011-01-01,5230.0
1,2011-01-02,5220.0
2,2011-01-03,5220.0
3,2011-01-04,5210.0
4,2011-01-05,5200.0
5,2011-01-06,5190.0
6,2011-01-07,5180.0
7,2011-01-08,5170.0
8,2011-01-09,5160.0
9,2011-01-10,5140.0
10,2011-01-11,5130.0
11,2011-01-12,5120.0
12,2011-01-13,5100.0
13,2011-01-14,5090.0
14,2011-01-15,5070.0
15,2011-01-16,5060.0
16,2011-01-17,5050.0
17,2011-01-18,5030.0
18,2011-01-19,5020.0
19,2011-01-20,5000.0
20,2011-01-21,4990.0
21,2011-01-22,4970.0
22,2011-01-23,4960.0
23,2011-01-24,4940.0
24,2011-01-25,4930.0
25,2011-01-26,4910.0
26,2011-01-27,4900.0
27,2011-01-28,4870.0
28,2011-01-29,4840.0
29,2011-01-30,4810.0
30,2011-01-31,4780.0
31,2011-02-01,4740.0
32,2011-02-02,4710.0
33,2011-02-03,4680.0
34,2011-02-04,4650.0
35,2011-02-05,4620.0
36,2011-02-06,4590.0
37,2011-02-07,4560.0
38,2011-02-08,4520.0
39,2011-02-09,4490.0
40,2011-02-10,4460.0
41,2011-02-11,4430.0
42,2011-02-12,4400.0
43,2011-02-13,4390.0
44,2011-02-14,4370.0
45,2011-02-15,4350.0
46,2011-02-16,4350.0
47,2011-02-17,4340.0
48,2011-02-18,4340.0
49,2011-02-19,4330.0
50,2011-02-20,4320.0
51,2011-02-21,4320.0
52,2011-02-22,4310.0
53,2011-02-23,4300.0
54,2011-02-24,4290.0
55,2011-02-25,4280.0
56,2011-02-26,4270.0
57,2011-02-27,4260.0
58,2011-02-28,4250.0
59,2011-03-01,4240.0
60,2011-03-02,4230.0
61,2011-03-03,4220.0
62,2011-03-04,4210.0
63,2011-03-05,4200.0
64,2011-03-06,4190.0
65,2011-03-07,4180.0
66,2011-03-08,4170.0
67,2011-03-09,4160.0
68,2011-03-10,4150.0
69,2011-03-11,4130.0
70,2011-03-12,4110.0
71,2011-03-13,4100.0
72,2011-03-14,4080.0
73,2011-03-15,4080.0
74,2011-03-16,4070.0
75,2011-03-17,4060.0
76,2011-03-18,4050.0
77,2011-03-19,4040.0
78,2011-03-20,4030.0
79,2011-03-21,4020.0
80,2011-03-22,4020.0
81,2011-03-23,4010.0
82,2011-03-24,4000.0
83,2011-03-25,3990.0
84,2011-03-26,3980.0
85,2011-03-27,3970.0
86,2011-03-28,3960.0
87,2011-03-29,3940.0
88,2011-03-30,3900.0
89,2011-03-31,3850.0
90,2011-04-01,3810.0
91,2011-04-02,3770.0
92,2011-04-03,3740.0
93,2011-04-04,3720.0
94,2011-04-05,3690.0
95,2011-04-06,3620.0
96,2011-04-07,3490.0
97,2011-04-08,3230.0
98,2011-04-09,3040.0
99,2011-04-10,2940.0
100,2011-04-11,2900.0
101,2011-04-12,2870.0
102,2011-04-13,2860.0
103,2011-04-14,2830.0
104,2011-04-15,2840.0
105,2011-04-16,2840.0
106,2011-04-17,2840.0
107,2011-04-18,2840.0
108,2011-04-19,2840.0
109,2011-04-20,2840.0
110,2011-04-21,2830.0
111,2011-04-22,2830.0
112,2011-04-23,2830.0
113,2011-04-24,2820.0
114,2011-04-25,2740.0
115,2011-04-26,2620.0
116,2011-04-27,2340.0
117,2011-04-28,2180.0
118,2011-04-29,2030.0
119,2011-04-30,1860.0
120,2011-05-01,1670.0
121,2011-05-02,1530.0
122,2011-05-03,1340.0
123,2011-05-04,1240.0
124,2011-05-05,1180.0
125,2011-05-06,1170.0
126,2011-05-07,1180.0
127,2011-05-08,1170.0
128,2011-05-09,1110.0
129,2011-05-10,1020.0
130,2011-05-11,929.0
131,2011-05-12,858.0
132,2011-05-13,816.0
133,2011-05-14,771.0
134,2011-05-15,711.0
135,2011-05-16,642.0
136,2011-05-17,577.0
137,2011-05-18,531.0
138,2011-05-19,487.0
