,datetime,LAKE_TAHOE_A_TAHOE_CITY_CA.
0,2011-01-01,4.56
1,2011-01-02,4.57
2,2011-01-03,4.55
3,2011-01-04,4.55
4,2011-01-05,4.55
5,2011-01-06,4.55
6,2011-01-07,4.55
7,2011-01-08,4.54
8,2011-01-09,4.54
9,2011-01-10,4.54
10,2011-01-11,4.54
11,2011-01-12,4.54
12,2011-01-13,4.54
13,2011-01-14,4.55
14,2011-01-15,4.55
15,2011-01-16,4.55
16,2011-01-17,4.56
17,2011-01-18,4.56
18,2011-01-19,4.55
19,2011-01-20,4.55
20,2011-01-21,4.55
21,2011-01-22,4.55
22,2011-01-23,4.55
23,2011-01-24,4.55
24,2011-01-25,4.55
25,2011-01-26,4.56
26,2011-01-27,4.56
27,2011-01-28,4.56
28,2011-01-29,4.56
29,2011-01-30,4.57
30,2011-01-31,4.58
31,2011-02-01,4.58
32,2011-02-02,4.55
33,2011-02-03,4.56
34,2011-02-04,4.55
35,2011-02-05,4.55
36,2011-02-06,4.55
37,2011-02-07,4.54
38,2011-02-08,4.55
39,2011-02-09,4.53
40,2011-02-10,4.52
41,2011-02-11,4.52
42,2011-02-12,4.52
43,2011-02-13,4.51
44,2011-02-14,4.52
45,2011-02-15,4.48
46,2011-02-16,4.63
47,2011-02-17,4.73
48,2011-02-18,4.78
49,2011-02-19,4.79
50,2011-02-20,4.78
51,2011-02-21,4.78
52,2011-02-22,4.77
53,2011-02-23,4.77
54,2011-02-24,4.77
55,2011-02-25,4.87
56,2011-02-26,4.86
57,2011-02-27,4.85
58,2011-02-28,4.84
59,2011-03-01,4.83
60,2011-03-02,4.92
61,2011-03-03,4.92
62,2011-03-04,4.92
63,2011-03-05,4.91
64,2011-03-06,4.96
65,2011-03-07,4.98
66,2011-03-08,4.98
67,2011-03-09,4.99
68,2011-03-10,4.99
69,2011-03-11,4.98
70,2011-03-12,4.99
71,2011-03-13,5.02
72,2011-03-14,5.1
73,2011-03-15,5.21
74,2011-03-16,5.31
75,2011-03-17,5.31
76,2011-03-18,5.37
77,2011-03-19,5.4
78,2011-03-20,5.49
79,2011-03-21,5.51
80,2011-03-22,5.5
81,2011-03-23,5.54
82,2011-03-24,5.61
83,2011-03-25,5.61
84,2011-03-26,5.62
85,2011-03-27,5.62
86,2011-03-28,5.62
87,2011-03-29,5.62
88,2011-03-30,5.63
89,2011-03-31,5.64
90,2011-04-01,5.64
91,2011-04-02,5.66
92,2011-04-03,5.67
93,2011-04-04,5.68
94,2011-04-05,5.7
95,2011-04-06,5.71
96,2011-04-07,5.73
97,2011-04-08,5.74
98,2011-04-09,5.75
99,2011-04-10,5.75
100,2011-04-11,5.76
101,2011-04-12,5.76
102,2011-04-13,5.77
103,2011-04-14,5.77
104,2011-04-15,5.78
105,2011-04-16,5.79
106,2011-04-17,5.81
107,2011-04-18,5.85
108,2011-04-19,5.87
109,2011-04-20,5.9
110,2011-04-21,5.94
111,2011-04-22,5.98
112,2011-04-23,5.99
113,2011-04-24,6.01
114,2011-04-25,6.01
115,2011-04-26,6.01
116,2011-04-27,6.03
117,2011-04-28,6.03
118,2011-04-29,6.04
119,2011-04-30,6.05
120,2011-05-01,6.07
121,2011-05-02,6.09
122,2011-05-03,6.1
123,2011-05-04,6.13
124,2011-05-05,6.15
125,2011-05-06,6.17
126,2011-05-07,6.21
127,2011-05-08,6.23
128,2011-05-09,6.28
129,2011-05-10,6.29
130,2011-05-11,6.3
131,2011-05-12,6.32
132,2011-05-13,6.35
133,2011-05-14,6.37
134,2011-05-15,6.43
135,2011-05-16,6.47
136,2011-05-17,6.48
137,2011-05-18,6.54
138,2011-05-19,6.55
139,2011-05-20,6.56
140,2011-05-21,6.58
141,2011-05-22,6.6
142,2011-05-23,6.61
143,2011-05-24,6.64
144,2011-05-25,6.68
145,2011-05-26,6.7
146,2011-05-27,6.73
147,2011-05-28,6.76
148,2011-05-29,6.78
149,2011-05-30,6.77
150,2011-05-31,6.76
151,2011-06-01,6.79
152,2011-06-02,6.82
153,2011-06-03,6.82
154,2011-06-04,6.85
155,2011-06-05,6.92
156,2011-06-06,7.01
157,2011-06-07,7.04
158,2011-06-08,7.07
159,2011-06-09,7.1
160,2011-06-10,7.13
161,2011-06-11,7.16
162,2011-06-12,7.2
163,2011-06-13,7.24
164,2011-06-14,7.29
165,2011-06-15,7.33
166,2011-06-16,7.38
167,2011-06-17,7.42
168,2011-06-18,7.46
169,2011-06-19,7.51
170,2011-06-20,7.55
171,2011-06-21,7.59
172,2011-06-22,7.64
173,2011-06-23,7.68
174,2011-06-24,7.73
175,2011-06-25,7.77
176,2011-06-26,7.8
177,2011-06-27,7.83
178,2011-06-28,7.86
179,2011-06-29,7.99
180,2011-06-30,8.0
181,2011-07-01,8.04
182,2011-07-02,8.08
183,2011-07-03,8.11
184,2011-07-04,8.14
185,2011-07-05,8.19
186,2011-07-06,8.23
187,2011-07-07,8.25
188,2011-07-08,8.29
189,2011-07-09,8.31
190,2011-07-10,8.32
191,2011-07-11,8.33
192,2011-07-12,8.33
193,2011-07-13,8.33
194,2011-07-14,8.36
195,2011-07-15,8.34
196,2011-07-16,8.37
197,2011-07-17,8.36
198,2011-07-18,8.37
199,2011-07-19,8.38
200,2011-07-20,8.36
201,2011-07-21,8.38
202,2011-07-22,8.39
203,2011-07-23,8.4
204,2011-07-24,8.39
205,2011-07-25,8.38
206,2011-07-26,8.39
207,2011-07-27,8.4
208,2011-07-28,8.41
209,2011-07-29,8.41
210,2011-07-30,8.42
211,2011-07-31,8.41
212,2011-08-01,8.42
213,2011-08-02,8.4
214,2011-08-03,8.39
215,2011-08-04,8.38
216,2011-08-05,8.37
217,2011-08-06,8.37
218,2011-08-07,8.35
219,2011-08-08,8.35
220,2011-08-09,8.34
221,2011-08-10,8.33
222,2011-08-11,8.32
223,2011-08-12,8.31
224,2011-08-13,8.3
225,2011-08-14,8.27
226,2011-08-15,8.24
227,2011-08-16,8.24
228,2011-08-17,8.23
229,2011-08-18,8.22
230,2011-08-19,8.21
231,2011-08-20,8.2
232,2011-08-21,8.19
233,2011-08-22,8.18
234,2011-08-23,8.18
235,2011-08-24,8.15
236,2011-08-25,8.15
237,2011-08-26,8.14
238,2011-08-27,8.12
239,2011-08-28,8.11
240,2011-08-29,8.08
241,2011-08-30,8.08
242,2011-08-31,8.05
243,2011-09-01,8.04
244,2011-09-02,8.03
245,2011-09-03,8.02
246,2011-09-04,7.99
247,2011-09-05,7.98
248,2011-09-06,7.97
249,2011-09-07,7.96
250,2011-09-08,7.95
251,2011-09-09,7.93
252,2011-09-10,7.92
253,2011-09-11,7.9
254,2011-09-12,7.91
255,2011-09-13,7.88
256,2011-09-14,7.89
257,2011-09-15,7.85
258,2011-09-16,7.84
259,2011-09-17,7.83
260,2011-09-18,7.83
261,2011-09-19,7.82
262,2011-09-20,7.81
263,2011-09-21,7.8
264,2011-09-22,7.8
265,2011-09-23,7.79
266,2011-09-24,7.78
267,2011-09-25,7.75
268,2011-09-26,7.72
269,2011-09-27,7.74
270,2011-09-28,7.72
271,2011-09-29,7.71
272,2011-09-30,7.71
273,2011-10-01,7.67
274,2011-10-02,7.64
275,2011-10-03,7.6
276,2011-10-04,7.56
277,2011-10-05,7.66
278,2011-10-06,7.63
279,2011-10-07,7.62
280,2011-10-08,7.6
281,2011-10-09,7.59
282,2011-10-10,7.6
283,2011-10-11,7.59
284,2011-10-12,7.58
285,2011-10-13,7.58
286,2011-10-14,7.57
287,2011-10-15,7.57
288,2011-10-16,7.56
289,2011-10-17,7.56
290,2011-10-18,7.56
291,2011-10-19,7.55
292,2011-10-20,7.54
293,2011-10-21,7.53
294,2011-10-22,7.54
295,2011-10-23,7.53
296,2011-10-24,7.51
297,2011-10-25,7.51
