,datetime,LOWER_TWIN_LAKE_NR_BRIDGEPORT__CA.
0,2011-02-01,11480.64
1,2011-02-02,11482.071785714286
2,2011-02-03,11483.503571428573
3,2011-02-04,11484.935357142858
4,2011-02-05,11486.367142857143
5,2011-02-06,11487.798928571428
6,2011-02-07,11489.230714285713
7,2011-02-08,11490.6625
8,2011-02-09,11492.094285714287
9,2011-02-10,11493.526071428572
10,2011-02-11,11494.957857142857
11,2011-02-12,11496.389642857142
12,2011-02-13,11497.821428571428
13,2011-02-14,11499.253214285714
14,2011-02-15,11500.685
15,2011-02-16,11502.116785714286
16,2011-02-17,11503.548571428571
17,2011-02-18,11504.980357142857
18,2011-02-19,11506.412142857142
19,2011-02-20,11507.843928571428
20,2011-02-21,11509.275714285714
21,2011-02-22,11510.7075
22,2011-02-23,11512.139285714286
23,2011-02-24,11513.57107142857
24,2011-02-25,11515.002857142857
25,2011-02-26,11516.434642857143
26,2011-02-27,11517.866428571428
27,2011-02-28,11519.298214285714
28,2011-03-01,11520.73
29,2011-03-02,11521.033636363636
30,2011-03-03,11521.337272727273
31,2011-03-04,11521.64090909091
32,2011-03-05,11521.944545454546
33,2011-03-06,11522.248181818182
34,2011-03-07,11522.551818181819
35,2011-03-08,11522.855454545454
36,2011-03-09,11523.15909090909
37,2011-03-10,11523.462727272727
38,2011-03-11,11523.766363636363
39,2011-03-12,11524.07
40,2011-03-13,11524.373636363636
41,2011-03-14,11524.677272727273
42,2011-03-15,11524.980909090908
43,2011-03-16,11525.284545454546
44,2011-03-17,11525.58818181818
45,2011-03-18,11525.891818181819
46,2011-03-19,11526.195454545454
47,2011-03-20,11526.499090909092
48,2011-03-21,11526.802727272727
49,2011-03-22,11527.106363636363
50,2011-03-23,11527.41
51,2011-03-24,11527.713636363636
52,2011-03-25,11528.017272727273
53,2011-03-26,11528.32090909091
54,2011-03-27,11528.624545454546
55,2011-03-28,11528.92818181818
56,2011-03-29,11529.231818181817
57,2011-03-30,11529.535454545454
58,2011-03-31,11529.83909090909
59,2011-04-01,11530.142727272727
60,2011-04-02,11530.446363636363
61,2011-04-03,11530.75
62,2011-04-04,11510.356206896551
63,2011-04-05,11489.962413793102
64,2011-04-06,11469.568620689655
65,2011-04-07,11449.174827586206
66,2011-04-08,11428.78103448276
67,2011-04-09,11408.38724137931
68,2011-04-10,11387.993448275862
69,2011-04-11,11367.599655172413
70,2011-04-12,11347.205862068964
71,2011-04-13,11326.812068965517
72,2011-04-14,11306.418275862068
73,2011-04-15,11286.024482758621
74,2011-04-16,11265.630689655172
75,2011-04-17,11245.236896551723
76,2011-04-18,11224.843103448276
77,2011-04-19,11204.449310344828
78,2011-04-20,11184.05551724138
79,2011-04-21,11163.661724137932
80,2011-04-22,11143.267931034483
81,2011-04-23,11122.874137931034
82,2011-04-24,11102.480344827587
83,2011-04-25,11082.086551724138
84,2011-04-26,11061.69275862069
85,2011-04-27,11041.298965517242
86,2011-04-28,11020.905172413793
87,2011-04-29,11000.511379310345
88,2011-04-30,10980.117586206896
89,2011-05-01,10959.723793103449
90,2011-05-02,10939.33
91,2011-05-03,10934.986666666666
92,2011-05-04,10930.643333333333
93,2011-05-05,10926.3
94,2011-05-06,10921.956666666667
95,2011-05-07,10917.613333333333
96,2011-05-08,10913.27
97,2011-05-09,10908.926666666666
98,2011-05-10,10904.583333333334
99,2011-05-11,10900.24
100,2011-05-12,10895.896666666666
101,2011-05-13,10891.553333333333
102,2011-05-14,10887.21
103,2011-05-15,10882.866666666667
104,2011-05-16,10878.523333333333
105,2011-05-17,10874.18
106,2011-05-18,10869.836666666666
107,2011-05-19,10865.493333333334
108,2011-05-20,10861.15
109,2011-05-21,10856.806666666665
110,2011-05-22,10852.463333333333
111,2011-05-23,10848.119999999999
112,2011-05-24,10843.776666666667
113,2011-05-25,10839.433333333332
114,2011-05-26,10835.09
115,2011-05-27,10830.746666666666
116,2011-05-28,10826.403333333334
117,2011-05-29,10822.06
118,2011-05-30,10817.716666666667
119,2011-05-31,10813.373333333333
120,2011-06-01,10809.029999999999
121,2011-06-02,10849.124666666667
122,2011-06-03,10889.219333333334
123,2011-06-04,10929.313999999998
124,2011-06-05,10969.408666666666
125,2011-06-06,11009.503333333334
126,2011-06-07,11049.598
127,2011-06-08,11089.692666666666
128,2011-06-09,11129.787333333334
129,2011-06-10,11169.882
130,2011-06-11,11209.976666666666
131,2011-06-12,11250.071333333333
132,2011-06-13,11290.166000000001
133,2011-06-14,11330.260666666665
134,2011-06-15,11370.355333333333
135,2011-06-16,11410.45
136,2011-06-17,11450.544666666667
137,2011-06-18,11490.639333333333
138,2011-06-19,11530.734
139,2011-06-20,11570.828666666666
140,2011-06-21,11610.923333333332
141,2011-06-22,11651.018
142,2011-06-23,11691.112666666668
143,2011-06-24,11731.207333333332
144,2011-06-25,11771.302
145,2011-06-26,11811.396666666667
146,2011-06-27,11851.491333333333
147,2011-06-28,11891.586
