,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.
0,2011-01-01,526.0
1,2011-01-02,529.0
2,2011-01-03,532.0
3,2011-01-04,536.0
4,2011-01-05,538.0
5,2011-01-06,540.0
6,2011-01-07,543.0
7,2011-01-08,545.0
8,2011-01-09,547.0
9,2011-01-10,549.0
10,2011-01-11,553.0
11,2011-01-12,555.0
12,2011-01-13,566.0
13,2011-01-14,572.0
14,2011-01-15,575.0
15,2011-01-16,580.0
16,2011-01-17,584.0
17,2011-01-18,588.0
18,2011-01-19,594.0
19,2011-01-20,596.0
20,2011-01-21,599.0
21,2011-01-22,603.0
22,2011-01-23,607.0
23,2011-01-24,610.0
24,2011-01-25,614.0
25,2011-01-26,617.0
26,2011-01-27,620.0
27,2011-01-28,623.0
28,2011-01-29,627.0
29,2011-01-30,633.0
30,2011-01-31,636.0
31,2011-02-01,637.0
32,2011-02-02,638.0
33,2011-02-03,641.0
34,2011-02-04,644.0
35,2011-02-05,647.0
36,2011-02-06,650.0
37,2011-02-07,653.0
38,2011-02-08,656.0
39,2011-02-09,657.0
40,2011-02-10,659.0
41,2011-02-11,661.0
42,2011-02-12,664.0
43,2011-02-13,666.0
44,2011-02-14,671.0
45,2011-02-15,688.0
46,2011-02-16,695.0
47,2011-02-17,700.0
48,2011-02-18,705.0
49,2011-02-19,710.0
50,2011-02-20,712.0
51,2011-02-21,715.0
52,2011-02-22,715.0
53,2011-02-23,718.0
54,2011-02-24,724.0
55,2011-02-25,731.0
56,2011-02-26,729.0
57,2011-02-27,728.0
58,2011-02-28,727.0
59,2011-03-01,726.0
60,2011-03-02,728.0
61,2011-03-03,728.0
62,2011-03-04,727.0
63,2011-03-05,730.0
64,2011-03-06,735.0
65,2011-03-07,732.0
66,2011-03-08,730.0
67,2011-03-09,730.0
68,2011-03-10,736.0
69,2011-03-11,732.0
70,2011-03-12,731.0
71,2011-03-13,735.0
72,2011-03-14,733.0
73,2011-03-15,741.0
74,2011-03-16,738.0
75,2011-03-17,735.0
76,2011-03-18,735.0
77,2011-03-19,735.0
78,2011-03-20,733.0
79,2011-03-21,733.0
80,2011-03-22,731.0
81,2011-03-23,731.0
82,2011-03-24,731.0
83,2011-03-25,731.0
84,2011-03-26,733.0
85,2011-03-27,733.0
86,2011-03-28,730.0
87,2011-03-29,730.0
88,2011-03-30,731.0
89,2011-03-31,731.0
90,2011-04-01,731.0
91,2011-04-02,734.0
92,2011-04-03,732.0
93,2011-04-04,733.0
94,2011-04-05,734.0
95,2011-04-06,733.0
96,2011-04-07,733.0
97,2011-04-08,732.0
98,2011-04-09,731.0
99,2011-04-10,731.0
100,2011-04-11,731.0
101,2011-04-12,732.0
102,2011-04-13,732.0
103,2011-04-14,731.0
104,2011-04-15,732.0
105,2011-04-16,734.0
106,2011-04-17,741.0
107,2011-04-18,750.0
108,2011-04-19,748.0
109,2011-04-20,745.0
110,2011-04-21,756.0
111,2011-04-22,772.0
112,2011-04-23,789.0
113,2011-04-24,821.0
114,2011-04-25,848.0
115,2011-04-26,866.0
116,2011-04-27,883.0
117,2011-04-28,895.0
118,2011-04-29,896.0
119,2011-04-30,896.0
120,2011-05-01,897.0
121,2011-05-02,899.0
122,2011-05-03,901.0
123,2011-05-04,915.0
124,2011-05-05,942.0
125,2011-05-06,976.0
126,2011-05-07,1010.0
127,2011-05-08,1020.0
128,2011-05-09,1010.0
129,2011-05-10,1010.0
130,2011-05-11,1010.0
131,2011-05-12,1020.0
132,2011-05-13,1020.0
133,2011-05-14,1020.0
134,2011-05-15,1010.0
135,2011-05-16,1010.0
136,2011-05-17,1010.0
137,2011-05-18,1010.0
138,2011-05-19,1010.0
139,2011-05-20,1010.0
140,2011-05-21,1010.0
141,2011-05-22,1010.0
142,2011-05-23,1010.0
143,2011-05-24,1010.0
144,2011-05-25,1020.0
145,2011-05-26,1010.0
146,2011-05-27,1010.0
147,2011-05-28,1010.0
148,2011-05-29,1010.0
149,2011-05-30,1010.0
150,2011-05-31,1010.0
151,2011-06-01,1010.0
152,2011-06-02,1010.0
153,2011-06-03,1010.0
154,2011-06-04,1010.0
155,2011-06-05,1010.0
156,2011-06-06,1010.0
157,2011-06-07,1020.0
158,2011-06-08,1020.0
159,2011-06-09,1020.0
160,2011-06-10,1020.0
161,2011-06-11,1020.0
162,2011-06-12,1020.0
163,2011-06-13,1030.0
164,2011-06-14,1030.0
165,2011-06-15,1030.0
166,2011-06-16,1020.0
167,2011-06-17,1020.0
168,2011-06-18,1020.0
169,2011-06-19,1020.0
170,2011-06-20,1020.0
171,2011-06-21,1020.0
172,2011-06-22,1020.0
173,2011-06-23,1020.0
174,2011-06-24,1020.0
175,2011-06-25,1010.0
176,2011-06-26,1010.0
177,2011-06-27,1010.0
178,2011-06-28,1010.0
179,2011-06-29,1020.0
180,2011-06-30,1030.0
181,2011-07-01,1030.0
182,2011-07-02,1040.0
183,2011-07-03,1060.0
184,2011-07-04,1070.0
185,2011-07-05,1070.0
186,2011-07-06,1080.0
187,2011-07-07,1080.0
188,2011-07-08,1080.0
189,2011-07-09,1080.0
190,2011-07-10,1080.0
191,2011-07-11,1080.0
192,2011-07-12,1080.0
193,2011-07-13,1080.0
194,2011-07-14,1080.0
195,2011-07-15,1080.0
196,2011-07-16,1080.0
