,datetime,RIFFE_LAKE_NEAR_MOSSYROCK__WA.
0,2011-01-01,736.73
1,2011-01-02,736.33
2,2011-01-03,735.49
3,2011-01-04,734.55
4,2011-01-05,734.15
5,2011-01-06,733.78
6,2011-01-07,733.62
7,2011-01-08,733.54
8,2011-01-09,733.44
9,2011-01-10,732.39
10,2011-01-11,731.4
11,2011-01-12,730.75
12,2011-01-13,731.79
13,2011-01-14,733.76
14,2011-01-15,736.99
15,2011-01-16,743.53
16,2011-01-17,753.03
17,2011-01-18,758.85
18,2011-01-19,760.68
19,2011-01-20,760.57
20,2011-01-21,760.52
21,2011-01-22,760.5
22,2011-01-23,760.01
23,2011-01-24,759.25
24,2011-01-25,758.45
25,2011-01-26,757.45
26,2011-01-27,756.28
27,2011-01-28,754.98
28,2011-01-29,753.75
29,2011-01-30,752.45
30,2011-01-31,751.13
31,2011-02-01,749.93
32,2011-02-02,748.66
33,2011-02-03,747.34
34,2011-02-04,746.61
35,2011-02-05,745.39
36,2011-02-06,745.2
37,2011-02-07,744.83
38,2011-02-08,744.65
39,2011-02-09,744.45
40,2011-02-10,744.15
41,2011-02-11,743.74
42,2011-02-12,743.9
43,2011-02-13,744.05
44,2011-02-14,743.63
45,2011-02-15,743.26
46,2011-02-16,742.87
47,2011-02-17,742.41
48,2011-02-18,741.86
49,2011-02-19,741.31
50,2011-02-20,741.51
51,2011-02-21,740.9
52,2011-02-22,740.24
53,2011-02-23,739.34
54,2011-02-24,738.34
55,2011-02-25,737.09
56,2011-02-26,735.87
57,2011-02-27,735.03
58,2011-02-28,734.04
59,2011-03-01,733.29
60,2011-03-02,732.71
61,2011-03-03,732.05
62,2011-03-04,731.31
63,2011-03-05,731.25
64,2011-03-06,730.99
65,2011-03-07,730.32
66,2011-03-08,730.3
67,2011-03-09,730.27
68,2011-03-10,731.79
69,2011-03-11,732.84
70,2011-03-12,734.1
71,2011-03-13,734.9
72,2011-03-14,735.27
73,2011-03-15,736.25
74,2011-03-16,737.25
75,2011-03-17,738.35
76,2011-03-18,739.19
77,2011-03-19,740.17
78,2011-03-20,741.02
79,2011-03-21,741.24
80,2011-03-22,741.5
81,2011-03-23,741.75
82,2011-03-24,741.96
83,2011-03-25,741.85
84,2011-03-26,742.09
85,2011-03-27,742.49
86,2011-03-28,742.26
87,2011-03-29,742.46
88,2011-03-30,743.53
89,2011-03-31,746.19
90,2011-04-01,749.32
91,2011-04-02,751.77
92,2011-04-03,753.51
93,2011-04-04,754.15
94,2011-04-05,754.76
95,2011-04-06,755.03
96,2011-04-07,755.03
97,2011-04-08,754.77
98,2011-04-09,754.55
99,2011-04-10,754.25
100,2011-04-11,753.85
101,2011-04-12,753.21
102,2011-04-13,752.83
103,2011-04-14,752.37
104,2011-04-15,751.96
105,2011-04-16,751.61
106,2011-04-17,751.49
107,2011-04-18,751.11
108,2011-04-19,750.61
109,2011-04-20,749.95
110,2011-04-21,749.32
111,2011-04-22,748.57
112,2011-04-23,747.89
113,2011-04-24,747.61
114,2011-04-25,746.81
115,2011-04-26,746.06
116,2011-04-27,745.29
117,2011-04-28,744.53
118,2011-04-29,743.79
119,2011-04-30,743.21
120,2011-05-01,742.46
121,2011-05-02,741.59
122,2011-05-03,740.73
123,2011-05-04,739.83
124,2011-05-05,738.89
125,2011-05-06,738.11
126,2011-05-07,737.63
127,2011-05-08,737.41
128,2011-05-09,736.97
129,2011-05-10,736.51
130,2011-05-11,736.09
131,2011-05-12,735.71
132,2011-05-13,735.41
133,2011-05-14,735.71
134,2011-05-15,737.99
135,2011-05-16,740.26
136,2011-05-17,741.63
137,2011-05-18,742.43
138,2011-05-19,742.82
139,2011-05-20,743.02
140,2011-05-21,743.59
141,2011-05-22,744.17
142,2011-05-23,744.55
143,2011-05-24,744.79
144,2011-05-25,745.11
145,2011-05-26,745.54
146,2011-05-27,746.1
147,2011-05-28,746.45
148,2011-05-29,747.25
149,2011-05-30,747.37
150,2011-05-31,747.4
151,2011-06-01,747.66
152,2011-06-02,748.28
153,2011-06-03,748.54
154,2011-06-04,749.41
155,2011-06-05,750.73
156,2011-06-06,751.87
157,2011-06-07,753.33
158,2011-06-08,754.37
159,2011-06-09,755.06
160,2011-06-10,755.75
161,2011-06-11,757.27
162,2011-06-12,758.57
163,2011-06-13,759.15
164,2011-06-14,759.64
165,2011-06-15,760.2
166,2011-06-16,760.59
167,2011-06-17,760.69
168,2011-06-18,761.53
169,2011-06-19,763.2
170,2011-06-20,763.62
171,2011-06-21,763.99
172,2011-06-22,764.56
173,2011-06-23,765.37
174,2011-06-24,765.86
175,2011-06-25,766.13
176,2011-06-26,766.31
177,2011-06-27,766.43
178,2011-06-28,766.78
179,2011-06-29,767.27
180,2011-06-30,767.89
181,2011-07-01,768.38
182,2011-07-02,769.36
183,2011-07-03,770.51
184,2011-07-04,771.6
185,2011-07-05,771.91
186,2011-07-06,772.18
187,2011-07-07,772.92
188,2011-07-08,773.65
189,2011-07-09,774.3
190,2011-07-10,774.87
191,2011-07-11,774.95
192,2011-07-12,775.07
193,2011-07-13,775.19
194,2011-07-14,775.21
195,2011-07-15,775.06
196,2011-07-16,775.57
197,2011-07-17,776.11
198,2011-07-18,776.38
199,2011-07-19,776.52
200,2011-07-20,776.71
201,2011-07-21,776.83
202,2011-07-22,776.7
203,2011-07-23,776.61
204,2011-07-24,776.43
205,2011-07-25,776.34
206,2011-07-26,776.25
