,datetime,SAMMAMISH_LAKE_NEAR_REDMOND__WA.
0,2011-01-01,27.93
1,2011-01-02,27.85
2,2011-01-03,27.77
3,2011-01-04,27.7
4,2011-01-05,27.67
5,2011-01-06,27.65
6,2011-01-07,27.75
7,2011-01-08,27.96
8,2011-01-09,28.02
9,2011-01-10,28.01
10,2011-01-11,27.96
11,2011-01-12,28.02
12,2011-01-13,28.24
13,2011-01-14,28.44
14,2011-01-15,28.57
15,2011-01-16,28.72
16,2011-01-17,28.83
17,2011-01-18,28.84
18,2011-01-19,28.78
19,2011-01-20,28.67
20,2011-01-21,28.72
21,2011-01-22,28.97
22,2011-01-23,29.02
23,2011-01-24,28.97
24,2011-01-25,28.91
25,2011-01-26,28.8
26,2011-01-27,28.67
27,2011-01-28,28.54
28,2011-01-29,28.45
29,2011-01-30,28.4
30,2011-01-31,28.3
31,2011-02-01,28.21
32,2011-02-02,28.11
33,2011-02-03,28.02
34,2011-02-04,27.97
35,2011-02-05,27.93
36,2011-02-06,27.9
37,2011-02-07,27.88
38,2011-02-08,27.86
39,2011-02-09,27.82
40,2011-02-10,27.77
41,2011-02-11,27.72
42,2011-02-12,27.69
43,2011-02-13,27.7
44,2011-02-14,27.73
45,2011-02-15,27.78
46,2011-02-16,27.78
47,2011-02-17,27.76
48,2011-02-18,27.72
49,2011-02-19,27.68
50,2011-02-20,27.63
51,2011-02-21,27.59
52,2011-02-22,27.56
53,2011-02-23,27.54
54,2011-02-24,27.53
55,2011-02-25,27.48
56,2011-02-26,27.44
57,2011-02-27,27.4
58,2011-02-28,27.51
59,2011-03-01,27.55
60,2011-03-02,27.58
61,2011-03-03,27.61
62,2011-03-04,27.65
63,2011-03-05,27.69
64,2011-03-06,27.69
65,2011-03-07,27.68
66,2011-03-08,27.66
67,2011-03-09,27.69
68,2011-03-10,27.97
69,2011-03-11,28.14
70,2011-03-12,28.17
71,2011-03-13,28.2
72,2011-03-14,28.29
73,2011-03-15,28.31
74,2011-03-16,28.38
75,2011-03-17,28.34
76,2011-03-18,28.27
77,2011-03-19,28.24
78,2011-03-20,28.16
79,2011-03-21,28.08
80,2011-03-22,27.99
81,2011-03-23,27.91
82,2011-03-24,27.83
83,2011-03-25,27.77
84,2011-03-26,27.72
85,2011-03-27,27.69
86,2011-03-28,27.67
87,2011-03-29,27.65
88,2011-03-30,27.69
89,2011-03-31,27.83
90,2011-04-01,27.97
91,2011-04-02,28.31
92,2011-04-03,28.53
93,2011-04-04,28.58
94,2011-04-05,28.63
95,2011-04-06,28.63
96,2011-04-07,28.61
97,2011-04-08,28.52
98,2011-04-09,28.42
99,2011-04-10,28.32
100,2011-04-11,28.23
101,2011-04-12,28.14
102,2011-04-13,28.05
103,2011-04-14,28.01
104,2011-04-15,27.98
105,2011-04-16,27.94
106,2011-04-17,27.88
107,2011-04-18,27.83
108,2011-04-19,27.77
109,2011-04-20,27.71
110,2011-04-21,27.66
111,2011-04-22,27.61
112,2011-04-23,27.56
113,2011-04-24,27.51
114,2011-04-25,27.5
115,2011-04-26,27.51
116,2011-04-27,27.5
117,2011-04-28,27.53
118,2011-04-29,27.52
119,2011-04-30,27.5
120,2011-05-01,27.48
121,2011-05-02,27.47
122,2011-05-03,27.46
123,2011-05-04,27.43
124,2011-05-05,27.41
125,2011-05-06,27.39
126,2011-05-07,27.39
127,2011-05-08,27.4
128,2011-05-09,27.4
129,2011-05-10,27.38
130,2011-05-11,27.37
131,2011-05-12,27.38
132,2011-05-13,27.36
133,2011-05-14,27.34
134,2011-05-15,27.55
135,2011-05-16,27.7
136,2011-05-17,27.76
137,2011-05-18,27.76
138,2011-05-19,27.73
139,2011-05-20,27.69
140,2011-05-21,27.65
141,2011-05-22,27.63
142,2011-05-23,27.59
143,2011-05-24,27.54
144,2011-05-25,27.5
145,2011-05-26,27.48
146,2011-05-27,27.45
147,2011-05-28,27.42
148,2011-05-29,27.38
149,2011-05-30,27.34
150,2011-05-31,27.31
151,2011-06-01,27.3
152,2011-06-02,27.31
153,2011-06-03,27.31
154,2011-06-04,27.28
155,2011-06-05,27.26
156,2011-06-06,27.23
157,2011-06-07,27.2
158,2011-06-08,27.18
159,2011-06-09,27.16
160,2011-06-10,27.14
161,2011-06-11,27.1
162,2011-06-12,27.07
163,2011-06-13,27.04
164,2011-06-14,27.0
165,2011-06-15,27.01
166,2011-06-16,26.99
167,2011-06-17,26.96
168,2011-06-18,26.96
169,2011-06-19,26.97
170,2011-06-20,26.97
171,2011-06-21,26.95
172,2011-06-22,26.94
173,2011-06-23,26.92
174,2011-06-24,26.98
175,2011-06-25,27.01
176,2011-06-26,27.0
177,2011-06-27,26.99
178,2011-06-28,26.97
179,2011-06-29,26.94
180,2011-06-30,26.91
181,2011-07-01,26.88
182,2011-07-02,26.85
183,2011-07-03,26.82
184,2011-07-04,26.8
185,2011-07-05,26.77
186,2011-07-06,26.75
187,2011-07-07,26.73
188,2011-07-08,26.7
189,2011-07-09,26.66
190,2011-07-10,26.63
191,2011-07-11,26.6
192,2011-07-12,26.58
193,2011-07-13,26.58
194,2011-07-14,26.57
195,2011-07-15,26.56
196,2011-07-16,26.55
