,datetime,SOUTH_FORK_TOLT_RESERVOIR_NEAR_CARNATION__WA.
0,2011-01-01,1752.79
1,2011-01-02,1752.47
2,2011-01-03,1752.18
3,2011-01-04,1752.04
4,2011-01-05,1752.1
5,2011-01-06,1753.15
6,2011-01-07,1754.94
7,2011-01-08,1755.4
8,2011-01-09,1755.37
9,2011-01-10,1755.22
10,2011-01-11,1755.04
11,2011-01-12,1755.19
12,2011-01-13,1756.83
13,2011-01-14,1759.31
14,2011-01-15,1760.32
15,2011-01-16,1763.71
16,2011-01-17,1764.0
17,2011-01-18,1763.18
18,2011-01-19,1762.69
19,2011-01-20,1762.44
20,2011-01-21,1763.08
21,2011-01-22,1762.82
22,2011-01-23,1762.53
23,2011-01-24,1762.34
24,2011-01-25,1761.43
25,2011-01-26,1760.23
26,2011-01-27,1758.94
27,2011-01-28,1757.77
28,2011-01-29,1757.6
29,2011-01-30,1757.36
30,2011-01-31,1757.06
31,2011-02-01,1756.51
32,2011-02-02,1755.77
33,2011-02-03,1755.01
34,2011-02-04,1755.08
35,2011-02-05,1754.94
36,2011-02-06,1754.81
37,2011-02-07,1754.84
38,2011-02-08,1754.33
39,2011-02-09,1753.73
40,2011-02-10,1753.42
41,2011-02-11,1753.19
42,2011-02-12,1753.09
43,2011-02-13,1752.96
44,2011-02-14,1752.93
45,2011-02-15,1752.97
46,2011-02-16,1753.1
47,2011-02-17,1753.16
48,2011-02-18,1753.14
49,2011-02-19,1753.16
50,2011-02-20,1753.14
51,2011-02-21,1753.13
52,2011-02-22,1753.15
53,2011-02-23,1753.08
54,2011-02-24,1753.04
55,2011-02-25,1752.92
56,2011-02-26,1752.85
57,2011-02-27,1752.84
58,2011-02-28,1752.8
59,2011-03-01,1752.74
60,2011-03-02,1752.67
61,2011-03-03,1752.63
62,2011-03-04,1752.55
63,2011-03-05,1752.51
64,2011-03-06,1752.43
65,2011-03-07,1752.32
66,2011-03-08,1752.26
67,2011-03-09,1752.41
68,2011-03-10,1753.35
69,2011-03-11,1753.69
70,2011-03-12,1753.86
71,2011-03-13,1754.11
72,2011-03-14,1754.5
73,2011-03-15,1754.89
74,2011-03-16,1755.23
75,2011-03-17,1755.41
76,2011-03-18,1755.52
77,2011-03-19,1755.55
78,2011-03-20,1755.55
79,2011-03-21,1755.58
80,2011-03-22,1755.57
81,2011-03-23,1755.61
82,2011-03-24,1755.55
83,2011-03-25,1755.59
84,2011-03-26,1755.61
85,2011-03-27,1755.67
86,2011-03-28,1755.66
87,2011-03-29,1755.94
88,2011-03-30,1759.52
89,2011-03-31,1763.6
90,2011-04-01,1763.67
91,2011-04-02,1763.33
92,2011-04-03,1762.82
93,2011-04-04,1762.68
94,2011-04-05,1762.55
95,2011-04-06,1762.36
96,2011-04-07,1761.93
97,2011-04-08,1760.83
98,2011-04-09,1759.71
99,2011-04-10,1758.74
100,2011-04-11,1757.9
101,2011-04-12,1757.34
102,2011-04-13,1757.06
103,2011-04-14,1756.88
104,2011-04-15,1756.6
105,2011-04-16,1756.67
106,2011-04-17,1756.77
107,2011-04-18,1756.8
108,2011-04-19,1756.73
109,2011-04-20,1756.61
110,2011-04-21,1756.51
111,2011-04-22,1756.47
112,2011-04-23,1756.44
113,2011-04-24,1756.53
114,2011-04-25,1756.73
115,2011-04-26,1756.9
116,2011-04-27,1757.11
117,2011-04-28,1757.27
118,2011-04-29,1757.36
119,2011-04-30,1757.42
120,2011-05-01,1757.44
121,2011-05-02,1757.57
122,2011-05-03,1757.82
123,2011-05-04,1757.97
124,2011-05-05,1758.18
125,2011-05-06,1758.63
126,2011-05-07,1759.22
127,2011-05-08,1759.62
128,2011-05-09,1759.77
129,2011-05-10,1759.94
130,2011-05-11,1760.28
131,2011-05-12,1760.6
132,2011-05-13,1760.69
133,2011-05-14,1760.97
134,2011-05-15,1761.85
135,2011-05-16,1762.73
136,2011-05-17,1763.1
137,2011-05-18,1763.1
138,2011-05-19,1763.04
139,2011-05-20,1762.95
140,2011-05-21,1762.93
141,2011-05-22,1762.84
142,2011-05-23,1762.66
143,2011-05-24,1762.5
144,2011-05-25,1762.4
145,2011-05-26,1762.46
146,2011-05-27,1762.64
147,2011-05-28,1762.75
148,2011-05-29,1762.74
149,2011-05-30,1762.72
150,2011-05-31,1762.69
151,2011-06-01,1762.91
152,2011-06-02,1763.33
153,2011-06-03,1763.68
154,2011-06-04,1763.96
155,2011-06-05,1764.29
156,2011-06-06,1764.54
157,2011-06-07,1764.7
158,2011-06-08,1764.94
159,2011-06-09,1764.97
160,2011-06-10,1764.97
161,2011-06-11,1764.98
162,2011-06-12,1764.87
163,2011-06-13,1764.93
164,2011-06-14,1764.99
165,2011-06-15,1765.13
166,2011-06-16,1765.11
167,2011-06-17,1765.03
168,2011-06-18,1765.14
169,2011-06-19,1765.23
170,2011-06-20,1765.16
171,2011-06-21,1765.03
172,2011-06-22,1764.98
173,2011-06-23,1764.98
174,2011-06-24,1765.15
175,2011-06-25,1765.13
176,2011-06-26,1764.99
177,2011-06-27,1764.92
178,2011-06-28,1764.94
179,2011-06-29,1765.14
180,2011-06-30,1765.24
181,2011-07-01,1765.17
182,2011-07-02,1765.14
183,2011-07-03,1765.19
184,2011-07-04,1765.11
185,2011-07-05,1765.06
186,2011-07-06,1764.95
187,2011-07-07,1764.9
188,2011-07-08,1764.9
189,2011-07-09,1764.82
190,2011-07-10,1764.66
191,2011-07-11,1764.53
192,2011-07-12,1764.42
193,2011-07-13,1764.42
194,2011-07-14,1764.44
195,2011-07-15,1764.41
196,2011-07-16,1764.43
197,2011-07-17,1764.43
198,2011-07-18,1764.42
199,2011-07-19,1764.38
200,2011-07-20,1764.34
201,2011-07-21,1764.5
202,2011-07-22,1764.51
203,2011-07-23,1764.4
204,2011-07-24,1764.25
205,2011-07-25,1764.12
206,2011-07-26,1764.07
207,2011-07-27,1763.98
208,2011-07-28,1763.83
209,2011-07-29,1763.64
210,2011-07-30,1763.43
211,2011-07-31,1763.3
212,2011-08-01,1763.16
213,2011-08-02,1762.98
214,2011-08-03,1762.78
215,2011-08-04,1762.56
216,2011-08-05,1762.32
217,2011-08-06,1762.1
218,2011-08-07,1761.89
219,2011-08-08,1761.67
220,2011-08-09,1761.44
221,2011-08-10,1761.21
222,2011-08-11,1760.98
223,2011-08-12,1760.74
224,2011-08-13,1760.51
225,2011-08-14,1760.28
226,2011-08-15,1760.06
227,2011-08-16,1759.83
228,2011-08-17,1759.56
229,2011-08-18,1759.28
230,2011-08-19,1759.0
231,2011-08-20,1758.74
232,2011-08-21,1758.49
233,2011-08-22,1758.26
234,2011-08-23,1758.15
235,2011-08-24,1757.95
236,2011-08-25,1757.73
237,2011-08-26,1757.46
238,2011-08-27,1757.17
239,2011-08-28,1756.91
240,2011-08-29,1756.65
241,2011-08-30,1756.38
242,2011-08-31,1756.11
243,2011-09-01,1755.82
244,2011-09-02,1755.5
245,2011-09-03,1755.21
246,2011-09-04,1754.89
247,2011-09-05,1754.59
248,2011-09-06,1754.29
249,2011-09-07,1753.98
250,2011-09-08,1753.67
251,2011-09-09,1753.35
252,2011-09-10,1753.03
253,2011-09-11,1752.73
254,2011-09-12,1752.42
255,2011-09-13,1752.12
256,2011-09-14,1751.83
257,2011-09-15,1751.59
258,2011-09-16,1751.36
259,2011-09-17,1751.1
260,2011-09-18,1750.98
261,2011-09-19,1750.87
262,2011-09-20,1750.67
263,2011-09-21,1750.44
264,2011-09-22,1750.19
265,2011-09-23,1749.9
266,2011-09-24,1749.63
267,2011-09-25,1749.48
268,2011-09-26,1749.36
269,2011-09-27,1749.44
270,2011-09-28,1749.36
271,2011-09-29,1749.13
272,2011-09-30,1748.96
273,2011-10-01,1748.81
274,2011-10-02,1748.66
275,2011-10-03,1748.51
276,2011-10-04,1748.36
277,2011-10-05,1748.26
278,2011-10-06,1748.18
279,2011-10-07,1748.13
280,2011-10-08,1748.07
281,2011-10-09,1747.99
282,2011-10-10,1747.96
283,2011-10-11,1749.14
284,2011-10-12,1749.67
285,2011-10-13,1749.71
286,2011-10-14,1749.66
287,2011-10-15,1749.57
288,2011-10-16,1749.46
289,2011-10-17,1749.3
290,2011-10-18,1749.15
291,2011-10-19,1748.99
292,2011-10-20,1748.84
293,2011-10-21,1748.87
294,2011-10-22,1749.8
295,2011-10-23,1750.21
296,2011-10-24,1750.31
297,2011-10-25,1750.3
298,2011-10-26,1750.28
299,2011-10-27,1750.17
300,2011-10-28,1750.27
301,2011-10-29,1750.78
302,2011-10-30,1751.53
303,2011-10-31,1751.93
304,2011-11-01,1752.03
305,2011-11-02,1752.0
306,2011-11-03,1751.99
307,2011-11-04,1751.9
308,2011-11-05,1751.82
309,2011-11-06,1751.71
310,2011-11-07,1751.64
311,2011-11-08,1751.53
312,2011-11-09,1751.41
313,2011-11-10,1751.28
314,2011-11-11,1751.37
315,2011-11-12,1751.44
316,2011-11-13,1751.76
317,2011-11-14,1752.04
318,2011-11-15,1752.08
319,2011-11-16,1752.14
320,2011-11-17,1752.56
321,2011-11-18,1752.68
322,2011-11-19,1752.67
323,2011-11-20,1752.63
324,2011-11-21,1752.64
325,2011-11-22,1753.4
326,2011-11-23,1754.84
327,2011-11-24,1755.02
328,2011-11-25,1754.99
329,2011-11-26,1754.78
330,2011-11-27,1755.38
331,2011-11-28,1755.47
332,2011-11-29,1755.33
333,2011-11-30,1755.21
334,2011-12-01,1754.98
335,2011-12-02,1754.71
336,2011-12-03,1754.38
337,2011-12-04,1754.03
338,2011-12-05,1753.74
339,2011-12-06,1753.55
340,2011-12-07,1753.42
341,2011-12-08,1753.29
342,2011-12-09,1753.16
343,2011-12-10,1753.07
344,2011-12-11,1752.96
345,2011-12-12,1752.81
