,datetime,TRINITY_LAKE_NR_LEWISTON_CA.
0,2011-01-01,1708000
1,2011-01-02,1711000
2,2011-01-03,1713000
3,2011-01-04,1714000
4,2011-01-05,1716000
5,2011-01-06,1718000
6,2011-01-07,1718000
7,2011-01-08,1720000
8,2011-01-09,1721000
9,2011-01-10,1723000
10,2011-01-11,1725000
11,2011-01-12,1727000
12,2011-01-13,1731000
13,2011-01-14,1734000
14,2011-01-15,1739000
15,2011-01-16,1746000
16,2011-01-17,1756000
17,2011-01-18,1764000
18,2011-01-19,1771000
19,2011-01-20,1776000
20,2011-01-21,1781000
21,2011-01-22,1787000
22,2011-01-23,1791000
23,2011-01-24,1796000
24,2011-01-25,1800000
25,2011-01-26,1804000
26,2011-01-27,1808000
27,2011-01-28,1811000
28,2011-01-29,1815000
29,2011-01-30,1818000
30,2011-01-31,1821000
31,2011-02-01,1824000
32,2011-02-02,1825000
33,2011-02-03,1827000
34,2011-02-04,1830000
35,2011-02-05,1832000
36,2011-02-06,1835000
37,2011-02-07,1838000
38,2011-02-08,1840000
39,2011-02-09,1842000
40,2011-02-10,1844000
41,2011-02-11,1846000
42,2011-02-12,1848000
43,2011-02-13,1850000
44,2011-02-14,1852000
45,2011-02-15,1858000
46,2011-02-16,1863000
47,2011-02-17,1868000
48,2011-02-18,1871000
49,2011-02-19,1874000
50,2011-02-20,1876000
51,2011-02-21,1879000
52,2011-02-22,1881000
53,2011-02-23,1882000
54,2011-02-24,1884000
55,2011-02-25,1886000
56,2011-02-26,1888000
57,2011-02-27,1889000
58,2011-02-28,1891000
59,2011-03-01,1893000
60,2011-03-02,1893000
61,2011-03-03,1900000
62,2011-03-04,1903000
63,2011-03-05,1907000
64,2011-03-06,1911000
65,2011-03-07,1914000
66,2011-03-08,1919000
67,2011-03-09,1922000
68,2011-03-10,1927000
69,2011-03-11,1932000
70,2011-03-12,1937000
71,2011-03-13,1945000
72,2011-03-14,1954000
73,2011-03-15,1968000
74,2011-03-16,1984000
75,2011-03-17,1994000
76,2011-03-18,2003000
77,2011-03-19,2012000
78,2011-03-20,2021000
79,2011-03-21,2030000
80,2011-03-22,2037000
81,2011-03-23,2045000
82,2011-03-24,2056000
83,2011-03-25,2065000
84,2011-03-26,2075000
85,2011-03-27,2083000
86,2011-03-28,2090000
87,2011-03-29,2095000
88,2011-03-30,2101000
89,2011-03-31,2108000
90,2011-04-01,2117000
91,2011-04-02,2127000
92,2011-04-03,2136000
93,2011-04-04,2144000
94,2011-04-05,2152000
95,2011-04-06,2161000
96,2011-04-07,2168000
97,2011-04-08,2175000
98,2011-04-09,2181000
99,2011-04-10,2186000
100,2011-04-11,2191000
101,2011-04-12,2196000
102,2011-04-13,2200000
103,2011-04-14,2204000
104,2011-04-15,2210000
105,2011-04-16,2216000
106,2011-04-17,2225000
107,2011-04-18,2236000
108,2011-04-19,2247000
109,2011-04-20,2256000
110,2011-04-21,2264000
111,2011-04-22,2270000
112,2011-04-23,2276000
113,2011-04-24,2284000
114,2011-04-25,2291000
115,2011-04-26,2298000
116,2011-04-27,2304000
117,2011-04-28,2309000
118,2011-04-29,2313000
119,2011-04-30,2314000
120,2011-05-01,2311000
121,2011-05-02,2300000
122,2011-05-03,2293000
123,2011-05-04,2276000
124,2011-05-05,2264000
125,2011-05-06,2255000
126,2011-05-07,2249000
127,2011-05-08,2244000
128,2011-05-09,2244000
129,2011-05-10,2244000
130,2011-05-11,2244000
131,2011-05-12,2247000
132,2011-05-13,2249000
133,2011-05-14,2252000
134,2011-05-15,2252000
135,2011-05-16,2254000
136,2011-05-17,2254000
137,2011-05-18,2253000
138,2011-05-19,2252000
139,2011-05-20,2251000
140,2011-05-21,2251000
141,2011-05-22,2251000
142,2011-05-23,2259000
143,2011-05-24,2262000
144,2011-05-25,2266000
145,2011-05-26,2269000
146,2011-05-27,2269000
147,2011-05-28,2270000
148,2011-05-29,2270000
149,2011-05-30,2270000
150,2011-05-31,2272000
151,2011-06-01,2274000
152,2011-06-02,2274000
153,2011-06-03,2273000
154,2011-06-04,2276000
155,2011-06-05,2279000
156,2011-06-06,2285000
157,2011-06-07,2290000
158,2011-06-08,2296000
159,2011-06-09,2302000
160,2011-06-10,2308000
161,2011-06-11,2315000
162,2011-06-12,2320000
163,2011-06-13,2329000
164,2011-06-14,2337000
165,2011-06-15,2345000
166,2011-06-16,2350000
167,2011-06-17,2354000
168,2011-06-18,2359000
169,2011-06-19,2365000
170,2011-06-20,2371000
171,2011-06-21,2377000
172,2011-06-22,2384000
173,2011-06-23,2387000
174,2011-06-24,2390000
175,2011-06-25,2391000
176,2011-06-26,2393000
177,2011-06-27,2395000
178,2011-06-28,2409000
179,2011-06-29,2416000
180,2011-06-30,2419000
181,2011-07-01,2421000
182,2011-07-02,2423000
183,2011-07-03,2424000
184,2011-07-04,2424000
185,2011-07-05,2425000
186,2011-07-06,2426000
187,2011-07-07,2426000
188,2011-07-08,2425000
189,2011-07-09,2424000
190,2011-07-10,2421000
191,2011-07-11,2419000
192,2011-07-12,2415000
193,2011-07-13,2412000
194,2011-07-14,2410000
195,2011-07-15,2407000
196,2011-07-16,2406000
197,2011-07-17,2404000
198,2011-07-18,2402000
199,2011-07-19,2401000
200,2011-07-20,2399000
201,2011-07-21,2398000
202,2011-07-22,2397000
203,2011-07-23,2395000
204,2011-07-24,2394000
205,2011-07-25,2391000
206,2011-07-26,2388000
207,2011-07-27,2386000
208,2011-07-28,2383000
209,2011-07-29,2381000
210,2011-07-30,2379000
211,2011-07-31,2377000
212,2011-08-01,2375000
213,2011-08-02,2373000
214,2011-08-03,2370000
215,2011-08-04,2368000
216,2011-08-05,2365000
217,2011-08-06,2363000
218,2011-08-07,2360000
219,2011-08-08,2358000
220,2011-08-09,2354000
221,2011-08-10,2352000
222,2011-08-11,2348000
223,2011-08-12,2345000
224,2011-08-13,2342000
225,2011-08-14,2339000
226,2011-08-15,2336000
227,2011-08-16,2333000
228,2011-08-17,2330000
229,2011-08-18,2328000
230,2011-08-19,2325000
231,2011-08-20,2322000
232,2011-08-21,2319000
233,2011-08-22,2315000
234,2011-08-23,2313000
235,2011-08-24,2310000
236,2011-08-25,2307000
237,2011-08-26,2304000
238,2011-08-27,2301000
239,2011-08-28,2297000
240,2011-08-29,2291000
241,2011-08-30,2285000
242,2011-08-31,2280000
243,2011-09-01,2276000
244,2011-09-02,2272000
245,2011-09-03,2269000
246,2011-09-04,2266000
247,2011-09-05,2263000
248,2011-09-06,2259000
249,2011-09-07,2256000
250,2011-09-08,2254000
251,2011-09-09,2249000
252,2011-09-10,2245000
253,2011-09-11,2241000
254,2011-09-12,2238000
255,2011-09-13,2234000
256,2011-09-14,2230000
257,2011-09-15,2225000
258,2011-09-16,2220000
259,2011-09-17,2216000
260,2011-09-18,2212000
261,2011-09-19,2209000
262,2011-09-20,2205000
263,2011-09-21,2201000
264,2011-09-22,2198000
265,2011-09-23,2194000
266,2011-09-24,2189000
267,2011-09-25,2185000
268,2011-09-26,2180000
269,2011-09-27,2177000
270,2011-09-28,2174000
271,2011-09-29,2171000
272,2011-09-30,2167000
273,2011-10-01,2162000
274,2011-10-02,2157000
275,2011-10-03,2154000
276,2011-10-04,2152000
277,2011-10-05,2149000
278,2011-10-06,2146000
279,2011-10-07,2142000
280,2011-10-08,2139000
281,2011-10-09,2136000
282,2011-10-10,2135000
283,2011-10-11,2132000
284,2011-10-12,2129000
285,2011-10-13,2126000
286,2011-10-14,2122000
287,2011-10-15,2119000
288,2011-10-16,2116000
289,2011-10-17,2112000
290,2011-10-18,2109000
291,2011-10-19,2105000
292,2011-10-20,2102000
293,2011-10-21,2098000
294,2011-10-22,2094000
295,2011-10-23,2091000
296,2011-10-24,2088000
297,2011-10-25,2084000
298,2011-10-26,2080000
299,2011-10-27,2077000
300,2011-10-28,2076000
