,datetime,UPPER_BLUE_LAKE_NR_MARKLEEVILLE_CA.
0,2011-05-13,3240.0
1,2011-05-14,3240.0
2,2011-05-15,3240.0
3,2011-05-16,4800.0
4,2011-05-17,4800.0
5,2011-05-18,4800.0
6,2011-05-19,4800.0
7,2011-05-20,4800.0
8,2011-05-21,4800.0
9,2011-05-22,4800.0
10,2011-05-23,4800.0
11,2011-05-24,4800.0
12,2011-05-25,4800.0
13,2011-05-26,4800.0
14,2011-05-27,4800.0
15,2011-05-28,4800.0
16,2011-05-29,4800.0
17,2011-05-30,4800.0
18,2011-05-31,4800.0
19,2011-06-01,4800.0
20,2011-06-02,4800.0
21,2011-06-03,4800.0
22,2011-06-04,4800.0
23,2011-06-05,4800.0
24,2011-06-06,4800.0
25,2011-06-07,4870.0
26,2011-06-08,5020.0
27,2011-06-09,5180.0
28,2011-06-10,5330.0
29,2011-06-11,5490.0
30,2011-06-12,5650.0
31,2011-06-13,5810.0
32,2011-06-14,5970.0
33,2011-06-15,6090.0
34,2011-06-16,6210.0
35,2011-06-17,6310.0
36,2011-06-18,6410.0
37,2011-06-19,6530.0
38,2011-06-20,6630.0
39,2011-06-21,6770.0
40,2011-06-22,6900.0
41,2011-06-23,7050.0
42,2011-06-24,7190.0
43,2011-06-25,7210.0
44,2011-06-26,7110.0
45,2011-06-27,7050.0
46,2011-06-28,7030.0
47,2011-06-29,7040.0
48,2011-06-30,6980.0
49,2011-07-01,6970.0
50,2011-07-02,6960.0
51,2011-07-03,6980.0
52,2011-07-04,6990.0
53,2011-07-05,7040.0
54,2011-07-06,7210.0
55,2011-07-07,7210.0
56,2011-07-08,7240.0
57,2011-07-09,7250.0
58,2011-07-10,7240.0
59,2011-07-11,7230.0
60,2011-07-12,7220.0
61,2011-07-13,7220.0
62,2011-07-14,7230.0
63,2011-07-15,7250.0
64,2011-07-16,7260.0
65,2011-07-17,7270.0
66,2011-07-18,7270.0
67,2011-07-19,7280.0
68,2011-07-20,7260.0
69,2011-07-21,7260.0
70,2011-07-22,7260.0
71,2011-07-23,7270.0
72,2011-07-24,7260.0
73,2011-07-25,7270.0
74,2011-07-26,7260.0
75,2011-07-27,7280.0
76,2011-07-28,7290.0
77,2011-07-29,7300.0
78,2011-07-30,7300.0
79,2011-07-31,7300.0
80,2011-08-01,7280.0
81,2011-08-02,7240.0
82,2011-08-03,7170.0
83,2011-08-04,7080.0
84,2011-08-05,6990.0
85,2011-08-06,6930.0
86,2011-08-07,6830.0
87,2011-08-08,6770.0
88,2011-08-09,6690.0
89,2011-08-10,6590.0
90,2011-08-11,6520.0
91,2011-08-12,6450.0
92,2011-08-13,6340.0
93,2011-08-14,6270.0
94,2011-08-15,6190.0
95,2011-08-16,6090.0
96,2011-08-17,6010.0
97,2011-08-18,5920.0
98,2011-08-19,5850.0
99,2011-08-20,5730.0
100,2011-08-21,5650.0
101,2011-08-22,5560.0
102,2011-08-23,5470.0
103,2011-08-24,5390.0
104,2011-08-25,5300.0
105,2011-08-26,5210.0
106,2011-08-27,5130.0
107,2011-08-28,5050.0
108,2011-08-29,4960.0
109,2011-08-30,4870.0
110,2011-08-31,4780.0
111,2011-09-01,4700.0
112,2011-09-02,4620.0
113,2011-09-03,4540.0
114,2011-09-04,4450.0
115,2011-09-05,4380.0
116,2011-09-06,4290.0
