,datetime,UPPER_KLAMATH_LAKE_NEAR_KLAMATH_FALLS__OR.
0,2011-01-01,8281.7
1,2011-01-02,8281.74
2,2011-01-03,8281.779999999999
3,2011-01-04,8281.81
4,2011-01-05,8281.86
5,2011-01-06,8281.869999999999
6,2011-01-07,8281.89
7,2011-01-08,8281.95
8,2011-01-09,8281.97
9,2011-01-10,8282.01
10,2011-01-11,8282.02
11,2011-01-12,8282.060000000001
12,2011-01-13,8282.18
13,2011-01-14,8282.29
14,2011-01-15,8282.29
15,2011-01-16,8282.46
16,2011-01-17,8282.68
17,2011-01-18,8282.9
18,2011-01-19,8283.02
19,2011-01-20,8283.189999999999
20,2011-01-21,8283.34
21,2011-01-22,8283.43
22,2011-01-23,8283.49
23,2011-01-24,8283.580000000002
24,2011-01-25,8283.6
25,2011-01-26,8283.66
26,2011-01-27,8283.71
27,2011-01-28,8283.75
28,2011-01-29,8283.7
29,2011-01-30,8283.8
30,2011-01-31,8283.89
31,2011-02-01,8283.96
32,2011-02-02,8283.9
33,2011-02-03,8283.89
34,2011-02-04,8283.93
35,2011-02-05,8283.93
36,2011-02-06,8283.89
37,2011-02-07,8284.33
38,2011-02-08,8283.91
39,2011-02-09,8283.81
40,2011-02-10,8283.74
41,2011-02-11,8283.64
42,2011-02-12,8283.39
43,2011-02-13,8283.08
44,2011-02-14,8282.41
45,2011-02-15,8283.26
46,2011-02-16,8283.51
47,2011-02-17,8283.61
48,2011-02-18,8283.89
49,2011-02-19,8283.98
50,2011-02-20,8283.970000000001
51,2011-02-21,8283.94
52,2011-02-22,8284.189999999999
53,2011-02-23,8283.93
54,2011-02-24,8284.15
55,2011-02-25,8284.65
56,2011-02-26,8284.23
57,2011-02-27,8284.060000000001
58,2011-02-28,8284.02
59,2011-03-01,8282.9
60,2011-03-02,8283.98
61,2011-03-03,8284.14
62,2011-03-04,8283.96
63,2011-03-05,8284.14
64,2011-03-06,8284.5
65,2011-03-07,8284.32
66,2011-03-08,8284.310000000001
67,2011-03-09,8284.16
68,2011-03-10,8284.51
69,2011-03-11,8284.720000000001
70,2011-03-12,8284.59
71,2011-03-13,8284.6
72,2011-03-14,8284.63
73,2011-03-15,8284.939999999999
74,2011-03-16,8285.24
75,2011-03-17,8284.92
76,2011-03-18,8285.18
77,2011-03-19,8285.58
78,2011-03-20,8285.58
79,2011-03-21,8285.95
80,2011-03-22,8285.75
81,2011-03-23,8285.22
82,2011-03-24,8285.32
83,2011-03-25,8285.79
84,2011-03-26,8285.939999999999
85,2011-03-27,8286.12
86,2011-03-28,8286.17
87,2011-03-29,8286.16
88,2011-03-30,8286.189999999999
89,2011-03-31,8286.24
90,2011-04-01,8286.21
91,2011-04-02,8286.42
92,2011-04-03,8286.08
93,2011-04-04,8286.11
94,2011-04-05,8286.2
95,2011-04-06,8286.27
96,2011-04-07,8286.509999999998
97,2011-04-08,8286.34
98,2011-04-09,8286.08
99,2011-04-10,8285.77
100,2011-04-11,8286.119999999999
101,2011-04-12,8286.09
102,2011-04-13,8286.0
103,2011-04-14,8285.880000000001
104,2011-04-15,8285.74
105,2011-04-16,8285.93
106,2011-04-17,8286.11
107,2011-04-18,8286.3
108,2011-04-19,8286.21
109,2011-04-20,8286.27
110,2011-04-21,8286.32
111,2011-04-22,8286.24
112,2011-04-23,8286.17
113,2011-04-24,8286.14
114,2011-04-25,8286.4
115,2011-04-26,8286.41
116,2011-04-27,8286.29
117,2011-04-28,8286.65
118,2011-04-29,8286.54
119,2011-04-30,8286.3
120,2011-05-01,8286.19
121,2011-05-02,8286.34
122,2011-05-03,8286.279999999999
123,2011-05-04,8286.14
124,2011-05-05,8286.22
125,2011-05-06,8286.06
126,2011-05-07,8286.14
127,2011-05-08,8286.09
128,2011-05-09,8286.05
129,2011-05-10,8285.849999999999
130,2011-05-11,8285.8
131,2011-05-12,8285.869999999999
132,2011-05-13,8285.650000000001
133,2011-05-14,8285.55
134,2011-05-15,8285.54
135,2011-05-16,8285.43
136,2011-05-17,8285.65
137,2011-05-18,8285.86
138,2011-05-19,8285.75
139,2011-05-20,8285.85
140,2011-05-21,8285.740000000002
141,2011-05-22,8285.94
142,2011-05-23,8285.810000000001
143,2011-05-24,8285.32
144,2011-05-25,8285.3
145,2011-05-26,8285.310000000001
146,2011-05-27,8285.68
147,2011-05-28,8286.119999999999
148,2011-05-29,8285.880000000001
149,2011-05-30,8285.34
150,2011-05-31,8285.49
151,2011-06-01,8285.6
152,2011-06-02,8285.54
153,2011-06-03,8285.48
154,2011-06-04,8285.47
155,2011-06-05,8285.560000000001
156,2011-06-06,8285.75
157,2011-06-07,8285.52
158,2011-06-08,8285.4
159,2011-06-09,8285.4
160,2011-06-10,8285.31
161,2011-06-11,8285.18
162,2011-06-12,8285.12
163,2011-06-13,8285.11
164,2011-06-14,8285.16
165,2011-06-15,8285.23
166,2011-06-16,8285.02
167,2011-06-17,8285.04
168,2011-06-18,8285.07
169,2011-06-19,8284.779999999999
170,2011-06-20,8284.779999999999
171,2011-06-21,8284.72
172,2011-06-22,8284.73
173,2011-06-23,8284.779999999999
174,2011-06-24,8284.619999999999
175,2011-06-25,8284.58
176,2011-06-26,8284.47
177,2011-06-27,8284.19
178,2011-06-28,8284.05
179,2011-06-29,8284.439999999999
180,2011-06-30,8284.41
181,2011-07-01,8284.400000000001
182,2011-07-02,8284.42
183,2011-07-03,8284.3
184,2011-07-04,8284.25
185,2011-07-05,8284.39
186,2011-07-06,8284.060000000001
187,2011-07-07,8284.1
188,2011-07-08,8283.91
189,2011-07-09,8283.779999999999
190,2011-07-10,8283.62
191,2011-07-11,8283.49
192,2011-07-12,8283.439999999999
193,2011-07-13,8283.400000000001
194,2011-07-14,8283.24
195,2011-07-15,8283.2
196,2011-07-16,8282.970000000001
197,2011-07-17,8282.84
198,2011-07-18,8282.91
199,2011-07-19,8282.990000000002
200,2011-07-20,8282.990000000002
201,2011-07-21,8282.99
202,2011-07-22,8282.9
203,2011-07-23,8282.77
204,2011-07-24,8282.64
205,2011-07-25,8282.77
206,2011-07-26,8282.75
207,2011-07-27,8282.76
208,2011-07-28,8282.61
209,2011-07-29,8282.47
210,2011-07-30,8282.32
211,2011-07-31,8282.2
212,2011-08-01,8282.1
213,2011-08-02,8282.04
214,2011-08-03,8282.01
215,2011-08-04,8281.96
216,2011-08-05,8281.93
217,2011-08-06,8281.8
218,2011-08-07,8281.810000000001
219,2011-08-08,8281.68
220,2011-08-09,8281.630000000001
221,2011-08-10,8281.58
222,2011-08-11,8281.56
223,2011-08-12,8281.48
224,2011-08-13,8281.17
225,2011-08-14,8281.22
226,2011-08-15,8281.11
227,2011-08-16,8280.99
228,2011-08-17,8280.95
229,2011-08-18,8280.93
230,2011-08-19,8281.11
231,2011-08-20,8280.720000000001
232,2011-08-21,8280.57
233,2011-08-22,8280.439999999999
234,2011-08-23,8280.38
235,2011-08-24,8280.23
236,2011-08-25,8280.16
237,2011-08-26,8280.1
238,2011-08-27,8280.060000000001
239,2011-08-28,8280.02
240,2011-08-29,8279.93
241,2011-08-30,8280.01
242,2011-08-31,8280.099999999999
243,2011-09-01,8279.84
244,2011-09-02,8279.86
245,2011-09-03,8279.6
246,2011-09-04,8279.43
247,2011-09-05,8279.39
248,2011-09-06,8279.35
249,2011-09-07,8279.34
250,2011-09-08,8279.439999999999
251,2011-09-09,8279.31
252,2011-09-10,8279.130000000001
253,2011-09-11,8278.93
254,2011-09-12,8278.79
255,2011-09-13,8278.8
256,2011-09-14,8278.869999999999
257,2011-09-15,8278.970000000001
258,2011-09-16,8278.79
259,2011-09-17,8278.630000000001
260,2011-09-18,8278.6
261,2011-09-19,8278.62
262,2011-09-20,8278.6
263,2011-09-21,8278.59
264,2011-09-22,8278.5
265,2011-09-23,8278.46
266,2011-09-24,8278.099999999999
267,2011-09-25,8278.27
268,2011-09-26,8278.369999999999
269,2011-09-27,8278.52
270,2011-09-28,8278.46
271,2011-09-29,8278.34
272,2011-09-30,8277.98
273,2011-10-01,8278.03
274,2011-10-02,8277.66
275,2011-10-03,8278.02
276,2011-10-04,8277.779999999999
277,2011-10-05,8278.189999999999
278,2011-10-06,8278.369999999999
279,2011-10-07,8278.33
280,2011-10-08,8278.43
281,2011-10-09,8278.24
282,2011-10-10,8278.18
283,2011-10-11,8278.36
284,2011-10-12,8278.54
285,2011-10-13,8278.52
286,2011-10-14,8278.5
287,2011-10-15,8278.54
288,2011-10-16,8278.66
289,2011-10-17,8278.69
290,2011-10-18,8278.7
291,2011-10-19,8278.75
292,2011-10-20,8278.71
293,2011-10-21,8278.77
294,2011-10-22,8278.84
295,2011-10-23,8278.82
296,2011-10-24,8279.24
297,2011-10-25,8279.04
298,2011-10-26,8278.93
299,2011-10-27,8278.83
300,2011-10-28,8278.82
301,2011-10-29,8278.86
302,2011-10-30,8278.869999999999
303,2011-10-31,8279.27
304,2011-11-01,8279.01
305,2011-11-02,8278.810000000001
306,2011-11-03,8278.98
307,2011-11-04,8278.92
308,2011-11-05,8278.66
309,2011-11-06,8278.92
310,2011-11-07,8278.970000000001
311,2011-11-08,8278.99
312,2011-11-09,8278.970000000001
313,2011-11-10,8278.95
314,2011-11-11,8278.94
315,2011-11-12,8278.9
316,2011-11-13,8279.14
317,2011-11-14,8279.1
318,2011-11-15,8278.95
319,2011-11-16,8278.8
320,2011-11-17,8278.92
321,2011-11-18,8278.96
322,2011-11-19,8278.99
323,2011-11-20,8279.01
324,2011-11-21,8278.75
325,2011-11-22,8277.93
326,2011-11-23,8278.7
327,2011-11-24,8278.99
328,2011-11-25,8279.22
329,2011-11-26,8279.27
330,2011-11-27,8279.3
331,2011-11-28,8279.33
332,2011-11-29,8279.75
333,2011-11-30,8279.83
334,2011-12-01,8279.6
335,2011-12-02,8279.74
336,2011-12-03,8279.369999999999
337,2011-12-04,8279.54
338,2011-12-05,8279.439999999999
339,2011-12-06,8279.36
340,2011-12-07,8279.34
341,2011-12-08,8279.43
342,2011-12-09,8279.42
