,datetime,UPPER_KLAMATH_LAKE_NR_K.FALLS(WEIGHT-MEAN_ELEV)_OR.
0,2011-01-01,8283.69
1,2011-01-02,8283.72
2,2011-01-03,8283.76
3,2011-01-04,8283.79
4,2011-01-05,8283.83
5,2011-01-06,8283.869999999999
6,2011-01-07,8283.91
7,2011-01-08,8283.95
8,2011-01-09,8283.97
9,2011-01-10,8284.01
10,2011-01-11,8284.04
11,2011-01-12,8284.07
12,2011-01-13,8284.19
13,2011-01-14,8284.27
14,2011-01-15,8284.33
15,2011-01-16,8284.47
16,2011-01-17,8284.65
17,2011-01-18,8284.83
18,2011-01-19,8285.01
19,2011-01-20,8285.15
20,2011-01-21,8285.29
21,2011-01-22,8285.39
22,2011-01-23,8285.49
23,2011-01-24,8285.55
24,2011-01-25,8285.61
25,2011-01-26,8285.66
26,2011-01-27,8285.71
27,2011-01-28,8285.75
28,2011-01-29,8285.79
29,2011-01-30,8285.81
30,2011-01-31,8285.85
31,2011-02-01,8285.95
32,2011-02-02,8285.869999999999
33,2011-02-03,8285.869999999999
34,2011-02-04,8285.869999999999
35,2011-02-05,8285.89
36,2011-02-06,8285.88
37,2011-02-07,8285.99
38,2011-02-08,8285.869999999999
39,2011-02-09,8285.81
40,2011-02-10,8285.73
41,2011-02-11,8285.67
42,2011-02-12,8285.55
43,2011-02-13,8285.51
44,2011-02-14,8285.23
45,2011-02-15,8285.33
46,2011-02-16,8285.67
47,2011-02-17,8285.71
48,2011-02-18,8285.83
49,2011-02-19,8285.97
50,2011-02-20,8285.95
51,2011-02-21,8285.99
52,2011-02-22,8286.05
53,2011-02-23,8286.04
54,2011-02-24,8286.12
55,2011-02-25,8286.33
56,2011-02-26,8286.21
57,2011-02-27,8286.19
58,2011-02-28,8286.17
59,2011-03-01,8286.09
60,2011-03-02,8286.11
61,2011-03-03,8286.23
62,2011-03-04,8286.21
63,2011-03-05,8286.23
64,2011-03-06,8286.35
65,2011-03-07,8286.41
66,2011-03-08,8286.39
67,2011-03-09,8286.45
68,2011-03-10,8286.49
69,2011-03-11,8286.69
70,2011-03-12,8286.73
71,2011-03-13,8286.65
72,2011-03-14,8286.91
73,2011-03-15,8287.01
74,2011-03-16,8287.25
75,2011-03-17,8287.31
76,2011-03-18,8287.35
77,2011-03-19,8287.61
78,2011-03-20,8287.69
79,2011-03-21,8287.91
80,2011-03-22,8287.91
81,2011-03-23,8287.83
82,2011-03-24,8287.71
83,2011-03-25,8287.97
84,2011-03-26,8288.05
85,2011-03-27,8288.11
86,2011-03-28,8288.19
87,2011-03-29,8288.17
88,2011-03-30,8288.21
89,2011-03-31,8288.21
90,2011-04-01,8288.19
91,2011-04-02,8288.23
92,2011-04-03,8288.1
93,2011-04-04,8288.03
94,2011-04-05,8288.09
95,2011-04-06,8288.07
96,2011-04-07,8288.19
97,2011-04-08,8288.21
98,2011-04-09,8288.1
99,2011-04-10,8287.99
100,2011-04-11,8288.07
101,2011-04-12,8288.05
102,2011-04-13,8288.01
103,2011-04-14,8287.93
104,2011-04-15,8287.91
105,2011-04-16,8288.03
106,2011-04-17,8288.11
107,2011-04-18,8288.19
108,2011-04-19,8288.17
109,2011-04-20,8288.19
110,2011-04-21,8288.25
111,2011-04-22,8288.23
112,2011-04-23,8288.24
113,2011-04-24,8288.29
114,2011-04-25,8288.23
115,2011-04-26,8288.33
116,2011-04-27,8288.31
117,2011-04-28,8288.31
118,2011-04-29,8288.369999999999
119,2011-04-30,8288.25
120,2011-05-01,8288.21
121,2011-05-02,8288.23
122,2011-05-03,8288.17
123,2011-05-04,8288.130000000001
124,2011-05-05,8288.11
125,2011-05-06,8288.07
126,2011-05-07,8288.07
127,2011-05-08,8288.05
128,2011-05-09,8287.99
129,2011-05-10,8287.89
130,2011-05-11,8287.83
131,2011-05-12,8287.79
132,2011-05-13,8287.77
133,2011-05-14,8287.72
134,2011-05-15,8287.630000000001
135,2011-05-16,8287.61
136,2011-05-17,8287.630000000001
137,2011-05-18,8287.76
138,2011-05-19,8287.75
139,2011-05-20,8287.73
140,2011-05-21,8287.75
141,2011-05-22,8287.75
142,2011-05-23,8287.75
143,2011-05-24,8287.59
144,2011-05-25,8287.55
145,2011-05-26,8287.55
146,2011-05-27,8287.65
147,2011-05-28,8287.68
148,2011-05-29,8287.73
149,2011-05-30,8287.49
150,2011-05-31,8287.55
151,2011-06-01,8287.61
152,2011-06-02,8287.59
153,2011-06-03,8287.57
154,2011-06-04,8287.59
155,2011-06-05,8287.55
156,2011-06-06,8287.55
157,2011-06-07,8287.47
158,2011-06-08,8287.43
159,2011-06-09,8287.33
160,2011-06-10,8287.29
161,2011-06-11,8287.19
162,2011-06-12,8287.15
163,2011-06-13,8287.12
164,2011-06-14,8287.09
165,2011-06-15,8287.07
166,2011-06-16,8287.01
167,2011-06-17,8286.93
168,2011-06-18,8286.869999999999
169,2011-06-19,8286.81
170,2011-06-20,8286.75
171,2011-06-21,8286.71
172,2011-06-22,8286.67
173,2011-06-23,8286.65
174,2011-06-24,8286.57
175,2011-06-25,8286.51
176,2011-06-26,8286.45
177,2011-06-27,8286.369999999999
178,2011-06-28,8286.27
179,2011-06-29,8286.369999999999
180,2011-06-30,8286.35
181,2011-07-01,8286.31
182,2011-07-02,8286.29
183,2011-07-03,8286.23
184,2011-07-04,8286.17
185,2011-07-05,8286.130000000001
186,2011-07-06,8286.04
187,2011-07-07,8285.96
188,2011-07-08,8285.85
189,2011-07-09,8285.75
190,2011-07-10,8285.630000000001
191,2011-07-11,8285.51
192,2011-07-12,8285.43
193,2011-07-13,8285.35
194,2011-07-14,8285.25
195,2011-07-15,8285.15
196,2011-07-16,8285.07
197,2011-07-17,8284.97
198,2011-07-18,8284.97
199,2011-07-19,8285.0
200,2011-07-20,8284.99
