,datetime,YALE_RESERVOIR_NEAR_YALE__WA.
0,2011-01-01,373080.0
1,2011-01-02,373080.19
2,2011-01-03,373079.91
3,2011-01-04,373080.23
4,2011-01-05,373080.52
5,2011-01-06,373081.15
6,2011-01-07,373081.3
7,2011-01-08,373082.5
8,2011-01-09,373082.0
9,2011-01-10,373082.25
10,2011-01-11,373080.89
11,2011-01-12,373079.54
12,2011-01-13,373080.9
13,2011-01-14,373082.45
14,2011-01-15,373083.71
15,2011-01-16,373088.42
16,2011-01-17,373089.0
17,2011-01-18,373087.76
18,2011-01-19,373088.14
19,2011-01-20,373088.46
20,2011-01-21,373088.76
21,2011-01-22,373088.27
22,2011-01-23,373087.73
23,2011-01-24,373086.78
24,2011-01-25,373085.55
25,2011-01-26,373083.55
26,2011-01-27,373081.76
27,2011-01-28,373080.4
28,2011-01-29,373080.2
29,2011-01-30,373080.18
30,2011-01-31,373080.2
31,2011-02-01,373080.6
32,2011-02-02,373080.15
33,2011-02-03,373079.7
34,2011-02-04,373079.24
35,2011-02-05,373078.43
36,2011-02-06,373078.04
37,2011-02-07,373078.01
38,2011-02-08,373077.38
39,2011-02-09,373076.37
40,2011-02-10,373075.4
41,2011-02-11,373073.46
42,2011-02-12,373072.96
43,2011-02-13,373072.53
44,2011-02-14,373072.58
45,2011-02-15,373072.5
46,2011-02-16,373072.66
47,2011-02-17,373073.18
48,2011-02-18,373074.25
49,2011-02-19,373076.57
50,2011-02-20,373078.49
51,2011-02-21,373079.04
52,2011-02-22,373080.36
53,2011-02-23,373079.53
54,2011-02-24,373078.84
55,2011-02-25,373077.8
56,2011-02-26,373077.9
57,2011-02-27,373077.95
58,2011-02-28,373078.04
59,2011-03-01,373080.26
60,2011-03-02,373080.17
61,2011-03-03,373080.68
62,2011-03-04,373081.68
63,2011-03-05,373081.84
64,2011-03-06,373081.08
65,2011-03-07,373080.93
66,2011-03-08,373081.28
67,2011-03-09,373081.53
68,2011-03-10,373082.85
69,2011-03-11,373082.85
70,2011-03-12,373082.33
71,2011-03-13,373081.41
72,2011-03-14,373080.87
73,2011-03-15,373080.44
74,2011-03-16,373082.17
75,2011-03-17,373082.13
76,2011-03-18,373082.22
77,2011-03-19,373082.09
78,2011-03-20,373082.41
79,2011-03-21,373083.15
80,2011-03-22,373082.8
81,2011-03-23,373082.36
82,2011-03-24,373082.04
83,2011-03-25,373081.07
84,2011-03-26,373080.86
85,2011-03-27,373081.09
86,2011-03-28,373081.23
87,2011-03-29,373081.39
88,2011-03-30,373083.07
89,2011-03-31,373084.59
90,2011-04-01,373084.54
91,2011-04-02,373085.17
92,2011-04-03,373085.32
93,2011-04-04,373083.79
94,2011-04-05,373084.49
95,2011-04-06,373084.65
96,2011-04-07,373084.87
97,2011-04-08,373084.54
98,2011-04-09,373084.74
99,2011-04-10,373085.16
100,2011-04-11,373085.32
101,2011-04-12,373085.82
102,2011-04-13,373086.19
103,2011-04-14,373086.04
104,2011-04-15,373086.14
105,2011-04-16,373086.56
106,2011-04-17,373086.14
107,2011-04-18,373085.0
108,2011-04-19,373084.37
109,2011-04-20,373083.73
110,2011-04-21,373083.67
111,2011-04-22,373083.09
112,2011-04-23,373081.64
113,2011-04-24,373081.56
114,2011-04-25,373080.83
115,2011-04-26,373081.08
116,2011-04-27,373081.6
117,2011-04-28,373081.88
118,2011-04-29,373082.23
119,2011-04-30,373081.92
120,2011-05-01,373081.745
121,2011-05-02,373081.57
122,2011-05-03,373081.78
123,2011-05-04,373081.42
124,2011-05-05,373081.1
125,2011-05-06,373081.22
126,2011-05-07,373081.53
127,2011-05-08,373082.2
128,2011-05-09,373083.74
129,2011-05-10,373085.31
130,2011-05-11,373086.99
131,2011-05-12,373088.81
132,2011-05-13,373088.62
133,2011-05-14,373087.03
134,2011-05-15,373086.71
135,2011-05-16,373086.58
136,2011-05-17,373086.35
137,2011-05-18,373086.57
138,2011-05-19,373086.14
139,2011-05-20,373085.76
140,2011-05-21,373085.18
141,2011-05-22,373084.23
142,2011-05-23,373083.42
